nameWithOwner,owner,description,primaryLanguage,stars,forks,createdAt,updatedAt,repositoryAge,daysSinceUpdate,mergedPullRequests,releases,openIssues,closedIssues,totalIssues,closedIssuesRatio,watchers,url
codecrafters-io/build-your-own-x,codecrafters-io,Master programming by recreating your favorite technologies from scratch.,Markdown,472507,44292,2018-05-09T12:03:18Z,2026-03-05T17:42:01Z,2857,0,155,0,235,653,888,0.7353603603603603,0,https://github.com/codecrafters-io/build-your-own-x
sindresorhus/awesome,sindresorhus,😎 Awesome lists about all kinds of interesting topics,Unknown,442821,33388,2014-07-11T13:42:37Z,2026-03-05T17:50:35Z,4255,0,694,0,16,349,365,0.9561643835616438,0,https://github.com/sindresorhus/awesome
freeCodeCamp/freeCodeCamp,freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,437807,43520,2014-12-24T17:49:19Z,2026-03-05T17:03:34Z,4089,0,27770,0,177,20977,21154,0.9916327881251773,0,https://github.com/freeCodeCamp/freeCodeCamp
public-apis/public-apis,public-apis,A collective list of free APIs,Python,404461,43645,2016-03-20T23:49:42Z,2026-03-05T17:36:31Z,3636,0,1872,0,6,832,838,0.9928400954653938,0,https://github.com/public-apis/public-apis
EbookFoundation/free-programming-books,EbookFoundation,:books: Freely available programming books,Python,383627,66009,2013-10-11T06:50:37Z,2026-03-05T17:16:31Z,4528,0,7328,0,36,1227,1263,0.9714964370546318,0,https://github.com/EbookFoundation/free-programming-books
kamranahmedse/developer-roadmap,kamranahmedse,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,350234,43740,2017-03-15T13:45:52Z,2026-03-05T17:18:49Z,3277,0,4073,1,31,3054,3085,0.9899513776337115,0,https://github.com/kamranahmedse/developer-roadmap
jwasham/coding-interview-university,jwasham,A complete computer science study plan to become a software engineer.,Unknown,337610,81638,2016-06-06T02:34:12Z,2026-03-05T17:49:02Z,3559,0,415,0,71,454,525,0.8647619047619047,0,https://github.com/jwasham/coding-interview-university
donnemartin/system-design-primer,donnemartin,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,337371,54671,2017-02-26T16:15:28Z,2026-03-05T17:50:57Z,3294,0,203,0,250,110,360,0.3055555555555556,0,https://github.com/donnemartin/system-design-primer
vinta/awesome-python,vinta,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,285709,27297,2014-06-27T21:00:06Z,2026-03-05T17:52:24Z,4268,0,641,0,0,0,0,0.0,0,https://github.com/vinta/awesome-python
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,Unknown,277405,12647,2015-06-01T02:33:17Z,2026-03-05T17:50:01Z,3930,0,2395,1,0,807,807,1.0,0,https://github.com/awesome-selfhosted/awesome-selfhosted
996icu/996.ICU,996icu,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,Unknown,275652,20952,2019-03-26T07:31:14Z,2026-03-05T17:11:31Z,2536,0,1072,0,0,0,0,0.0,0,https://github.com/996icu/996.ICU
openclaw/openclaw,openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,264994,50709,2025-11-24T10:16:47Z,2026-03-05T17:52:47Z,101,0,2720,59,5299,10002,15301,0.6536827658322986,0,https://github.com/openclaw/openclaw
practical-tutorials/project-based-learning,practical-tutorials,Curated list of project-based tutorials,Unknown,260252,33899,2017-04-12T05:07:46Z,2026-03-05T17:49:07Z,3249,0,182,0,145,82,227,0.36123348017621143,0,https://github.com/practical-tutorials/project-based-learning
facebook/react,facebook,The library for web and native user interfaces.,JavaScript,243634,50650,2013-05-24T16:15:54Z,2026-03-05T17:36:09Z,4668,0,12774,118,809,13575,14384,0.9437569521690767,0,https://github.com/facebook/react
torvalds/linux,torvalds,Linux kernel source tree,C,221009,60777,2011-09-04T22:48:12Z,2026-03-05T17:50:00Z,5295,0,0,0,0,0,0,0.0,0,https://github.com/torvalds/linux
TheAlgorithms/Python,TheAlgorithms,All Algorithms implemented in Python,Python,218363,50126,2016-07-16T09:44:01Z,2026-03-05T17:31:17Z,3519,0,3046,0,162,1540,1702,0.9048178613396005,0,https://github.com/TheAlgorithms/Python
vuejs/vue,vuejs,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209962,33868,2013-07-29T03:24:51Z,2026-03-05T17:36:18Z,4602,0,1136,249,359,9668,10027,0.9641966689937169,0,https://github.com/vuejs/vue
