file,class,type,cbo,dit,lcom,loc,methods
\demoapp\src\main\java\org\cf\demoapp\java_io_PrintStream_println.java,java_io_PrintStream_println,class,7,2,0,27,1
\demoapp\src\main\java\org\cf\demoapp\Main.java,Main,class,8,1,0.35,77,3
\demoapp\src\main\java\org\cf\demosmali\Base64.java,Base64,class,1,1,0.46,93,2
\demoapp\src\main\java\org\cf\demosmali\Main.java,Main,class,1,1,0,44,3
\demoapp\src\main\java\org\cf\demosmali\TestExceptionHandling.java,TestExceptionHandling,class,1,1,0.57,115,5
\simplify\ObfuscatedApp\app\src\androidTest\java\org\cf\obfuscated\ApplicationTest.java,ApplicationTest,class,2,2,0,13,1
\simplify\ObfuscatedApp\app\src\main\java\org\cf\crypto\AesCbcWithIntegrity.java,AesCbcWithIntegrity,class,30,1,0.95,941,40
\simplify\ObfuscatedApp\app\src\main\java\org\cf\crypto\DES.java,DES,class,12,1,0,47,1
\simplify\ObfuscatedApp\app\src\main\java\org\cf\crypto\TrippleDES.java,TrippleDES,class,6,1,0,43,2
\simplify\ObfuscatedApp\app\src\main\java\org\cf\crypto\XORCrypt.java,XORCrypt,class,1,1,0,44,2
\simplify\ObfuscatedApp\app\src\main\java\org\cf\obfuscated\MainActivity.java,MainActivity,class,4,2,0,44,2
\simplify\ObfuscatedApp\app\src\main\java\org\cf\obfuscated\MathCrypt.java,MathCrypt,class,3,1,0.33,75,4
\simplify\ObfuscatedApp\app\src\main\java\org\cf\obfuscated\Reflection.java,Reflection,class,2,1,0.18,61,4
\simplify\ObfuscatedApp\app\src\main\java\org\cf\obfuscated\StringHolder.java,StringHolder,class,5,1,0.62,130,7
\simplify\ObfuscatedApp\app\src\main\java\org\cf\obfuscated\WhiteNoise.java,WhiteNoise,class,1,1,0,50,5
\simplify\src\main\java\org\cf\simplify\ConstantBuilder.java,ConstantBuilder,class,27,1,0.77,218,9
\simplify\src\main\java\org\cf\simplify\Dependency.java,Dependency,class,1,1,0,8,1
\simplify\src\main\java\org\cf\simplify\ExecutionGraphManipulator.java,ExecutionGraphManipulator,class,22,2,0.89,455,17
\simplify\src\main\java\org\cf\simplify\Launcher.java,Launcher,class,21,1,0.85,326,12
\simplify\src\main\java\org\cf\simplify\Main.java,Main,class,2,1,0,26,2
\simplify\src\main\java\org\cf\simplify\Optimizer.java,Optimizer,class,17,1,0.66,145,9
