file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,class,13,17,4,13,44,1,0,42,0,0.6953125,0.0,0.0,16,0,11,5,0,0,11,0,0,2,8,1,0,8,0,0,5,0,11,185,9,2,14,5,3,31,10,40,13,28,4,0,0,0,155,1,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\HttpProxyCacheServer.java,com.danikula.videocache.HttpProxyCacheServer,class,15,19,4,15,48,1,0,67,191,0.85990334,0.0,0.0,23,0,8,15,0,0,8,0,0,0,9,1,0,9,0,0,9,0,21,284,9,4,1,10,0,15,7,22,3,20,2,0,3,0,177,1,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\ProxyCache.java,com.danikula.videocache.ProxyCache$SourceReaderRunnable,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,class,7,9,2,7,22,2,0,22,14,0.6666667,0.0,0.0,9,0,3,5,1,0,4,0,0,0,4,1,0,4,0,0,3,0,1,74,3,2,3,1,6,10,8,23,5,21,2,0,0,0,73,0,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\ProxyCache.java,com.danikula.videocache.ProxyCache,class,10,14,4,10,42,1,1,37,43,0.77777785,0.0,0.0,15,0,3,9,3,0,6,0,1,1,9,1,0,9,0,0,6,0,6,153,3,2,8,4,3,7,15,27,6,21,4,0,1,0,98,0,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\HttpProxyCacheDebuger.java,com.danikula.videocache.HttpProxyCacheDebuger,class,2,9,7,2,25,1,0,9,0,0.4090909,0.0,0.0,11,11,11,0,0,0,11,0,0,0,2,2,0,0,0,2,1,0,2,50,1,0,2,0,0,1,0,4,0,2,2,0,0,0,35,1,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\HttpProxyCacheServer.java,com.danikula.videocache.HttpProxyCacheServer$WaitRequestsRunnable,innerclass,1,1,0,1,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,18,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\HttpProxyCacheServerClients.java,com.danikula.videocache.HttpProxyCacheServerClients$UiListenerHandler,innerclass,3,3,0,3,4,2,0,4,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,20,0,1,0,0,0,0,0,5,0,3,1,0,0,0,18,26,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\StorageUtils.java,com.danikula.videocache.StorageUtils,class,3,5,2,3,11,1,0,10,3,0.6666667,NaN,NaN,3,3,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,42,4,0,2,1,0,10,0,11,2,7,2,0,0,0,88,1,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\Config.java,com.danikula.videocache.Config,class,4,7,3,4,2,1,0,1,0,0.35714287,0.0,0.0,2,0,0,0,0,2,2,0,0,0,7,0,7,0,0,0,7,0,0,22,1,0,0,0,0,0,0,8,0,8,0,0,0,0,31,0,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\ProxyCacheUtils.java,com.danikula.videocache.ProxyCacheUtils,class,5,9,4,5,19,1,0,23,28,0.9375,0.0,0.0,8,8,1,1,0,6,7,0,0,0,2,2,0,0,0,2,2,0,13,66,6,1,1,4,0,11,9,11,3,10,2,0,0,0,87,1,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\SourceInfo.java,com.danikula.videocache.SourceInfo,class,1,2,1,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,3,0,0,13,1,0,0,0,0,4,0,3,2,3,0,0,0,0,10,1,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\IgnoreHostProxySelector.java,com.danikula.videocache.IgnoreHostProxySelector,class,2,4,2,2,6,2,0,10,0,0.3125,0.0,0.0,4,1,2,0,0,2,4,0,0,0,4,1,0,4,0,0,4,0,5,23,1,0,1,0,0,0,0,7,0,7,0,0,0,0,52,0,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\InterruptedProxyCacheException.java,com.danikula.videocache.InterruptedProxyCacheException,class,1,3,2,1,3,4,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\lab02_clones\CarGuo_GSYVideoPlayer\gsyVideoPlayer-proxy_cache\src\main\java\com\danikula\videocache\Pinger.java,com.danikula.videocache.Pinger,class,7,10,3,7,15,1,0,21,15,0.74285716,0.0,0.0,7,0,0,3,0,4,4,0,0,0,5,2,0,5,0,0,5,0,13,82,7,1,0,3,0,14,6,18,4,17,3,0,1,0,88,0,0
