file,class,type,cbo,dit,lcom,loc,methods
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\AccessedByNative.java,AccessedByNative,class,1,2,0.3,17,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\CalledByNative.java,CalledByNative,class,1,2,0.3,28,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\CalledByNativeForTesting.java,CalledByNativeForTesting,class,1,2,0.3,26,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\CalledByNativeUnchecked.java,CalledByNativeUnchecked,class,1,2,0.3,29,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\CheckDiscard.java,CheckDiscard,class,1,2,0.3,25,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\JNINamespace.java,JNINamespace,class,1,2,0.3,20,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\JniStaticTestMocker.java,JniStaticTestMocker,class,1,2,0.3,15,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\NativeClassQualifiedName.java,NativeClassQualifiedName,class,1,2,0.3,25,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\NativeLibraryLoadedStatus.java,NativeLibraryLoadedStatus,class,1,2,0.3,44,1
\TMessagesProj\jni\voip\webrtc\third_party\jni_zero\java\src\org\jni_zero\NativeMethods.java,NativeMethods,class,1,2,0.3,20,1
\TMessagesProj\src\main\java\androidx\recyclerview\widget\AdapterHelper.java,AdapterHelper,class,13,2,0.5,822,32
\TMessagesProj\src\main\java\androidx\recyclerview\widget\AdapterListUpdateCallback.java,AdapterListUpdateCallback,class,1,2,0.3,62,2
\TMessagesProj\src\main\java\androidx\recyclerview\widget\AsyncDifferConfig.java,AsyncDifferConfig,class,2,2,0.5,147,5
\TMessagesProj\src\main\java\androidx\recyclerview\widget\AsyncListDiffer.java,AsyncListDiffer,class,6,2,0.5,405,16
\TMessagesProj\src\main\java\androidx\recyclerview\widget\AsyncListUtil.java,AsyncListUtil,class,9,2,0.5,596,23
\TMessagesProj\src\main\java\androidx\recyclerview\widget\BatchingListUpdateCallback.java,BatchingListUpdateCallback,class,2,2,0.5,125,5
\TMessagesProj\src\main\java\androidx\recyclerview\widget\ChatListItemAnimator.java,ChatListItemAnimator,class,28,2,0.5,1739,69
\TMessagesProj\src\main\java\androidx\recyclerview\widget\ChildHelper.java,ChildHelper,class,9,2,0.5,547,21
\TMessagesProj\src\main\java\androidx\recyclerview\widget\DefaultItemAnimator.java,DefaultItemAnimator,class,16,2,0.5,964,38
