file,class,type,cbo,dit,lcom,loc,methods
\buildSrc\src\main\java\emu\grasscutter\gen\GenerateActivityConditions.java,GenerateActivityConditions,class,14,2,0.38,81,4
\src\generated\main\java\emu\grasscutter\net\proto\AbilityActionCreateGadgetOuterClass.java,AbilityActionCreateGadgetOuterClass,class,1,1,0.95,954,53
\src\generated\main\java\emu\grasscutter\net\proto\AbilityActionGenerateElemBallOuterClass.java,AbilityActionGenerateElemBallOuterClass,class,1,1,0.95,954,53
\src\generated\main\java\emu\grasscutter\net\proto\AbilityActionServerMonsterLogOuterClass.java,AbilityActionServerMonsterLogOuterClass,class,1,1,0.93,672,41
\src\generated\main\java\emu\grasscutter\net\proto\AbilityActionSetCrashDamageOuterClass.java,AbilityActionSetCrashDamageOuterClass,class,1,1,0.93,752,45
\src\generated\main\java\emu\grasscutter\net\proto\AbilityActionSetRandomOverrideMapValueOuterClass.java,AbilityActionSetRandomOverrideMapValueOuterClass,class,1,1,0.91,539,37
\src\generated\main\java\emu\grasscutter\net\proto\AbilityAppliedAbilityOuterClass.java,AbilityAppliedAbilityOuterClass,class,1,1,0.96,1334,68
\src\generated\main\java\emu\grasscutter\net\proto\AbilityAppliedModifierOuterClass.java,AbilityAppliedModifierOuterClass,class,1,1,0.97,1939,97
\src\generated\main\java\emu\grasscutter\net\proto\AbilityAttachedModifierOuterClass.java,AbilityAttachedModifierOuterClass,class,1,1,0.94,829,51
\src\generated\main\java\emu\grasscutter\net\proto\AbilityBornTypeOuterClass.java,AbilityBornTypeOuterClass,class,1,1,0.95,1087,57
\src\generated\main\java\emu\grasscutter\net\proto\AbilityChangeNotifyOuterClass.java,AbilityChangeNotifyOuterClass,class,1,1,0.93,753,45
\src\generated\main\java\emu\grasscutter\net\proto\AbilityControlBlockOuterClass.java,AbilityControlBlockOuterClass,class,1,2,0.94,852,48
\src\generated\main\java\emu\grasscutter\net\proto\AbilityEmbryoOuterClass.java,AbilityEmbryoOuterClass,class,1,1,0.93,685,44
\src\generated\main\java\emu\grasscutter\net\proto\AbilityFireworkBornTypeOuterClass.java,AbilityFireworkBornTypeOuterClass,class,1,1,0.96,1158,61
\src\generated\main\java\emu\grasscutter\net\proto\AbilityGadgetInfoOuterClass.java,AbilityGadgetInfoOuterClass,class,1,1,0.93,685,44
\src\generated\main\java\emu\grasscutter\net\proto\AbilityIdentifierOuterClass.java,AbilityIdentifierOuterClass,class,1,1,0.94,898,54
\src\generated\main\java\emu\grasscutter\net\proto\AbilityInvocationFailNotifyOuterClass.java,AbilityInvocationFailNotifyOuterClass,class,1,1,0.94,904,50
\src\generated\main\java\emu\grasscutter\net\proto\AbilityInvocationFixedNotifyOuterClass.java,AbilityInvocationFixedNotifyOuterClass,class,1,1,0.97,1703,81
\src\generated\main\java\emu\grasscutter\net\proto\AbilityInvocationsNotifyOuterClass.java,AbilityInvocationsNotifyOuterClass,class,1,2,0.94,855,48
\src\generated\main\java\emu\grasscutter\net\proto\AbilityInvokeArgumentOuterClass.java,AbilityInvokeArgumentOuterClass,class,1,1,0.94,875,46
