file,class,type,cbo,dit,lcom,loc,methods
\.jbang\CheckoutPR.java,CheckoutPR,class,15,1,0.75,203,1
\.jbang\CloneJabRef.java,CloneJabRef,class,2,1,0,30,1
\.jbang\JabKitLauncher.java,JabKitLauncher,class,1,1,0,41,1
\.jbang\JabLsLauncher.java,JabLsLauncher,class,1,1,0,49,1
\.jbang\JabSrvLauncher.java,JabSrvLauncher,class,1,1,0.47,94,1
\build-support\src\main\java\CitationStyleCatalogGenerator.java,CitationStyleCatalogGenerator,class,14,1,0.54,109,4
\build-support\src\main\java\JournalListMvGenerator.java,JournalListMvGenerator,class,15,1,0.54,108,1
\build-support\src\main\java\LtwaListMvGenerator.java,LtwaListMvGenerator,class,14,1,0.55,111,2
\build-support\src\test\java\CitationStyleCatalogGeneratorTest.java,CitationStyleCatalogGeneratorTest,class,12,1,0.04,52,1
\jabgui\src\main\java\module-info.java,module-info,class,1,1,0.73,185,1
\jabgui\src\main\java\org\jabref\Launcher.java,Launcher,class,32,1,0.77,214,5
\jabgui\src\main\java\org\jabref\cli\ArgumentProcessor.java,ArgumentProcessor,class,13,1,0.64,138,8
\jabgui\src\main\java\org\jabref\cli\CliImportHelper.java,CliImportHelper,class,14,1,0.41,85,2
\jabgui\src\main\java\org\jabref\cli\GuiCommandLine.java,GuiCommandLine,class,5,1,0.04,52,6
\jabgui\src\main\java\org\jabref\gui\AbstractViewModel.java,AbstractViewModel,class,1,1,0,5,1
\jabgui\src\main\java\org\jabref\gui\CoreGuiPreferences.java,CoreGuiPreferences,class,4,1,0.65,144,16
\jabgui\src\main\java\org\jabref\gui\DialogService.java,DialogService,class,24,2,0.82,274,7
\jabgui\src\main\java\org\jabref\gui\DragAndDropDataFormats.java,DragAndDropDataFormats,class,3,1,0,18,3
\jabgui\src\main\java\org\jabref\gui\FXDialog.java,FXDialog,class,9,2,0.37,79,4
\jabgui\src\main\java\org\jabref\gui\JabRefDialogService.java,JabRefDialogService,class,61,1,0.91,572,27
\jabgui\src\main\java\org\jabref\gui\JabRefGUI.java,JabRefGUI,class,64,1,0.91,583,18
\jabgui\src\main\java\org\jabref\gui\JabRefGuiStateManager.java,JabRefGuiStateManager,class,39,1,0.83,291,32
\jabgui\src\main\java\org\jabref\gui\LibraryTab.java,LibraryTab,class,99,1,0.96,1170,61
\jabgui\src\main\java\org\jabref\gui\LibraryTabContainer.java,LibraryTabContainer,class,5,1,0,35,2
\jabgui\src\main\java\org\jabref\gui\NavigationHistory.java,NavigationHistory,class,5,1,0.28,69,4
\jabgui\src\main\java\org\jabref\gui\Notifications.java,Notifications,class,16,2,0.56,113,7
\jabgui\src\main\java\org\jabref\gui\StateManager.java,StateManager,class,23,2,0.51,102,5
