file,class,type,cbo,dit,lcom,loc,methods
\app\src\release\java\org\lsposed\manager\util\Telemetry.java,Telemetry,class,2,1,0,16,2
\core\src\main\java\android\app\AndroidAppHelper.java,AndroidAppHelper,class,16,1,0.71,174,8
\core\src\main\java\android\content\res\XModuleResources.java,XModuleResources,class,7,2,0.33,75,2
\core\src\main\java\android\content\res\XResForwarder.java,XResForwarder,class,1,1,0.07,54,3
\core\src\main\java\android\content\res\XResources.java,XResources,class,44,1,0.97,1817,64
\core\src\main\java\de\robv\android\xposed\IXposedHookCmdInit.java,IXposedHookCmdInit,class,1,2,0.11,56,2
\core\src\main\java\de\robv\android\xposed\IXposedHookInitPackageResources.java,IXposedHookInitPackageResources,class,3,2,0,36,2
\core\src\main\java\de\robv\android\xposed\IXposedHookLoadPackage.java,IXposedHookLoadPackage,class,3,2,0,37,2
\core\src\main\java\de\robv\android\xposed\IXposedHookZygoteInit.java,IXposedHookZygoteInit,class,1,2,0,35,2
\core\src\main\java\de\robv\android\xposed\IXposedMod.java,IXposedMod,class,1,1,0,27,1
\core\src\main\java\de\robv\android\xposed\SELinuxHelper.java,SELinuxHelper,class,2,1,0.34,76,3
\core\src\main\java\de\robv\android\xposed\XC_MethodHook.java,XC_MethodHook,class,5,2,0.76,210,13
\core\src\main\java\de\robv\android\xposed\XC_MethodReplacement.java,XC_MethodReplacement,class,1,2,0.56,113,4
\core\src\main\java\de\robv\android\xposed\XposedBridge.java,XposedBridge,class,22,1,0.89,463,19
\core\src\main\java\de\robv\android\xposed\XposedHelpers.java,XposedHelpers,class,28,1,0.97,1837,65
\core\src\main\java\de\robv\android\xposed\XposedInit.java,XposedInit,class,37,1,0.85,332,9
\core\src\main\java\de\robv\android\xposed\XSharedPreferences.java,XSharedPreferences,class,29,1,0.91,583,24
\core\src\main\java\de\robv\android\xposed\callbacks\IXUnhook.java,IXUnhook,class,1,1,0,45,1
\core\src\main\java\de\robv\android\xposed\callbacks\XCallback.java,XCallback,class,4,1,0.72,176,9
\core\src\main\java\de\robv\android\xposed\callbacks\XC_InitPackageResources.java,XC_InitPackageResources,class,7,2,0.44,90,4
\core\src\main\java\de\robv\android\xposed\callbacks\XC_LayoutInflated.java,XC_LayoutInflated,class,4,2,0.66,149,9
\core\src\main\java\de\robv\android\xposed\callbacks\XC_LoadPackage.java,XC_LoadPackage,class,8,2,0.52,105,5
\core\src\main\java\de\robv\android\xposed\services\BaseService.java,BaseService,class,5,1,0.76,210,9
\core\src\main\java\de\robv\android\xposed\services\DirectAccessService.java,DirectAccessService,class,5,2,0.63,135,5
\core\src\main\java\de\robv\android\xposed\services\FileResult.java,FileResult,class,1,1,0.44,90,3
\core\src\main\java\org\apache\commons\lang3\reflect\MemberUtilsX.java,MemberUtilsX,class,2,1,0,31,1
\core\src\main\java\org\lsposed\lspd\core\ApplicationServiceClient.java,ApplicationServiceClient,class,10,1,0.53,106,5
\core\src\main\java\org\lsposed\lspd\core\Startup.java,Startup,class,20,1,0.42,86,2
\core\src\main\java\org\lsposed\lspd\deopt\InlinedMethodCallers.java,InlinedMethodCallers,class,8,1,0.49,99,5
\core\src\main\java\org\lsposed\lspd\deopt\PrebuiltMethodsDeopter.java,PrebuiltMethodsDeopter,class,9,1,0.38,81,2
\core\src\main\java\org\lsposed\lspd\hooker\AttachHooker.java,AttachHooker,class,5,1,0,17,1
\core\src\main\java\org\lsposed\lspd\hooker\CrashDumpHooker.java,CrashDumpHooker,class,5,1,0,22,1
\core\src\main\java\org\lsposed\lspd\hooker\HandleSystemServerProcessHooker.java,HandleSystemServerProcessHooker,class,7,1,0.07,54,1
\core\src\main\java\org\lsposed\lspd\hooker\LoadedApkCreateCLHooker.java,LoadedApkCreateCLHooker,class,28,1,0.76,208,6
\core\src\main\java\org\lsposed\lspd\hooker\LoadedApkCtorHooker.java,LoadedApkCtorHooker,class,9,1,0.38,80,1
\core\src\main\java\org\lsposed\lspd\hooker\OpenDexFileHooker.java,OpenDexFileHooker,class,6,1,0,35,1
\core\src\main\java\org\lsposed\lspd\hooker\StartBootstrapServicesHooker.java,StartBootstrapServicesHooker,class,11,1,0.25,67,1
\core\src\main\java\org\lsposed\lspd\impl\LSPosedBridge.java,LSPosedBridge,class,13,1,0.83,299,8
\core\src\main\java\org\lsposed\lspd\impl\LSPosedContext.java,LSPosedContext,class,36,1,0.85,335,19
\core\src\main\java\org\lsposed\lspd\impl\LSPosedHelper.java,LSPosedHelper,class,6,2,0,46,2
\core\src\main\java\org\lsposed\lspd\impl\LSPosedHookCallback.java,LSPosedHookCallback,class,5,2,0.47,94,9
\core\src\main\java\org\lsposed\lspd\impl\LSPosedRemotePreferences.java,LSPosedRemotePreferences,class,12,1,0.61,129,7
\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,LSPosedDexParser,class,6,1,0.88,424,15
\core\src\main\java\org\lsposed\lspd\nativebridge\DexParserBridge.java,DexParserBridge,class,5,1,0,19,2
\core\src\main\java\org\lsposed\lspd\nativebridge\HookBridge.java,HookBridge,class,3,1,0,28,5
\core\src\main\java\org\lsposed\lspd\nativebridge\NativeAPI.java,NativeAPI,class,1,1,0,25,1
\core\src\main\java\org\lsposed\lspd\nativebridge\ResourcesHook.java,ResourcesHook,class,3,1,0,38,2
\core\src\main\java\org\lsposed\lspd\util\ClassPathURLStreamHandler.java,ClassPathURLStreamHandler,class,13,2,0.58,120,8
\core\src\main\java\org\lsposed\lspd\util\Hookers.java,Hookers,class,1,1,0,37,1
\core\src\main\java\org\lsposed\lspd\util\LspModuleClassLoader.java,LspModuleClassLoader,class,23,2,0.76,206,7
\core\src\main\java\org\lsposed\lspd\util\MetaDataReader.java,MetaDataReader,class,10,1,0.63,136,9
\daemon\src\main\java\org\lsposed\lspd\Main.java,Main,class,1,1,0,10,1
\daemon\src\main\java\org\lsposed\lspd\service\ActivityManagerService.java,ActivityManagerService,class,20,1,0.76,212,11
\daemon\src\main\java\org\lsposed\lspd\service\BridgeService.java,BridgeService,class,13,1,0.72,181,7
\daemon\src\main\java\org\lsposed\lspd\service\ConfigFileManager.java,ConfigFileManager,class,52,1,0.9,490,17
\daemon\src\main\java\org\lsposed\lspd\service\ConfigManager.java,ConfigManager,class,64,1,0.96,1205,43
\daemon\src\main\java\org\lsposed\lspd\service\Dex2OatService.java,Dex2OatService,class,22,1,0.77,219,10
\daemon\src\main\java\org\lsposed\lspd\service\LogcatService.java,LogcatService,class,16,2,0.77,214,13
\daemon\src\main\java\org\lsposed\lspd\service\LSPApplicationService.java,LSPApplicationService,class,15,2,0.71,172,6
\daemon\src\main\java\org\lsposed\lspd\service\LSPInjectedModuleService.java,LSPInjectedModuleService,class,12,2,0.45,91,4
\daemon\src\main\java\org\lsposed\lspd\service\LSPManagerService.java,LSPManagerService,class,41,1,0.92,645,32
