file,class,type,cbo,dit,lcom,loc,methods
\Ghidra\Debug\AnnotationValidator\src\main\java\ghidra\util\database\annotproc\AbstractDBAnnotationValidator.java,AbstractDBAnnotationValidator,class,1,1,0.3,63,2
\Ghidra\Debug\AnnotationValidator\src\main\java\ghidra\util\database\annotproc\AccessSpec.java,AccessSpec,class,1,2,0.3,66,2
\Ghidra\Debug\AnnotationValidator\src\main\java\ghidra\util\database\annotproc\DBAnnotatedColumnValidator.java,DBAnnotatedColumnValidator,class,1,2,0.3,85,3
\Ghidra\Debug\AnnotationValidator\src\main\java\ghidra\util\database\annotproc\DBAnnotatedFieldValidator.java,DBAnnotatedFieldValidator,class,4,2,0.5,254,10
\Ghidra\Debug\AnnotationValidator\src\main\java\ghidra\util\database\annotproc\DBAnnotatedObjectProcessor.java,DBAnnotatedObjectProcessor,class,2,2,0.5,130,5
\Ghidra\Debug\AnnotationValidator\src\main\java\ghidra\util\database\annotproc\DBAnnotatedObjectValidator.java,DBAnnotatedObjectValidator,class,3,2,0.5,184,7
\Ghidra\Debug\AnnotationValidator\src\main\java\ghidra\util\database\annotproc\ValidationContext.java,ValidationContext,class,8,2,0.5,508,20
\Ghidra\Debug\Debugger\ghidra_scripts\AddMapping.java,AddMapping,class,1,2,0.3,40,1
\Ghidra\Debug\Debugger\ghidra_scripts\ComputeUnwindInfoScript.java,ComputeUnwindInfoScript,class,1,2,0.3,65,2
\Ghidra\Debug\Debugger\ghidra_scripts\DemoDebuggerScript.java,DemoDebuggerScript,class,2,2,0.5,124,4
\Ghidra\Debug\Debugger\ghidra_scripts\PopulateDemoTrace.java,PopulateDemoTrace,class,14,2,0.5,863,34
\Ghidra\Debug\Debugger\ghidra_scripts\RefreshRegistersScript.java,RefreshRegistersScript,class,1,2,0.3,84,3
\Ghidra\Debug\Debugger\src\main\java\ghidra\app\plugin\core\debug\AbstractDebuggerPlugin.java,AbstractDebuggerPlugin,class,1,1,0.3,36,1
\Ghidra\Debug\Debugger\src\main\java\ghidra\app\plugin\core\debug\DebuggerPluginPackage.java,DebuggerPluginPackage,class,1,2,0.3,27,1
\Ghidra\Debug\Debugger\src\main\java\ghidra\app\plugin\core\debug\disassemble\AbstractTraceDisassembleAction.java,AbstractTraceDisassembleAction,class,1,1,0.3,65,2
\Ghidra\Debug\Debugger\src\main\java\ghidra\app\plugin\core\debug\disassemble\AbstractTracePatchInstructionAction.java,AbstractTracePatchInstructionAction,class,2,1,0.5,179,7
\Ghidra\Debug\Debugger\src\main\java\ghidra\app\plugin\core\debug\disassemble\CurrentPlatformTraceDisassembleAction.java,CurrentPlatformTraceDisassembleAction,class,1,2,0.3,81,3
\Ghidra\Debug\Debugger\src\main\java\ghidra\app\plugin\core\debug\disassemble\CurrentPlatformTraceDisassembleCommand.java,CurrentPlatformTraceDisassembleCommand,class,1,2,0.3,94,3
\Ghidra\Debug\Debugger\src\main\java\ghidra\app\plugin\core\debug\disassemble\CurrentPlatformTracePatchInstructionAction.java,CurrentPlatformTracePatchInstructionAction,class,1,2,0.3,47,1
\Ghidra\Debug\Debugger\src\main\java\ghidra\app\plugin\core\debug\disassemble\DebuggerDisassemblerPlugin.java,DebuggerDisassemblerPlugin,class,4,2,0.5,278,11
