file,class,type,cbo,dit,lcom,loc,methods
\apct-tests\perftests\aconfig\src\android\os\flagging\AconfigPackagePerfTest.java,AconfigPackagePerfTest,class,18,1,0.64,138,5
\apct-tests\perftests\autofill\src\android\view\autofill\AbstractAutofillPerfTestCase.java,AbstractAutofillPerfTestCase,class,16,1,0.55,110,5
\apct-tests\perftests\autofill\src\android\view\autofill\AutofillTestHelper.java,AutofillTestHelper,class,6,1,0.38,81,2
\apct-tests\perftests\autofill\src\android\view\autofill\AutofillTestWatcher.java,AutofillTestWatcher,class,12,2,0.74,196,11
\apct-tests\perftests\autofill\src\android\view\autofill\LoginTest.java,LoginTest,class,9,2,0.84,312,9
\apct-tests\perftests\autofill\src\android\view\autofill\MyAutofillCallback.java,MyAutofillCallback,class,16,2,0.61,127,7
\apct-tests\perftests\autofill\src\android\view\autofill\MyAutofillService.java,MyAutofillService,class,17,2,0.8,247,13
\apct-tests\perftests\blobstore\src\com\android\perftests\blob\AtraceUtils.java,AtraceUtils,class,14,1,0.58,120,9
\apct-tests\perftests\blobstore\src\com\android\perftests\blob\BlobStorePerfTests.java,BlobStorePerfTests,class,33,1,0.82,274,13
\apct-tests\perftests\contentcapture\src\android\view\contentcapture\AbstractContentCapturePerfTestCase.java,AbstractContentCapturePerfTestCase,class,27,1,0.83,289,13
\apct-tests\perftests\contentcapture\src\android\view\contentcapture\CustomTestActivity.java,CustomTestActivity,class,10,2,0.59,122,5
\apct-tests\perftests\contentcapture\src\android\view\contentcapture\LoginTest.java,LoginTest,class,9,2,0.79,234,10
\apct-tests\perftests\contentcapture\src\android\view\contentcapture\MyContentCaptureService.java,MyContentCaptureService,class,11,2,0.74,192,14
\apct-tests\perftests\core\src\android\accessibility\AccessibilityPerfTest.java,AccessibilityPerfTest,class,24,1,0.7,164,6
\apct-tests\perftests\core\src\android\accounts\AccountManagerPerfTest.java,AccountManagerPerfTest,class,12,1,0.09,55,1
\apct-tests\perftests\core\src\android\app\OverlayManagerPerfTest.java,OverlayManagerPerfTest,class,23,1,0.81,257,10
\apct-tests\perftests\core\src\android\app\PendingIntentPerfTest.java,PendingIntentPerfTest,class,12,1,0.63,134,4
\apct-tests\perftests\core\src\android\app\ResourcesManagerPerfTest.java,ResourcesManagerPerfTest,class,16,1,0.68,156,7
\apct-tests\perftests\core\src\android\app\ResourcesPerfTest.java,ResourcesPerfTest,class,17,1,0.8,246,11
\apct-tests\perftests\core\src\android\app\ResourcesThemePerfTest.java,ResourcesThemePerfTest,class,15,1,0.57,117,5
\apct-tests\perftests\core\src\android\conscrypt\conscrypt\BufferType.java,BufferType,class,2,1,0,48,1
\apct-tests\perftests\core\src\android\conscrypt\conscrypt\CipherEncryptPerfTest.java,CipherEncryptPerfTest,class,17,1,0.78,227,11
