file,class,type,cbo,dit,lcom,loc,methods
\flink-annotations\src\main\java\org\apache\flink\FlinkVersion.java,FlinkVersion,class,1,2,0.3,104,4
\flink-annotations\src\main\java\org\apache\flink\annotation\Experimental.java,Experimental,class,1,2,0.3,41,1
\flink-annotations\src\main\java\org\apache\flink\annotation\Internal.java,Internal,class,1,2,0.3,37,1
\flink-annotations\src\main\java\org\apache\flink\annotation\Public.java,Public,class,1,2,0.3,41,1
\flink-annotations\src\main\java\org\apache\flink\annotation\PublicEvolving.java,PublicEvolving,class,1,2,0.3,42,1
\flink-annotations\src\main\java\org\apache\flink\annotation\VisibleForTesting.java,VisibleForTesting,class,1,2,0.3,37,1
\flink-annotations\src\main\java\org\apache\flink\annotation\docs\ConfigGroup.java,ConfigGroup,class,1,2,0.3,37,1
\flink-annotations\src\main\java\org\apache\flink\annotation\docs\ConfigGroups.java,ConfigGroups,class,1,2,0.3,40,1
\flink-annotations\src\main\java\org\apache\flink\annotation\docs\Documentation.java,Documentation,class,3,2,0.5,189,7
\flink-annotations\src\main\java\org\apache\flink\annotation\docs\FlinkJsonSchema.java,FlinkJsonSchema,class,1,2,0.3,49,1
\flink-architecture-tests\flink-architecture-tests-base\src\main\java\org\apache\flink\architecture\common\Conditions.java,Conditions,class,3,2,0.5,195,7
\flink-architecture-tests\flink-architecture-tests-base\src\main\java\org\apache\flink\architecture\common\GivenJavaClasses.java,GivenJavaClasses,class,1,2,0.3,62,2
\flink-architecture-tests\flink-architecture-tests-base\src\main\java\org\apache\flink\architecture\common\ImportOptions.java,ImportOptions,class,1,2,0.3,70,2
\flink-architecture-tests\flink-architecture-tests-base\src\main\java\org\apache\flink\architecture\common\JavaFieldPredicates.java,JavaFieldPredicates,class,2,2,0.5,157,6
\flink-architecture-tests\flink-architecture-tests-base\src\main\java\org\apache\flink\architecture\common\Predicates.java,Predicates,class,3,2,0.5,227,9
\flink-architecture-tests\flink-architecture-tests-base\src\main\java\org\apache\flink\architecture\common\SourcePredicates.java,SourcePredicates,class,1,2,0.3,63,2
\flink-architecture-tests\flink-architecture-tests-base\src\test\java\PredicatesTest.java,PredicatesTest,class,1,2,0.3,49,1
