file,class,type,cbo,dit,lcom,loc,methods
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\ClientRebootstrapTest.java,ClientRebootstrapTest,class,4,2,0.5,296,11
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\ClientsTestUtils.java,ClientsTestUtils,class,8,2,0.5,539,21
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\CreateTopicsRequestWithPolicyTest.java,CreateTopicsRequestWithPolicyTest,class,4,2,0.5,240,9
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\MetadataVersionIntegrationTest.java,MetadataVersionIntegrationTest,class,1,2,0.3,85,3
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\MetricsDuringTopicCreationDeletionTest.java,MetricsDuringTopicCreationDeletionTest,class,2,2,0.5,148,5
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\TransactionsExpirationTest.java,TransactionsExpirationTest,class,5,2,0.5,310,12
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\TransactionsWithMaxInFlightOneTest.java,TransactionsWithMaxInFlightOneTest,class,2,2,0.5,126,5
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AddPartitionsTest.java,AddPartitionsTest,class,3,2,0.5,212,8
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AdminClientWithPoliciesIntegrationTest.java,AdminClientWithPoliciesIntegrationTest,class,3,2,0.5,201,8
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AdminFenceProducersTest.java,AdminFenceProducersTest,class,2,2,0.5,137,5
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\AutoTopicCreationTest.java,AutoTopicCreationTest,class,1,2,0.3,112,4
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\ClientTelemetryTest.java,ClientTelemetryTest,class,3,2,0.5,189,7
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\ConcurrentListOffsetsRequestTest.java,ConcurrentListOffsetsRequestTest,class,3,2,0.5,199,7
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\DeleteTopicTest.java,DeleteTopicTest,class,6,2,0.5,377,15
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\DescribeAuthorizedOperationsTest.java,DescribeAuthorizedOperationsTest,class,4,2,0.5,242,9
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\DescribeFeaturesTest.java,DescribeFeaturesTest,class,2,2,0.5,136,5
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\DescribeProducersWithBrokerIdTest.java,DescribeProducersWithBrokerIdTest,class,2,2,0.5,143,5
\clients\clients-integration-tests\src\test\java\org\apache\kafka\clients\admin\DynamicGroupConfigIntegrationTest.java,DynamicGroupConfigIntegrationTest,class,5,2,0.5,308,12
