file,class,type,cbo,dit,lcom,loc,methods
\auth\src\main\java\org\apache\rocketmq\auth\authorization\AuthorizationEvaluator.java,AuthorizationEvaluator,class,7,1,0,45,2
\auth\src\main\java\org\apache\rocketmq\auth\config\AuthConfig.java,AuthConfig,class,1,1,0.83,289,40
\auth\src\main\java\org\apache\rocketmq\auth\migration\AuthMigrator.java,AuthMigrator,class,31,1,0.78,230,7
\auth\src\main\java\org\apache\rocketmq\auth\migration\v1\AccessResource.java,AccessResource,class,1,1,0,21,1
\auth\src\main\java\org\apache\rocketmq\auth\migration\v1\AclConfig.java,AclConfig,class,1,1,0.02,51,4
\auth\src\main\java\org\apache\rocketmq\auth\migration\v1\PlainAccessConfig.java,PlainAccessConfig,class,3,1,0.62,131,14
\auth\src\main\java\org\apache\rocketmq\auth\migration\v1\PlainAccessData.java,PlainAccessData,class,4,1,0.51,102,11
\auth\src\main\java\org\apache\rocketmq\auth\migration\v1\PlainAccessResource.java,PlainAccessResource,class,5,1,0.72,177,20
\auth\src\main\java\org\apache\rocketmq\auth\migration\v1\PlainPermissionManager.java,PlainPermissionManager,class,16,1,0.66,147,5
\auth\src\test\java\org\apache\rocketmq\auth\authentication\AuthenticationEvaluatorTest.java,AuthenticationEvaluatorTest,class,15,1,0.66,148,6
\auth\src\test\java\org\apache\rocketmq\auth\authentication\builder\DefaultAuthenticationContextBuilderTest.java,DefaultAuthenticationContextBuilderTest,class,21,1,0.57,117,5
\auth\src\test\java\org\apache\rocketmq\auth\authentication\manager\AuthenticationMetadataManagerTest.java,AuthenticationMetadataManagerTest,class,13,1,0.73,186,5
\auth\src\test\java\org\apache\rocketmq\auth\authentication\provider\LocalAuthenticationMetadataProviderTest.java,LocalAuthenticationMetadataProviderTest,class,6,1,0,50,1
\auth\src\test\java\org\apache\rocketmq\auth\authorization\AuthorizationEvaluatorTest.java,AuthorizationEvaluatorTest,class,25,1,0.88,402,8
\auth\src\test\java\org\apache\rocketmq\auth\authorization\builder\DefaultAuthorizationContextBuilderTest.java,DefaultAuthorizationContextBuilderTest,class,68,1,0.92,642,10
\auth\src\test\java\org\apache\rocketmq\auth\authorization\chain\AclAuthorizationHandlerTest.java,AclAuthorizationHandlerTest,class,32,1,0.86,362,10
\auth\src\test\java\org\apache\rocketmq\auth\authorization\chain\UserAuthorizationHandlerTest.java,UserAuthorizationHandlerTest,class,27,1,0.69,163,6
\auth\src\test\java\org\apache\rocketmq\auth\authorization\manager\AuthorizationMetadataManagerTest.java,AuthorizationMetadataManagerTest,class,21,1,0.83,290,7
\auth\src\test\java\org\apache\rocketmq\auth\authorization\model\ResourceTest.java,ResourceTest,class,4,1,0.06,53,1
\auth\src\test\java\org\apache\rocketmq\auth\authorization\provider\LocalAuthorizationMetadataProviderTest.java,LocalAuthorizationMetadataProviderTest,class,6,1,0,50,1
\auth\src\test\java\org\apache\rocketmq\auth\authorization\strategy\StatefulAuthorizationStrategyTest.java,StatefulAuthorizationStrategyTest,class,29,1,0.64,138,4
\auth\src\test\java\org\apache\rocketmq\auth\helper\AuthTestHelper.java,AuthTestHelper,class,25,1,0.81,261,6
\auth\src\test\java\org\apache\rocketmq\auth\migration\AuthMigratorTest.java,AuthMigratorTest,class,24,1,0.64,137,5
\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java,BrokerController,class,176,1,0.98,2823,121
\broker\src\main\java\org\apache\rocketmq\broker\BrokerPathConfigHelper.java,BrokerPathConfigHelper,class,1,1,0.36,78,8
\broker\src\main\java\org\apache\rocketmq\broker\BrokerPreOnlineService.java,BrokerPreOnlineService,class,22,2,0.83,287,6
\broker\src\main\java\org\apache\rocketmq\broker\BrokerStartup.java,BrokerStartup,class,25,1,0.85,344,11
\broker\src\main\java\org\apache\rocketmq\broker\ConfigContext.java,ConfigContext,class,6,1,0.6,126,16
\broker\src\main\java\org\apache\rocketmq\broker\ShutdownHook.java,ShutdownHook,class,1,1,0,26,1
\broker\src\main\java\org\apache\rocketmq\broker\auth\converter\AclConverter.java,AclConverter,class,14,1,0.6,126,3
\broker\src\main\java\org\apache\rocketmq\broker\auth\converter\UserConverter.java,UserConverter,class,6,1,0.07,54,2
\broker\src\main\java\org\apache\rocketmq\broker\auth\pipeline\AuthenticationPipeline.java,AuthenticationPipeline,class,13,1,0.21,63,2
\broker\src\main\java\org\apache\rocketmq\broker\auth\pipeline\AuthorizationPipeline.java,AuthorizationPipeline,class,15,1,0.23,65,2
