file,class,type,cbo,dit,lcom,loc,methods
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\constants\ProfileConstants.java,ProfileConstants,class,1,1,0,46,2
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\AsyncProfilerTaskCommand.java,AsyncProfilerTaskCommand,class,5,2,0.58,118,5
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\BaseCommand.java,BaseCommand,class,2,1,0.07,54,3
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\CommandDeserializer.java,CommandDeserializer,class,1,1,0,38,1
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\ConfigurationDiscoveryCommand.java,ConfigurationDiscoveryCommand,class,4,2,0.46,92,6
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\ContinuousProfilingPolicy.java,ContinuousProfilingPolicy,class,4,1,0,49,5
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\ContinuousProfilingPolicyCommand.java,ContinuousProfilingPolicyCommand,class,4,2,0,45,3
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\ContinuousProfilingReportCommand.java,ContinuousProfilingReportCommand,class,2,2,0,41,2
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\Deserializable.java,Deserializable,class,1,2,0,25,1
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\EBPFProfilingTaskCommand.java,EBPFProfilingTaskCommand,class,7,2,0.39,82,7
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\EBPFProfilingTaskExtensionConfig.java,EBPFProfilingTaskExtensionConfig,class,6,1,0.25,67,6
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\PprofTaskCommand.java,PprofTaskCommand,class,4,2,0.51,103,5
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\ProfileTaskCommand.java,ProfileTaskCommand,class,3,2,0.64,140,11
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\Serializable.java,Serializable,class,1,1,0,25,1
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\TraceIgnoreCommand.java,TraceIgnoreCommand,class,2,2,0,44,2
\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\UnsupportedCommandException.java,UnsupportedCommandException,class,1,2,0,32,2
\apm-protocol\apm-network\src\test\java\org\apache\skywalking\oap\server\network\trace\proto\GRPCNoServerTest.java,GRPCNoServerTest,class,11,1,0.25,67,2
\apm-webapp\src\main\java\org\apache\skywalking\oap\server\webapp\ApplicationStartUp.java,ApplicationStartUp,class,16,1,0.48,96,1
\apm-webapp\src\main\java\org\apache\skywalking\oap\server\webapp\Configuration.java,Configuration,class,4,1,0.09,55,3
\apm-webapp\src\main\java\org\apache\skywalking\oap\server\webapp\OapProxyService.java,OapProxyService,class,17,2,0.4,84,2
\apm-webapp\src\main\java\org\apache\skywalking\oap\server\webapp\ZipkinProxyService.java,ZipkinProxyService,class,15,2,0.25,67,2
\oap-server\ai-pipeline\src\main\java\org\apache\skywalking\oap\server\ai\pipeline\AIPipelineConfig.java,AIPipelineConfig,class,3,2,0,32,2
\oap-server\ai-pipeline\src\main\java\org\apache\skywalking\oap\server\ai\pipeline\AIPipelineModule.java,AIPipelineModule,class,2,2,0,35,2
\oap-server\ai-pipeline\src\main\java\org\apache\skywalking\oap\server\ai\pipeline\AIPipelineProvider.java,AIPipelineProvider,class,10,2,0.44,89,5
\oap-server\ai-pipeline\src\main\java\org\apache\skywalking\oap\server\ai\pipeline\services\BaselineQueryService.java,BaselineQueryService,class,3,2,0,45,1
\oap-server\ai-pipeline\src\main\java\org\apache\skywalking\oap\server\ai\pipeline\services\BaselineQueryServiceImpl.java,BaselineQueryServiceImpl,class,27,1,0.75,199,4
\oap-server\ai-pipeline\src\main\java\org\apache\skywalking\oap\server\ai\pipeline\services\HttpUriRecognitionService.java,HttpUriRecognitionService,class,14,1,0.57,115,3
\oap-server\ai-pipeline\src\main\java\org\apache\skywalking\oap\server\ai\pipeline\services\PredictServiceMetrics.java,PredictServiceMetrics,class,4,1,0.09,55,7
\oap-server\ai-pipeline\src\main\java\org\apache\skywalking\oap\server\ai\pipeline\services\ServiceMetrics.java,ServiceMetrics,class,3,1,0,31,1
\oap-server\ai-pipeline\src\test\java\BaselineQueryServer.java,BaselineQueryServer,class,19,2,0.74,194,8
\oap-server\ai-pipeline\src\test\java\BaselineServerTest.java,BaselineServerTest,class,21,1,0.52,105,4
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\module\AnalyzerModule.java,AnalyzerModule,class,3,2,0,39,2
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\AnalyzerModuleConfig.java,AnalyzerModuleConfig,class,16,2,0.7,164,10
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\AnalyzerModuleProvider.java,AnalyzerModuleProvider,class,30,1,0.7,167,10
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\jvm\JVMSourceDispatcher.java,JVMSourceDispatcher,class,22,1,0.79,242,5
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\meter\config\MeterConfig.java,MeterConfig,class,4,1,0,42,4
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\meter\config\MeterConfigs.java,MeterConfigs,class,15,1,0.36,78,1
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\meter\process\IMeterProcessService.java,IMeterProcessService,class,1,2,0,27,1
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\meter\process\MeterProcessor.java,MeterProcessor,class,20,1,0.68,154,5
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\meter\process\MeterProcessService.java,MeterProcessService,class,7,1,0.19,62,3
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\meter\process\SampleBuilder.java,SampleBuilder,class,3,1,0,48,1
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\CacheReadLatencyThresholdsAndWatcher.java,CacheReadLatencyThresholdsAndWatcher,class,9,2,0.38,80,4
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\CacheWriteLatencyThresholdsAndWatcher.java,CacheWriteLatencyThresholdsAndWatcher,class,9,2,0.38,80,4
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\DBLatencyThresholdsAndWatcher.java,DBLatencyThresholdsAndWatcher,class,7,2,0.37,79,4
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\TraceSamplingPolicyWatcher.java,TraceSamplingPolicyWatcher,class,13,2,0.72,177,9
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\UninstrumentedGatewaysConfig.java,UninstrumentedGatewaysConfig,class,24,2,0.71,171,10
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\parser\ISegmentParserListenerManager.java,ISegmentParserListenerManager,class,2,1,0,29,1
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\parser\ISegmentParserService.java,ISegmentParserService,class,2,2,0,29,1
\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\parser\SegmentParserListenerManager.java,SegmentParserListenerManager,class,3,1,0,43,2
