file,class,type,cbo,dit,lcom,loc,methods
\examples\java-native\src\main\java\com\example\myproject\Greeter.java,Greeter,class,1,2,0.3,48,1
\examples\java-native\src\main\java\com\example\myproject\HelloErrorProne.java,HelloErrorProne,class,1,2,0.3,10,1
\examples\java-native\src\test\java\com\example\myproject\Fail.java,Fail,class,1,2,0.3,14,1
\examples\java-native\src\test\java\com\example\myproject\TestCustomGreeting.java,TestCustomGreeting,class,1,2,0.3,32,1
\examples\java-native\src\test\java\com\example\myproject\TestHello.java,TestHello,class,1,2,0.3,35,1
\examples\java-native\src\test\java\com\example\myproject\TestSleep.java,TestSleep,class,1,2,0.3,12,1
\examples\java-starlark\src\main\java\com\example\myproject\Greeter.java,Greeter,class,1,2,0.3,46,1
\examples\java-starlark\src\test\java\com\example\myproject\Fail.java,Fail,class,1,2,0.3,7,1
\examples\java-starlark\src\test\java\com\example\myproject\TestHello.java,TestHello,class,1,2,0.3,35,1
\src\CheckSunJnuEncoding.java,CheckSunJnuEncoding,class,1,2,0.3,24,1
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\BazelJavaBuilder.java,BazelJavaBuilder,class,2,2,0.5,140,5
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\BazelScannerSuppliers.java,BazelScannerSuppliers,class,6,2,0.5,408,16
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\InvalidCommandLineException.java,InvalidCommandLineException,class,1,2,0.3,27,1
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\JarOwner.java,JarOwner,class,1,2,0.3,47,1
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\JavaLibraryBuildRequest.java,JavaLibraryBuildRequest,class,7,2,0.5,458,18
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\OptionsParser.java,OptionsParser,class,7,2,0.5,444,17
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\ReducedClasspathJavaLibraryBuilder.java,ReducedClasspathJavaLibraryBuilder,class,2,2,0.3,120,4
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\SimpleJavaLibraryBuilder.java,SimpleJavaLibraryBuilder,class,3,2,0.5,229,9
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\VanillaJavaBuilder.java,VanillaJavaBuilder,class,6,2,0.5,386,15
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\genclass\GenClass.java,GenClass,class,2,2,0.5,142,5
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\genclass\GenClassOptions.java,GenClassOptions,class,1,2,0.3,78,3
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\genclass\GenClassOptionsParser.java,GenClassOptionsParser,class,1,2,0.3,53,2
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\instrumentation\JacocoInstrumentationProcessor.java,JacocoInstrumentationProcessor,class,2,2,0.5,128,5
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\jarhelper\JarCreator.java,JarCreator,class,5,2,0.5,315,12
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\jarhelper\JarHelper.java,JarHelper,class,3,2,0.5,231,9
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\javac\BlazeJavacArguments.java,BlazeJavacArguments,class,2,2,0.5,141,5
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\javac\BlazeJavacMain.java,BlazeJavacMain,class,6,2,0.5,384,15
\src\java_tools\buildjar\java\com\google\devtools\build\buildjar\javac\BlazeJavaCompiler.java,BlazeJavaCompiler,class,2,2,0.5,134,5
