file,class,type,cbo,dit,lcom,loc,methods
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\Feature.java,Feature,class,7,1,0.53,106,6
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\LocalCacheFactoryGenerator.java,LocalCacheFactoryGenerator,class,47,1,0.77,218,8
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\NodeFactoryGenerator.java,NodeFactoryGenerator,class,42,1,0.78,225,8
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\package-info.java,package-info,class,2,1,0,7,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\Rule.java,Rule,class,1,2,0,30,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\RuleContext.java,RuleContext,class,15,1,0.49,98,7
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\Specifications.java,Specifications,class,8,1,0.52,104,19
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddDeques.java,AddDeques,class,8,1,0.46,92,4
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddExpirationTicker.java,AddExpirationTicker,class,6,1,0,48,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddExpireAfterAccess.java,AddExpireAfterAccess,class,7,1,0.37,79,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddExpireAfterWrite.java,AddExpireAfterWrite,class,3,1,0,43,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddFastPath.java,AddFastPath,class,5,1,0,48,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddKeyValueStrength.java,AddKeyValueStrength,class,8,1,0.32,74,3
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddMaximum.java,AddMaximum,class,12,1,0.61,129,4
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddPacer.java,AddPacer,class,6,1,0,49,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddRefreshAfterWrite.java,AddRefreshAfterWrite,class,3,1,0,43,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddRemovalListener.java,AddRemovalListener,class,6,1,0,48,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddStats.java,AddStats,class,7,1,0.3,71,3
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\AddSubtype.java,AddSubtype,class,7,1,0.26,68,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\Finalize.java,Finalize,class,7,1,0.31,72,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\LocalCacheContext.java,LocalCacheContext,class,9,2,0.12,57,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\local\package-info.java,package-info,class,2,1,0,7,1
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddConstructors.java,AddConstructors,class,6,1,0.53,107,5
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddDeques.java,AddDeques,class,5,1,0.12,57,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddExpiration.java,AddExpiration,class,11,1,0.69,160,5
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddFactoryMethods.java,AddFactoryMethods,class,16,1,0.56,114,4
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddHealth.java,AddHealth,class,9,1,0.47,95,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddKey.java,AddKey,class,14,1,0.62,130,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddMaximum.java,AddMaximum,class,6,1,0.32,73,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddSubtype.java,AddSubtype,class,9,1,0.35,77,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\AddValue.java,AddValue,class,14,1,0.66,148,4
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\Finalize.java,Finalize,class,7,1,0.35,77,2
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\NodeContext.java,NodeContext,class,16,2,0.7,166,6
\caffeine\src\javaPoet\java\com\github\benmanes\caffeine\cache\node\package-info.java,package-info,class,2,1,0,7,1
\caffeine\src\jcstress\java\com\github\benmanes\caffeine\cache\IntermittentNull.java,IntermittentNull,class,12,1,0.63,135,6
\caffeine\src\jcstress\java\com\github\benmanes\caffeine\cache\package-info.java,package-info,class,2,1,0,6,1
\caffeine\src\jctoolsTest\java\com\github\benmanes\caffeine\cache\KeyAtomicityTest.java,KeyAtomicityTest,class,9,1,0.53,106,1
\caffeine\src\jctoolsTest\java\com\github\benmanes\caffeine\cache\MpscGrowableQueueSanityTest.java,MpscGrowableQueueSanityTest,class,5,2,0,43,1
\caffeine\src\jctoolsTest\java\com\github\benmanes\caffeine\cache\NBHMRemoveTest.java,NBHMRemoveTest,class,13,1,0.82,272,9
\caffeine\src\jctoolsTest\java\com\github\benmanes\caffeine\cache\NBHMReplaceTest.java,NBHMReplaceTest,class,2,1,0,32,1
\caffeine\src\jctoolsTest\java\com\github\benmanes\caffeine\cache\NBHM_Tester2.java,NBHM_Tester2,class,23,1,0.93,700,30
\caffeine\src\jctoolsTest\java\com\github\benmanes\caffeine\cache\package-info.java,package-info,class,2,1,0,7,1
\caffeine\src\jctoolsTest\java\com\github\benmanes\caffeine\cache\QueueSanityTest.java,QueueSanityTest,class,12,1,0.83,294,12
\caffeine\src\jmh\java\com\github\benmanes\caffeine\DelegationBenchmark.java,DelegationBenchmark,class,10,1,0.44,89,5
\caffeine\src\jmh\java\com\github\benmanes\caffeine\FactoryBenchmark.java,FactoryBenchmark,class,9,1,0.64,137,7
\caffeine\src\jmh\java\com\github\benmanes\caffeine\package-info.java,package-info,class,2,1,0,7,1
\caffeine\src\jmh\java\com\github\benmanes\caffeine\SlotLookupBenchmark.java,SlotLookupBenchmark,class,10,1,0.66,147,6
\caffeine\src\jmh\java\com\github\benmanes\caffeine\TimeBenchmark.java,TimeBenchmark,class,2,1,0,46,2
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\BasicCache.java,BasicCache,class,1,1,0,41,2
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\BuilderBenchmark.java,BuilderBenchmark,class,10,1,0.39,82,2
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\CacheType.java,CacheType,class,17,1,0.71,174,11
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\ComputeBenchmark.java,ComputeBenchmark,class,14,1,0.55,110,4
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\EvictionBenchmark.java,EvictionBenchmark,class,7,1,0.34,76,2
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\ExpireWriteToleranceBenchmark.java,ExpireWriteToleranceBenchmark,class,16,1,0.65,142,4
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\FrequencySketchBenchmark.java,FrequencySketchBenchmark,class,8,1,0.4,83,4
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\GetPutBenchmark.java,GetPutBenchmark,class,13,1,0.57,116,5
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\MemoryBenchmark.java,MemoryBenchmark,class,24,1,0.82,276,14
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\package-info.java,package-info,class,2,1,0,7,1
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\PutRemoveBenchmark.java,PutRemoveBenchmark,class,12,1,0.54,109,4
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\ReadBufferBenchmark.java,ReadBufferBenchmark,class,10,1,0.43,87,4
\caffeine\src\jmh\java\com\github\benmanes\caffeine\cache\SketchType.java,SketchType,class,2,1,0.23,65,5
