file,class,type,cbo,dit,lcom,loc,methods
\src\it\osgi\src\main\java\org\bytedeco\javacpp\test\osgi\Calc.java,Calc,class,3,2,0,39,2
\src\it\osgi\src\main\java\org\bytedeco\javacpp\test\osgi\JavaCPPOsgiTest.java,JavaCPPOsgiTest,class,2,1,0,16,1
\src\main\java\org\bytedeco\javacpp\BooleanPointer.java,BooleanPointer,class,2,2,0.69,161,10
\src\main\java\org\bytedeco\javacpp\BoolPointer.java,BoolPointer,class,3,2,0.54,109,7
\src\main\java\org\bytedeco\javacpp\BytePointer.java,BytePointer,class,8,2,0.87,394,42
\src\main\java\org\bytedeco\javacpp\CharPointer.java,CharPointer,class,2,2,0.77,213,13
\src\main\java\org\bytedeco\javacpp\ClassProperties.java,ClassProperties,class,10,2,0.85,343,7
\src\main\java\org\bytedeco\javacpp\CLongPointer.java,CLongPointer,class,3,2,0.67,152,9
\src\main\java\org\bytedeco\javacpp\DoublePointer.java,DoublePointer,class,2,2,0.69,162,11
\src\main\java\org\bytedeco\javacpp\FloatPointer.java,FloatPointer,class,2,2,0.69,162,11
\src\main\java\org\bytedeco\javacpp\FunctionPointer.java,FunctionPointer,class,5,1,0.12,57,1
\src\main\java\org\bytedeco\javacpp\IntPointer.java,IntPointer,class,2,2,0.77,217,13
\src\main\java\org\bytedeco\javacpp\LoadEnabled.java,LoadEnabled,class,2,1,0,41,1
\src\main\java\org\bytedeco\javacpp\Loader.java,Loader,class,42,1,0.98,2108,45
\src\main\java\org\bytedeco\javacpp\LongPointer.java,LongPointer,class,2,2,0.69,162,11
\src\main\java\org\bytedeco\javacpp\package-info.java,package-info,class,1,1,0,5,1
\src\main\java\org\bytedeco\javacpp\Pointer.java,Pointer,class,14,1,0.96,1159,47
\src\main\java\org\bytedeco\javacpp\PointerPointer.java,PointerPointer,class,3,2,0.87,376,21
\src\main\java\org\bytedeco\javacpp\PointerScope.java,PointerScope,class,5,1,0.68,157,6
\src\main\java\org\bytedeco\javacpp\ShortPointer.java,ShortPointer,class,2,2,0.69,162,11
\src\main\java\org\bytedeco\javacpp\SizeTPointer.java,SizeTPointer,class,3,2,0.67,151,9
\src\main\java\org\bytedeco\javacpp\annotation\Adapter.java,Adapter,class,8,1,0.52,105,2
\src\main\java\org\bytedeco\javacpp\annotation\Allocator.java,Allocator,class,8,1,0,38,1
\src\main\java\org\bytedeco\javacpp\annotation\ArrayAllocator.java,ArrayAllocator,class,7,1,0,29,1
\src\main\java\org\bytedeco\javacpp\annotation\AsUtf16.java,AsUtf16,class,2,1,0,18,1
\src\main\java\org\bytedeco\javacpp\annotation\ByPtr.java,ByPtr,class,7,1,0,22,1
\src\main\java\org\bytedeco\javacpp\annotation\ByPtrPtr.java,ByPtrPtr,class,7,1,0,22,1
\src\main\java\org\bytedeco\javacpp\annotation\ByPtrRef.java,ByPtrRef,class,6,1,0,20,1
\src\main\java\org\bytedeco\javacpp\annotation\ByRef.java,ByRef,class,7,1,0,27,1
\src\main\java\org\bytedeco\javacpp\annotation\ByVal.java,ByVal,class,7,1,0,25,1
\src\main\java\org\bytedeco\javacpp\annotation\Cast.java,Cast,class,6,1,0,30,1
\src\main\java\org\bytedeco\javacpp\annotation\Const.java,Const,class,7,1,0,31,1
\src\main\java\org\bytedeco\javacpp\annotation\Convention.java,Convention,class,7,1,0,23,1
\src\main\java\org\bytedeco\javacpp\annotation\CriticalRegion.java,CriticalRegion,class,2,1,0,18,1
\src\main\java\org\bytedeco\javacpp\annotation\Function.java,Function,class,6,1,0,26,1
\src\main\java\org\bytedeco\javacpp\annotation\Index.java,Index,class,6,1,0,26,1
\src\main\java\org\bytedeco\javacpp\annotation\MemberGetter.java,MemberGetter,class,6,1,0,30,1
\src\main\java\org\bytedeco\javacpp\annotation\MemberSetter.java,MemberSetter,class,6,1,0,30,1
\src\main\java\org\bytedeco\javacpp\annotation\Name.java,Name,class,6,1,0,28,1
\src\main\java\org\bytedeco\javacpp\annotation\Namespace.java,Namespace,class,6,1,0,29,1
\src\main\java\org\bytedeco\javacpp\annotation\NoDeallocator.java,NoDeallocator,class,6,1,0,27,1
\src\main\java\org\bytedeco\javacpp\annotation\NoException.java,NoException,class,6,1,0,27,1
\src\main\java\org\bytedeco\javacpp\annotation\NoOffset.java,NoOffset,class,7,1,0,26,1
\src\main\java\org\bytedeco\javacpp\annotation\Opaque.java,Opaque,class,7,1,0,23,1
\src\main\java\org\bytedeco\javacpp\annotation\Optional.java,Optional,class,7,1,0,28,1
\src\main\java\org\bytedeco\javacpp\annotation\package-info.java,package-info,class,1,1,0,5,1
\src\main\java\org\bytedeco\javacpp\annotation\Platform.java,Platform,class,8,1,0.55,110,1
\src\main\java\org\bytedeco\javacpp\annotation\Properties.java,Properties,class,9,1,0.04,52,1
\src\main\java\org\bytedeco\javacpp\annotation\Raw.java,Raw,class,8,1,0,28,1
\src\main\java\org\bytedeco\javacpp\annotation\SharedPtr.java,SharedPtr,class,7,1,0,28,1
\src\main\java\org\bytedeco\javacpp\annotation\StdBasicString.java,StdBasicString,class,6,1,0,19,1
\src\main\java\org\bytedeco\javacpp\annotation\StdMove.java,StdMove,class,7,1,0,26,1
\src\main\java\org\bytedeco\javacpp\annotation\StdString.java,StdString,class,6,1,0,23,1
\src\main\java\org\bytedeco\javacpp\annotation\StdU16String.java,StdU16String,class,5,1,0,15,1
\src\main\java\org\bytedeco\javacpp\annotation\StdU32String.java,StdU32String,class,5,1,0,15,1
\src\main\java\org\bytedeco\javacpp\annotation\StdVector.java,StdVector,class,7,1,0,26,1
