file,class,type,cbo,dit,lcom,loc,methods
\src\it\java\com\google\checkstyle\test\base\AbstractGoogleModuleTestSupport.java,AbstractGoogleModuleTestSupport,class,1,1,0.3,89,3
\src\it\java\com\google\checkstyle\test\base\AbstractIndentationTestSupport.java,AbstractIndentationTestSupport,class,4,1,0.5,282,11
\src\it\java\com\google\checkstyle\test\chapter2filebasic\rule21filename\FileNameTest.java,FileNameTest,class,1,2,0.3,48,1
\src\it\java\com\google\checkstyle\test\chapter2filebasic\rule231filetab\WhitespaceCharactersTest.java,WhitespaceCharactersTest,class,1,2,0.3,43,1
\src\it\java\com\google\checkstyle\test\chapter2filebasic\rule232specialescape\SpecialEscapeSequencesTest.java,SpecialEscapeSequencesTest,class,1,2,0.3,54,2
\src\it\java\com\google\checkstyle\test\chapter2filebasic\rule233nonascii\NonAsciiCharactersTest.java,NonAsciiCharactersTest,class,1,2,0.3,38,1
\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule32packagestatement\PackageStatementTest.java,PackageStatementTest,class,1,2,0.3,37,1
\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule331nowildcard\NoWildcardImportsTest.java,NoWildcardImportsTest,class,1,2,0.3,38,1
\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule332nolinewrap\NoLineWrappingTest.java,NoLineWrappingTest,class,1,2,0.3,43,1
\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule333orderingandspacing\OrderingAndSpacingTest.java,OrderingAndSpacingTest,class,1,2,0.3,112,4
\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule341onetoplevel\ExactlyOneTopLevelClassDeclarationTest.java,ExactlyOneTopLevelClassDeclarationTest,class,1,2,0.3,53,2
\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule3421overloadsplit\OverloadsNeverSplitTest.java,OverloadsNeverSplitTest,class,1,2,0.3,42,1
\src\it\java\com\google\checkstyle\test\chapter3filestructure\rule3sourcefile\SourceFileStructureTest.java,SourceFileStructureTest,class,1,2,0.3,47,1
\src\it\java\com\google\checkstyle\test\chapter3filestructure\toolongpackagetotestcoveragegooglesjavastylerule\PackageStatementTest.java,PackageStatementTest,class,1,2,0.3,38,1
\src\it\java\com\google\checkstyle\test\chapter4formatting\rule411optionalbracesusage\UseOfOptionalBracesTest.java,UseOfOptionalBracesTest,class,1,2,0.3,38,1
\src\it\java\com\google\checkstyle\test\chapter4formatting\rule412nonemptyblocks\NonemptyBlocksKrStyleTest.java,NonemptyBlocksKrStyleTest,class,2,2,0.5,143,5
\src\it\java\com\google\checkstyle\test\chapter4formatting\rule413emptyblocks\EmptyBlocksMayBeConciseTest.java,EmptyBlocksMayBeConciseTest,class,1,2,0.3,72,2
\src\it\java\com\google\checkstyle\test\chapter4formatting\rule42blockindentation\BlockIndentation2SpacesTest.java,BlockIndentation2SpacesTest,class,1,2,0.3,103,4
\src\it\java\com\google\checkstyle\test\chapter4formatting\rule43onestatement\OneStatementPerLineTest.java,OneStatementPerLineTest,class,1,2,0.3,53,2
