file,class,type,cbo,dit,lcom,loc,methods
\hutool-ai\src\main\java\cn\hutool\ai\AIException.java,AIException,class,1,2,0.3,87,3
\hutool-ai\src\main\java\cn\hutool\ai\AIServiceFactory.java,AIServiceFactory,class,1,2,0.3,80,3
\hutool-ai\src\main\java\cn\hutool\ai\AIUtil.java,AIUtil,class,2,2,0.5,153,6
\hutool-ai\src\main\java\cn\hutool\ai\ModelName.java,ModelName,class,1,2,0.3,70,2
\hutool-ai\src\main\java\cn\hutool\ai\Models.java,Models,class,4,2,0.5,248,9
\hutool-ai\src\main\java\cn\hutool\ai\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\main\java\cn\hutool\ai\core\AIConfig.java,AIConfig,class,2,2,0.5,178,7
\hutool-ai\src\main\java\cn\hutool\ai\core\AIConfigBuilder.java,AIConfigBuilder,class,3,2,0.5,188,7
\hutool-ai\src\main\java\cn\hutool\ai\core\AIConfigRegistry.java,AIConfigRegistry,class,1,2,0.3,52,2
\hutool-ai\src\main\java\cn\hutool\ai\core\AIService.java,AIService,class,1,2,0.3,75,3
\hutool-ai\src\main\java\cn\hutool\ai\core\AIServiceProvider.java,AIServiceProvider,class,1,2,0.3,44,1
\hutool-ai\src\main\java\cn\hutool\ai\core\BaseAIService.java,BaseAIService,class,2,2,0.5,172,6
\hutool-ai\src\main\java\cn\hutool\ai\core\BaseConfig.java,BaseConfig,class,2,2,0.5,132,5
\hutool-ai\src\main\java\cn\hutool\ai\core\Message.java,Message,class,1,2,0.3,83,3
\hutool-ai\src\main\java\cn\hutool\ai\core\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\main\java\cn\hutool\ai\model\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\main\java\cn\hutool\ai\model\deepseek\DeepSeekCommon.java,DeepSeekCommon,class,1,2,0.3,27,1
\hutool-ai\src\main\java\cn\hutool\ai\model\deepseek\DeepSeekConfig.java,DeepSeekConfig,class,1,2,0.3,49,1
\hutool-ai\src\main\java\cn\hutool\ai\model\deepseek\DeepSeekProvider.java,DeepSeekProvider,class,1,2,0.3,39,1
\hutool-ai\src\main\java\cn\hutool\ai\model\deepseek\DeepSeekService.java,DeepSeekService,class,1,2,0.3,62,2
\hutool-ai\src\main\java\cn\hutool\ai\model\deepseek\DeepSeekServiceImpl.java,DeepSeekServiceImpl,class,2,2,0.5,148,5
\hutool-ai\src\main\java\cn\hutool\ai\model\deepseek\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\main\java\cn\hutool\ai\model\doubao\DoubaoCommon.java,DoubaoCommon,class,1,2,0.3,111,4
\hutool-ai\src\main\java\cn\hutool\ai\model\doubao\DoubaoConfig.java,DoubaoConfig,class,1,2,0.3,49,1
\hutool-ai\src\main\java\cn\hutool\ai\model\doubao\DoubaoProvider.java,DoubaoProvider,class,1,2,0.3,39,1
\hutool-ai\src\main\java\cn\hutool\ai\model\doubao\DoubaoService.java,DoubaoService,class,4,2,0.5,274,10
\hutool-ai\src\main\java\cn\hutool\ai\model\doubao\DoubaoServiceImpl.java,DoubaoServiceImpl,class,7,2,0.5,439,17
\hutool-ai\src\main\java\cn\hutool\ai\model\doubao\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\main\java\cn\hutool\ai\model\gemini\GeminiCommon.java,GeminiCommon,class,2,2,0.5,140,5
\hutool-ai\src\main\java\cn\hutool\ai\model\gemini\GeminiConfig.java,GeminiConfig,class,1,2,0.3,51,2
\hutool-ai\src\main\java\cn\hutool\ai\model\gemini\GeminiProvider.java,GeminiProvider,class,1,2,0.3,39,1
\hutool-ai\src\main\java\cn\hutool\ai\model\gemini\GeminiService.java,GeminiService,class,2,2,0.5,125,5
\hutool-ai\src\main\java\cn\hutool\ai\model\gemini\GeminiServiceImpl.java,GeminiServiceImpl,class,9,2,0.5,547,21
\hutool-ai\src\main\java\cn\hutool\ai\model\gemini\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\main\java\cn\hutool\ai\model\grok\GrokCommon.java,GrokCommon,class,1,2,0.3,44,1
\hutool-ai\src\main\java\cn\hutool\ai\model\grok\GrokConfig.java,GrokConfig,class,1,2,0.3,50,2
\hutool-ai\src\main\java\cn\hutool\ai\model\grok\GrokProvider.java,GrokProvider,class,1,2,0.3,39,1
\hutool-ai\src\main\java\cn\hutool\ai\model\grok\GrokService.java,GrokService,class,3,2,0.5,192,7
\hutool-ai\src\main\java\cn\hutool\ai\model\grok\GrokServiceImpl.java,GrokServiceImpl,class,4,2,0.5,275,11
\hutool-ai\src\main\java\cn\hutool\ai\model\grok\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\main\java\cn\hutool\ai\model\hutool\HutoolCommon.java,HutoolCommon,class,1,2,0.3,119,4
\hutool-ai\src\main\java\cn\hutool\ai\model\hutool\HutoolConfig.java,HutoolConfig,class,1,2,0.3,49,1
\hutool-ai\src\main\java\cn\hutool\ai\model\hutool\HutoolProvider.java,HutoolProvider,class,1,2,0.3,39,1
\hutool-ai\src\main\java\cn\hutool\ai\model\hutool\HutoolService.java,HutoolService,class,2,2,0.5,170,6
\hutool-ai\src\main\java\cn\hutool\ai\model\hutool\HutoolServiceImpl.java,HutoolServiceImpl,class,6,2,0.5,380,15
\hutool-ai\src\main\java\cn\hutool\ai\model\hutool\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\main\java\cn\hutool\ai\model\ollama\OllamaCommon.java,OllamaCommon,class,1,2,0.3,76,3
\hutool-ai\src\main\java\cn\hutool\ai\model\ollama\OllamaConfig.java,OllamaConfig,class,1,2,0.3,55,2
\hutool-ai\src\main\java\cn\hutool\ai\model\ollama\OllamaProvider.java,OllamaProvider,class,1,2,0.3,39,1
\hutool-ai\src\main\java\cn\hutool\ai\model\ollama\OllamaService.java,OllamaService,class,2,2,0.5,151,6
\hutool-ai\src\main\java\cn\hutool\ai\model\ollama\OllamaServiceImpl.java,OllamaServiceImpl,class,4,2,0.5,272,10
\hutool-ai\src\main\java\cn\hutool\ai\model\ollama\package-info.java,package-info,class,1,2,0.3,43,1
\hutool-ai\src\main\java\cn\hutool\ai\model\openai\OpenaiCommon.java,OpenaiCommon,class,1,2,0.3,86,3
\hutool-ai\src\main\java\cn\hutool\ai\model\openai\OpenaiConfig.java,OpenaiConfig,class,1,2,0.3,49,1
\hutool-ai\src\main\java\cn\hutool\ai\model\openai\OpenaiProvider.java,OpenaiProvider,class,1,2,0.3,39,1
\hutool-ai\src\main\java\cn\hutool\ai\model\openai\OpenaiService.java,OpenaiService,class,4,2,0.5,288,11
\hutool-ai\src\main\java\cn\hutool\ai\model\openai\OpenaiServiceImpl.java,OpenaiServiceImpl,class,6,2,0.5,365,14
\hutool-ai\src\main\java\cn\hutool\ai\model\openai\package-info.java,package-info,class,1,2,0.3,24,1
\hutool-ai\src\test\java\AIServiceFactoryTest.java,AIServiceFactoryTest,class,1,2,0.3,41,1
\hutool-ai\src\test\java\AIUtilTest.java,AIUtilTest,class,1,2,0.3,101,4
\hutool-ai\src\test\java\cn\hutool\ai\model\deepseek\DeepSeekServiceTest.java,DeepSeekServiceTest,class,2,2,0.5,122,4
\hutool-ai\src\test\java\cn\hutool\ai\model\doubao\DoubaoServiceTest.java,DoubaoServiceTest,class,5,2,0.5,311,12
\hutool-ai\src\test\java\cn\hutool\ai\model\gemini\GeminiServiceTest.java,GeminiServiceTest,class,4,2,0.5,286,11
\hutool-ai\src\test\java\cn\hutool\ai\model\grok\GrokServiceTest.java,GrokServiceTest,class,3,2,0.5,205,8
\hutool-ai\src\test\java\cn\hutool\ai\model\hutool\HutoolServiceTest.java,HutoolServiceTest,class,3,2,0.5,191,7
\hutool-ai\src\test\java\cn\hutool\ai\model\ollama\OllamaServiceTest.java,OllamaServiceTest,class,4,2,0.5,256,10
\hutool-ai\src\test\java\cn\hutool\ai\model\openai\OpenaiProxyServiceTest.java,OpenaiProxyServiceTest,class,4,2,0.5,253,10
\hutool-ai\src\test\java\cn\hutool\ai\model\openai\OpenaiServiceTest.java,OpenaiServiceTest,class,4,2,0.5,246,9
\hutool-all\src\main\java\cn\hutool\Hutool.java,Hutool,class,1,2,0.3,72,2
