file,class,type,cbo,dit,lcom,loc,methods
\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareObjectsExecutor.java,CompareObjectsExecutor,class,6,2,0.5,384,15
\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareObjectsSettings.java,CompareObjectsSettings,class,2,2,0.5,151,6
\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareReport.java,CompareReport,class,1,2,0.3,45,1
\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareReportLine.java,CompareReportLine,class,1,2,0.3,32,1
\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareReportProperty.java,CompareReportProperty,class,1,2,0.3,32,1
\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareReportRenderer.java,CompareReportRenderer,class,4,2,0.5,251,10
\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareUtils.java,CompareUtils,class,1,2,0.3,51,2
\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\messages\CompareMessages.java,CompareMessages,class,1,2,0.3,35,1
\plugins\org.jkiss.dbeaver.cmp.simple.ui\src\org\jkiss\dbeaver\tools\compare\simple\ui\CompareObjectsHandler.java,CompareObjectsHandler,class,1,2,0.3,91,3
\plugins\org.jkiss.dbeaver.cmp.simple.ui\src\org\jkiss\dbeaver\tools\compare\simple\ui\CompareObjectsPageOutput.java,CompareObjectsPageOutput,class,2,2,0.5,137,5
\plugins\org.jkiss.dbeaver.cmp.simple.ui\src\org\jkiss\dbeaver\tools\compare\simple\ui\CompareObjectsPageSettings.java,CompareObjectsPageSettings,class,2,2,0.5,141,5
\plugins\org.jkiss.dbeaver.cmp.simple.ui\src\org\jkiss\dbeaver\tools\compare\simple\ui\CompareObjectsWizard.java,CompareObjectsWizard,class,3,2,0.5,187,7
