file,class,type,cbo,dit,lcom,loc,methods
\benchmarks\processor\src\main\java\org\elasticsearch\benchmark\ExtraParamProcessor.java,ExtraParamProcessor,class,1,2,0.3,37,1
\benchmarks\src\main\java\org\elasticsearch\benchmark\ExtraParam.java,ExtraParam,class,1,2,0.3,24,1
\benchmarks\src\main\java\org\elasticsearch\benchmark\Utils.java,Utils,class,1,2,0.3,59,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\BytesArrayIndexOfBenchmark.java,BytesArrayIndexOfBenchmark,class,1,2,0.3,74,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\BytesArrayReadLongBenchmark.java,BytesArrayReadLongBenchmark,class,1,2,0.3,71,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\BytesArrayReadVLongBenchmark.java,BytesArrayReadVLongBenchmark,class,1,2,0.3,68,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\PagedBytesReferenceReadLongBenchmark.java,PagedBytesReferenceReadLongBenchmark,class,1,2,0.3,71,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\PagedBytesReferenceReadVIntBenchmark.java,PagedBytesReferenceReadVIntBenchmark,class,1,2,0.3,68,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\PagedBytesReferenceReadVLongBenchmark.java,PagedBytesReferenceReadVLongBenchmark,class,1,2,0.3,68,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\RecyclerBytesStreamOutputBenchmark.java,RecyclerBytesStreamOutputBenchmark,class,3,2,0.5,187,7
\benchmarks\src\main\java\org\elasticsearch\benchmark\bytes\RecyclerBytesStreamOutputWriteBenchmark.java,RecyclerBytesStreamOutputWriteBenchmark,class,4,2,0.5,265,10
\benchmarks\src\main\java\org\elasticsearch\benchmark\common\network\IpAddressesBenchmarks.java,IpAddressesBenchmarks,class,2,2,0.5,142,5
\benchmarks\src\main\java\org\elasticsearch\benchmark\common\util\CodePointCountBenchmark.java,CodePointCountBenchmark,class,1,2,0.3,85,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\common\util\ContainsBenchmark.java,ContainsBenchmark,class,1,2,0.3,119,4
\benchmarks\src\main\java\org\elasticsearch\benchmark\common\util\IntArrayBenchmark.java,IntArrayBenchmark,class,1,2,0.3,99,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\common\util\UTF8StringBytesBenchmark.java,UTF8StringBytesBenchmark,class,2,2,0.5,148,5
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\AggregatorBenchmark.java,AggregatorBenchmark,class,13,2,0.5,837,33
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockBenchmark.java,BlockBenchmark,class,9,2,0.5,560,22
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockKeepMaskBenchmark.java,BlockKeepMaskBenchmark,class,5,2,0.5,302,12
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\BlockReadBenchmark.java,BlockReadBenchmark,class,5,2,0.5,328,13
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\EvalBenchmark.java,EvalBenchmark,class,12,2,0.5,770,30
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\MultivalueDedupeBenchmark.java,MultivalueDedupeBenchmark,class,3,2,0.5,183,7
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\ParallelParsingBenchmark.java,ParallelParsingBenchmark,class,5,2,0.5,321,12
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\ParseIpBenchmark.java,ParseIpBenchmark,class,1,2,0.3,61,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\compute\operator\ValuesAggregatorBenchmark.java,ValuesAggregatorBenchmark,class,6,2,0.5,367,14
\benchmarks\src\main\java\org\elasticsearch\benchmark\esql\CsvErrorPolicyBenchmark.java,CsvErrorPolicyBenchmark,class,2,2,0.5,164,6
\benchmarks\src\main\java\org\elasticsearch\benchmark\esql\JsonExtractBenchmark.java,JsonExtractBenchmark,class,3,2,0.5,213,8
\benchmarks\src\main\java\org\elasticsearch\benchmark\esql\ViewResolutionBenchmarkBase.java,ViewResolutionBenchmarkBase,class,6,2,0.5,377,15
\benchmarks\src\main\java\org\elasticsearch\benchmark\esql\ViewResolutionFullBenchmark.java,ViewResolutionFullBenchmark,class,1,2,0.3,55,2
\benchmarks\src\main\java\org\elasticsearch\benchmark\exponentialhistogram\ExponentialHistogramGenerationBench.java,ExponentialHistogramGenerationBench,class,1,2,0.3,99,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\exponentialhistogram\ExponentialHistogramMergeBench.java,ExponentialHistogramMergeBench,class,2,2,0.5,155,6
\benchmarks\src\main\java\org\elasticsearch\benchmark\fs\AvailableIndexFoldersBenchmark.java,AvailableIndexFoldersBenchmark,class,1,2,0.3,84,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\h3\H3Benchmark.java,H3Benchmark,class,1,2,0.3,47,1
\benchmarks\src\main\java\org\elasticsearch\benchmark\h3\H3State.java,H3State,class,1,2,0.3,36,1
\benchmarks\src\main\java\org\elasticsearch\benchmark\index\codec\tsdb\DecodeConstantIntegerBenchmark.java,DecodeConstantIntegerBenchmark,class,1,2,0.3,77,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\index\codec\tsdb\DecodeCounterWithResetsBenchmark.java,DecodeCounterWithResetsBenchmark,class,1,2,0.3,81,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\index\codec\tsdb\DecodeDecreasingIntegerBenchmark.java,DecodeDecreasingIntegerBenchmark,class,1,2,0.3,77,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\index\codec\tsdb\DecodeGaugeLikeBenchmark.java,DecodeGaugeLikeBenchmark,class,1,2,0.3,81,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\index\codec\tsdb\DecodeGcdFriendlyBenchmark.java,DecodeGcdFriendlyBenchmark,class,1,2,0.3,81,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\index\codec\tsdb\DecodeIncreasingIntegerBenchmark.java,DecodeIncreasingIntegerBenchmark,class,1,2,0.3,77,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\index\codec\tsdb\DecodeLowCardinalityBenchmark.java,DecodeLowCardinalityBenchmark,class,1,2,0.3,86,3
\benchmarks\src\main\java\org\elasticsearch\benchmark\index\codec\tsdb\DecodeNearConstantBenchmark.java,DecodeNearConstantBenchmark,class,1,2,0.3,83,3
