file,class,type,cbo,dit,lcom,loc,methods
\eladmin-system\src\main\java\me\zhengjie\AppRun.java,AppRun,class,13,1,0.32,74,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\domain\App.java,App,class,8,2,0.25,67,5
\eladmin-system\src\main\java\me\zhengjie\modules\maint\domain\Database.java,Database,class,8,2,0.12,57,3
\eladmin-system\src\main\java\me\zhengjie\modules\maint\domain\Deploy.java,Deploy,class,9,2,0.15,59,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\domain\DeployHistory.java,DeployHistory,class,9,1,0.19,62,4
\eladmin-system\src\main\java\me\zhengjie\modules\maint\domain\ServerDeploy.java,ServerDeploy,class,9,2,0.38,80,5
\eladmin-system\src\main\java\me\zhengjie\modules\maint\repository\AppRepository.java,AppRepository,class,3,2,0,27,1
\eladmin-system\src\main\java\me\zhengjie\modules\maint\repository\DatabaseRepository.java,DatabaseRepository,class,3,2,0,27,1
\eladmin-system\src\main\java\me\zhengjie\modules\maint\repository\DeployHistoryRepository.java,DeployHistoryRepository,class,3,2,0,27,1
\eladmin-system\src\main\java\me\zhengjie\modules\maint\repository\DeployRepository.java,DeployRepository,class,3,2,0,27,1
\eladmin-system\src\main\java\me\zhengjie\modules\maint\repository\ServerDeployRepository.java,ServerDeployRepository,class,3,2,0,34,1
\eladmin-system\src\main\java\me\zhengjie\modules\maint\rest\AppController.java,AppController,class,18,1,0.44,89,3
\eladmin-system\src\main\java\me\zhengjie\modules\maint\rest\DatabaseController.java,DatabaseController,class,24,1,0.6,124,5
\eladmin-system\src\main\java\me\zhengjie\modules\maint\rest\DeployController.java,DeployController,class,26,1,0.69,159,6
\eladmin-system\src\main\java\me\zhengjie\modules\maint\rest\DeployHistoryController.java,DeployHistoryController,class,16,1,0.28,69,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\rest\ServerDeployController.java,ServerDeployController,class,18,1,0.48,97,4
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\AppService.java,AppService,class,9,1,0.39,82,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\DatabaseService.java,DatabaseService,class,9,1,0.44,89,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\DeployHistoryService.java,DeployHistoryService,class,9,1,0.33,75,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\DeployService.java,DeployService,class,10,1,0.57,117,3
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\ServerDeployService.java,ServerDeployService,class,9,1,0.48,96,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\AppQueryCriteria.java,AppQueryCriteria,class,5,1,0,38,1
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\DatabaseDto.java,DatabaseDto,class,5,2,0,46,3
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\DatabaseQueryCriteria.java,DatabaseQueryCriteria,class,5,1,0,42,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\DeployDto.java,DeployDto,class,9,2,0.33,75,4
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\DeployHistoryDto.java,DeployHistoryDto,class,4,1,0,47,3
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\DeployHistoryQueryCriteria.java,DeployHistoryQueryCriteria,class,5,1,0,42,2
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\DeployQueryCriteria.java,DeployQueryCriteria,class,5,1,0,39,1
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\ServerDeployDto.java,ServerDeployDto,class,6,2,0.26,68,4
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\dto\ServerDeployQueryCriteria.java,ServerDeployQueryCriteria,class,5,1,0,38,1
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\impl\AppServiceImpl.java,AppServiceImpl,class,16,1,0.62,130,5
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\impl\DatabaseServiceImpl.java,DatabaseServiceImpl,class,18,1,0.56,114,5
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\impl\DeployHistoryServiceImpl.java,DeployHistoryServiceImpl,class,16,1,0.46,93,4
\eladmin-system\src\main\java\me\zhengjie\modules\maint\service\impl\DeployServiceImpl.java,DeployServiceImpl,class,31,1,0.88,434,14
