file,class,type,cbo,dit,lcom,loc,methods
\akka-modules\akka-actors\src\main\java\com\baeldung\akkaactors\FirstActor.java,FirstActor,class,1,2,0.3,32,1
\akka-modules\akka-actors\src\main\java\com\baeldung\akkaactors\MyActor.java,MyActor,class,1,2,0.3,24,1
\akka-modules\akka-actors\src\main\java\com\baeldung\akkaactors\PrinterActor.java,PrinterActor,class,1,2,0.3,45,1
\akka-modules\akka-actors\src\main\java\com\baeldung\akkaactors\ReadingActor.java,ReadingActor,class,1,2,0.3,73,2
\akka-modules\akka-actors\src\main\java\com\baeldung\akkaactors\WordCounterActor.java,WordCounterActor,class,1,2,0.3,55,2
\akka-modules\akka-actors\src\test\java\com\baeldung\akkaactors\AkkaActorsUnitTest.java,AkkaActorsUnitTest,class,1,2,0.3,104,4
\akka-modules\akka-http\src\main\java\com\baeldung\akkahttp\User.java,User,class,1,2,0.3,26,1
\akka-modules\akka-http\src\main\java\com\baeldung\akkahttp\UserActor.java,UserActor,class,1,2,0.3,41,1
\akka-modules\akka-http\src\main\java\com\baeldung\akkahttp\UserMessages.java,UserMessages,class,1,2,0.3,49,1
\akka-modules\akka-http\src\main\java\com\baeldung\akkahttp\UserServer.java,UserServer,class,1,2,0.3,70,2
\akka-modules\akka-http\src\main\java\com\baeldung\akkahttp\UserService.java,UserService,class,1,2,0.3,35,1
\akka-modules\akka-http\src\test\java\com\baeldung\akkahttp\UserServerUnitTest.java,UserServerUnitTest,class,1,2,0.3,52,2
\akka-modules\akka-streams\src\main\java\com\baeldung\akkastreams\AverageRepository.java,AverageRepository,class,1,2,0.3,14,1
\akka-modules\akka-streams\src\main\java\com\baeldung\akkastreams\DataImporter.java,DataImporter,class,1,2,0.3,74,2
\akka-modules\akka-streams\src\test\java\com\baeldung\akkastreams\DataImporterUnitTest.java,DataImporterUnitTest,class,1,2,0.3,43,1
\akka-modules\spring-akka\src\main\java\com\baeldung\akka\AppConfiguration.java,AppConfiguration,class,1,2,0.3,24,1
\akka-modules\spring-akka\src\main\java\com\baeldung\akka\GreetingActor.java,GreetingActor,class,1,2,0.3,42,1
\akka-modules\spring-akka\src\main\java\com\baeldung\akka\GreetingService.java,GreetingService,class,1,2,0.3,12,1
\akka-modules\spring-akka\src\main\java\com\baeldung\akka\SpringActorProducer.java,SpringActorProducer,class,1,2,0.3,28,1
\akka-modules\spring-akka\src\main\java\com\baeldung\akka\SpringExtension.java,SpringExtension,class,1,2,0.3,32,1
\akka-modules\spring-akka\src\test\java\com\baeldung\akka\SpringAkkaIntegrationTest.java,SpringAkkaIntegrationTest,class,1,2,0.3,46,1
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\RunAlgorithm.java,RunAlgorithm,class,1,2,0.3,38,1
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\annealing\City.java,City,class,1,2,0.3,22,1
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\annealing\SimulatedAnnealing.java,SimulatedAnnealing,class,1,2,0.3,36,1
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\annealing\Travel.java,Travel,class,1,2,0.3,64,2
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\Ant.java,Ant,class,1,2,0.3,37,1
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\ant_colony\AntColonyOptimization.java,AntColonyOptimization,class,3,2,0.5,203,8
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\binary\Individual.java,Individual,class,1,2,0.3,44,1
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\binary\Population.java,Population,class,1,2,0.3,40,1
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\binary\SimpleGeneticAlgorithm.java,SimpleGeneticAlgorithm,class,1,2,0.3,117,4
\algorithms-modules\algorithms-genetic\src\main\java\com\baeldung\algorithms\ga\jenetics\Knapsack.java,Knapsack,class,1,2,0.3,47,1
