file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\facebook_fresco\fbcore\src\main\java\com\facebook\common\internal\AndroidPredicates.java,com.facebook.common.internal.AndroidPredicates$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\lab02_clones\facebook_fresco\fbcore\src\main\java\com\facebook\common\internal\AndroidPredicates.java,com.facebook.common.internal.AndroidPredicates$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\lab02_clones\facebook_fresco\imagepipeline-base\src\main\java\com\facebook\cache\common\CacheErrorLogger.java,com.facebook.cache.common.CacheErrorLogger$CacheErrorCategory,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
C:\lab02_clones\facebook_fresco\drawee\src\test\java\com\facebook\drawee\drawable\RoundedCornersDrawableTest.java,com.facebook.drawee.drawable.RoundedCornersDrawableTest,class,9,9,0,9,11,1,0,27,0,0.33333334,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,0,0,0,68,0,0,0,0,0,0,37,8,0,8,0,0,0,0,39,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\test\java\com\facebook\datasource\DataSourceTestUtils.java,com.facebook.datasource.DataSourceTestUtils$AbstractDataSourceSupplier$Anonymous1,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,1,1,0,1,0,0,0,0,9,-1,0
C:\lab02_clones\facebook_fresco\fbcore\src\test\java\com\facebook\widget\text\span\BetterImageSpanMarginTest.java,com.facebook.widget.text.span.BetterImageSpanMarginTest,class,12,12,0,12,5,1,0,10,0,0.5764706,0.0,0.0,5,1,5,0,0,0,5,0,0,0,17,0,0,17,0,0,15,0,1,59,1,0,0,0,0,40,479,24,5,20,0,0,0,0,58,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\main\java\com\facebook\common\references\FinalizerCloseableReference.java,com.facebook.common.references.FinalizerCloseableReference,class,8,10,2,8,6,2,0,7,6,0.75,0.0,0.0,4,0,2,0,1,1,4,0,0,0,1,1,0,1,0,0,1,0,2,26,2,0,1,1,0,2,0,2,0,2,3,0,0,0,21,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\test\java\com\facebook\common\util\TriStateTest.java,com.facebook.common.util.TriStateTest,class,2,2,0,2,6,1,0,14,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\main\java\com\facebook\common\internal\Objects.java,com.facebook.common.internal.Objects$ToStringHelper,innerclass,4,4,0,4,26,1,0,19,182,0.9125,0.0,0.0,20,0,16,4,0,0,16,0,0,0,4,0,0,4,0,0,2,0,15,100,19,1,4,0,0,2,3,22,1,14,3,0,1,0,101,25,0
C:\lab02_clones\facebook_fresco\imagepipeline-base\src\main\java\com\facebook\cache\disk\DefaultEntryEvictionComparatorSupplier.java,com.facebook.cache.disk.DefaultEntryEvictionComparatorSupplier,class,4,5,1,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0
C:\lab02_clones\facebook_fresco\drawee\src\test\java\com\facebook\drawee\drawable\RoundedBitmapDrawableTest.java,com.facebook.drawee.drawable.RoundedBitmapDrawableTest,class,15,15,0,15,14,1,0,32,0,0.6309524,0.0,0.0,14,0,14,0,0,0,14,0,0,0,6,0,0,4,0,2,1,0,1,110,0,0,0,0,0,0,72,13,0,13,0,0,0,0,47,1,0
C:\lab02_clones\facebook_fresco\drawee\src\main\java\com\facebook\drawee\generic\RoundingParams.java,com.facebook.drawee.generic.RoundingParams$RoundingMethod,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\main\java\com\facebook\common\executors\StatefulRunnable.java,com.facebook.common.executors.StatefulRunnable,class,4,6,2,4,11,1,0,7,22,0.7916667,0.0,0.0,8,0,3,0,5,0,8,1,1,0,6,5,0,0,6,0,6,0,0,46,2,0,0,2,0,0,5,7,0,7,1,0,0,0,75,1025,0
C:\lab02_clones\facebook_fresco\drawee\src\main\java\com\facebook\drawee\generic\GenericDraweeHierarchyBuilder.java,com.facebook.drawee.generic.GenericDraweeHierarchyBuilder,class,14,21,7,14,58,1,0,6,1105,0.925926,0.0,0.0,54,1,52,2,0,0,52,0,0,0,22,3,3,19,0,0,3,0,2,261,51,1,3,0,0,1,2,64,0,23,2,0,0,0,184,1,0
C:\lab02_clones\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\ControllerListener.java,com.facebook.drawee.controller.ControllerListener,interface,3,13,10,3,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\test\java\com\facebook\common\references\SharedReferenceTest.java,com.facebook.common.references.SharedReferenceTest,class,7,7,0,7,5,2,0,17,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,5,80,0,0,0,2,0,9,5,8,0,8,1,1,2,0,42,1,0
C:\lab02_clones\facebook_fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\base\AnimatedImageResultBuilder.java,com.facebook.imagepipeline.animated.base.AnimatedImageResultBuilder,class,8,10,2,8,13,1,0,3,58,0.82051283,0.0,0.0,13,0,12,0,0,1,13,0,0,0,6,0,0,6,0,0,1,0,6,60,12,0,0,1,0,0,0,8,0,6,1,0,0,0,84,1,0
C:\lab02_clones\facebook_fresco\drawee\src\test\java\com\facebook\drawee\drawable\FadeDrawableTest.java,com.facebook.drawee.drawable.FadeDrawableTest,class,13,14,1,13,30,4,0,42,0,0.5,0.0,0.0,19,0,15,4,0,0,15,0,0,0,4,0,0,4,0,0,3,0,3,315,0,1,0,0,0,0,251,8,6,6,2,0,1,0,49,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\main\java\com\facebook\common\activitylistener\ActivityListenerManager.java,com.facebook.common.activitylistener.ActivityListenerManager$Listener,innerclass,7,7,0,7,15,2,0,10,26,0.75,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,1,0,1,51,1,0,7,0,0,0,0,9,0,9,1,0,0,0,21,10,0
C:\lab02_clones\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\animated\testing\TestAnimatedDrawableBackend.java,com.facebook.imagepipeline.animated.testing.TestAnimatedDrawableBackend,class,11,12,1,11,28,1,0,4,199,0.8347826,0.0,0.0,23,1,23,0,0,0,23,0,0,0,5,0,0,5,0,0,4,0,1,98,20,3,1,0,6,0,22,17,10,14,2,0,0,0,61,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\main\java\com\facebook\common\references\SharedReference.java,com.facebook.common.references.SharedReference,class,11,21,10,11,28,4,0,21,73,0.7833333,0.0,0.0,15,4,11,4,0,0,11,0,0,7,4,1,0,4,0,0,2,0,6,106,10,0,7,0,0,7,8,8,2,7,3,0,1,0,206,1,0
C:\lab02_clones\facebook_fresco\drawee\src\main\java\com\facebook\drawee\generic\RootDrawable.java,com.facebook.drawee.generic.RootDrawable,class,9,10,1,9,11,3,0,9,13,0.6428572,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,1,0,1,0,0,0,39,4,0,3,0,0,1,2,3,0,2,1,0,0,0,107,1,0
C:\lab02_clones\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\info\internal\ImagePerfRequestListener.java,com.facebook.drawee.backends.pipeline.info.internal.ImagePerfRequestListener,class,5,6,1,5,5,2,0,7,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,31,0,0,0,0,0,0,0,2,0,2,0,0,0,0,24,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\main\java\com\facebook\common\callercontext\ContextChain.java,com.facebook.common.callercontext.ContextChain,class,5,8,3,5,36,1,0,19,82,0.859091,0.0,0.0,20,0,17,1,2,0,19,0,0,0,11,5,4,7,0,0,8,0,5,133,17,0,16,0,1,5,1,26,3,14,2,1,0,0,107,1,0
C:\lab02_clones\facebook_fresco\fbcore\src\test\java\com\facebook\datasource\AbstractDataSourceTest.java,com.facebook.datasource.AbstractDataSourceTest$Value,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
