file,class,type,cbo,dit,lcom,loc,methods
\ide-settings\idea\fileTemplates\code\JUnit3 Test Class.java,JUnit3 Test Class,class,1,2,0.3,6,1
\ide-settings\idea\fileTemplates\code\JUnit4 Test Class.java,JUnit4 Test Class,class,1,2,0.3,6,1
\ide-settings\idea\fileTemplates\code\JUnit5 Test Class.java,JUnit5 Test Class,class,1,2,0.3,6,1
\ide-settings\idea\fileTemplates\includes\Copyright.java,Copyright,class,1,2,0.3,12,1
\ide-settings\idea\fileTemplates\includes\File Header.java,File Header,class,1,2,0.3,3,1
\ide-settings\idea\fileTemplates\internal\Class.java,Class,class,1,2,0.3,5,1
\ide-settings\idea\fileTemplates\internal\Enum.java,Enum,class,1,2,0.3,5,1
\ide-settings\idea\fileTemplates\internal\Interface.java,Interface,class,1,2,0.3,5,1
\ide-settings\idea\fileTemplates\internal\module-info.java,module-info,class,1,2,0.3,4,1
\ide-settings\idea\fileTemplates\internal\package-info.java,package-info,class,1,2,0.3,3,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\AppEngine.java,AppEngine,class,1,2,0.3,35,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\AppEngineConfiguration.java,AppEngineConfiguration,class,13,2,0.5,792,31
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\AppEngines.java,AppEngines,class,4,2,0.5,247,9
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\AbstractCmmnManager.java,AbstractCmmnManager,class,1,1,0.3,73,2
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\AppEngineImpl.java,AppEngineImpl,class,1,2,0.3,101,4
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\AppEnginePostEngineBuildConsumer.java,AppEnginePostEngineBuildConsumer,class,1,2,0.3,35,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\AppManagementServiceImpl.java,AppManagementServiceImpl,class,1,2,0.3,49,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\AppRepositoryServiceImpl.java,AppRepositoryServiceImpl,class,1,2,0.3,108,4
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\ServiceImpl.java,ServiceImpl,class,1,2,0.3,46,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\aot\FlowableAppRuntimeHints.java,FlowableAppRuntimeHints,class,1,2,0.3,32,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cfg\StandaloneInMemAppEngineConfiguration.java,StandaloneInMemAppEngineConfiguration,class,1,2,0.3,24,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\AddIdentityLinkCmd.java,AddIdentityLinkCmd,class,1,2,0.3,79,3
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\DeleteDeploymentCmd.java,DeleteDeploymentCmd,class,1,2,0.3,41,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\DeleteIdentityLinkCmd.java,DeleteIdentityLinkCmd,class,1,2,0.3,68,2
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\DeployCmd.java,DeployCmd,class,1,2,0.3,112,4
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\GetAppModelCmd.java,GetAppModelCmd,class,1,2,0.3,47,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\GetAppModelJsonCmd.java,GetAppModelJsonCmd,class,1,2,0.3,48,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\GetDeploymentAppDefinitionCmd.java,GetDeploymentAppDefinitionCmd,class,1,2,0.3,39,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\GetDeploymentResourceCmd.java,GetDeploymentResourceCmd,class,1,2,0.3,60,2
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\GetDeploymentResourceNamesCmd.java,GetDeploymentResourceNamesCmd,class,1,2,0.3,41,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\GetTableNamesCmd.java,GetTableNamesCmd,class,1,2,0.3,31,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\NeedsAppDefinitionCmd.java,NeedsAppDefinitionCmd,class,1,2,0.3,60,2
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\cmd\SetAppDefinitionCategoryCmd.java,SetAppDefinitionCategoryCmd,class,1,2,0.3,63,2
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\db\AppDbSchemaManager.java,AppDbSchemaManager,class,1,2,0.3,74,2
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\db\EntityDependencyOrder.java,EntityDependencyOrder,class,1,2,0.3,55,2
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\db\EntityToTableMap.java,EntityToTableMap,class,1,2,0.3,41,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\deployer\AppDeployer.java,AppDeployer,class,2,2,0.5,130,5
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\deployer\AppDeploymentManager.java,AppDeploymentManager,class,3,2,0.5,184,7
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\deployer\AppResourceConverterImpl.java,AppResourceConverterImpl,class,1,2,0.3,46,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\deployer\BaseAppModel.java,BaseAppModel,class,1,2,0.3,88,3
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\interceptor\AppCommandInvoker.java,AppCommandInvoker,class,1,2,0.3,46,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AbstractAppEngineEntity.java,AbstractAppEngineEntity,class,1,1,0.3,23,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AbstractAppEngineNoRevisionEntity.java,AbstractAppEngineNoRevisionEntity,class,1,1,0.3,23,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppDefinitionEntity.java,AppDefinitionEntity,class,1,2,0.3,37,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppDefinitionEntityImpl.java,AppDefinitionEntityImpl,class,1,2,0.3,119,4
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppDefinitionEntityManager.java,AppDefinitionEntityManager,class,1,2,0.3,44,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppDefinitionEntityManagerImpl.java,AppDefinitionEntityManagerImpl,class,1,2,0.3,87,3
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppDeploymentEntity.java,AppDeploymentEntity,class,1,2,0.3,57,2
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppDeploymentEntityImpl.java,AppDeploymentEntityImpl,class,3,2,0.5,211,8
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppDeploymentEntityManager.java,AppDeploymentEntityManager,class,1,2,0.3,38,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppDeploymentEntityManagerImpl.java,AppDeploymentEntityManagerImpl,class,1,2,0.3,96,3
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppEngineEntityConstants.java,AppEngineEntityConstants,class,1,2,0.3,18,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppResourceEntity.java,AppResourceEntity,class,1,2,0.3,21,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppResourceEntityImpl.java,AppResourceEntityImpl,class,1,2,0.3,80,3
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppResourceEntityManager.java,AppResourceEntityManager,class,1,2,0.3,30,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\AppResourceEntityManagerImpl.java,AppResourceEntityManagerImpl,class,1,2,0.3,48,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\data\AbstractAppDataManager.java,AbstractAppDataManager,class,1,1,0.3,39,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\data\AppDefinitionDataManager.java,AppDefinitionDataManager,class,1,2,0.3,47,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\data\AppDeploymentDataManager.java,AppDeploymentDataManager,class,1,2,0.3,35,1
\modules\flowable-app-engine\src\main\java\org\flowable\app\engine\impl\persistence\entity\data\AppResourceDataManager.java,AppResourceDataManager,class,1,2,0.3,31,1
