file,class,type,cbo,dit,lcom,loc,methods
\annotations\src\main\java\module-info.java,module-info,class,1,1,0,20,1
\annotations\src\main\java\com\google\j2objc\annotations\AutoreleasePool.java,AutoreleasePool,class,4,1,0.09,55,1
\annotations\src\main\java\com\google\j2objc\annotations\GenerateObjectiveCGenerics.java,GenerateObjectiveCGenerics,class,4,1,0,32,1
\annotations\src\main\java\com\google\j2objc\annotations\J2ObjCIncompatible.java,J2ObjCIncompatible,class,5,1,0,40,1
\annotations\src\main\java\com\google\j2objc\annotations\LoopTranslation.java,LoopTranslation,class,4,1,0.17,60,1
\annotations\src\main\java\com\google\j2objc\annotations\ObjectiveCAdapterMethod.java,ObjectiveCAdapterMethod,class,5,1,0.48,96,1
\annotations\src\main\java\com\google\j2objc\annotations\ObjectiveCAdapterProtocol.java,ObjectiveCAdapterProtocol,class,4,1,0,35,1
\annotations\src\main\java\com\google\j2objc\annotations\ObjectiveCKmpMethod.java,ObjectiveCKmpMethod,class,5,1,0.4,83,1
\annotations\src\main\java\com\google\j2objc\annotations\ObjectiveCName.java,ObjectiveCName,class,5,1,0.02,51,1
\annotations\src\main\java\com\google\j2objc\annotations\ObjectiveCNativeEnumName.java,ObjectiveCNativeEnumName,class,4,1,0,34,1
\annotations\src\main\java\com\google\j2objc\annotations\ObjectiveCNativeProtocol.java,ObjectiveCNativeProtocol,class,5,1,0,42,1
\annotations\src\main\java\com\google\j2objc\annotations\ObjectiveCNativeProtocols.java,ObjectiveCNativeProtocols,class,4,1,0,28,1
\annotations\src\main\java\com\google\j2objc\annotations\OnDealloc.java,OnDealloc,class,4,1,0,38,1
\annotations\src\main\java\com\google\j2objc\annotations\Property.java,Property,class,5,1,0.43,88,2
\annotations\src\main\java\com\google\j2objc\annotations\ReflectionSupport.java,ReflectionSupport,class,5,1,0,50,1
\annotations\src\main\java\com\google\j2objc\annotations\RetainedLocalRef.java,RetainedLocalRef,class,4,1,0,42,1
\annotations\src\main\java\com\google\j2objc\annotations\RetainedWith.java,RetainedWith,class,4,1,0.23,65,1
\annotations\src\main\java\com\google\j2objc\annotations\SwiftName.java,SwiftName,class,5,1,0.12,57,1
\annotations\src\main\java\com\google\j2objc\annotations\UsedByNative.java,UsedByNative,class,5,1,0,29,1
\annotations\src\main\java\com\google\j2objc\annotations\UsedByReflection.java,UsedByReflection,class,5,1,0,29,1
\annotations\src\main\java\com\google\j2objc\annotations\Weak.java,Weak,class,6,1,0,40,1
\annotations\src\main\java\com\google\j2objc\annotations\WeakOuter.java,WeakOuter,class,6,1,0,36,1
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\CycleFinder.java,CycleFinder,class,21,1,0.82,282,11
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\Edge.java,Edge,class,1,1,0.47,94,8
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\GraphBuilder.java,GraphBuilder,class,42,1,0.89,438,28
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\NameList.java,NameList,class,13,1,0.62,130,7
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\NameUtil.java,NameUtil,class,17,1,0.84,304,9
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\Options.java,Options,class,18,2,0.73,185,10
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\ReferenceGraph.java,ReferenceGraph,class,12,1,0.59,121,4
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\Tarjans.java,Tarjans,class,6,1,0.55,110,8
\cycle_finder\src\main\java\com\google\devtools\cyclefinder\TypeNode.java,TypeNode,class,1,1,0.15,59,4
\cycle_finder\src\test\java\com\google\devtools\cyclefinder\CycleFinderTest.java,CycleFinderTest,class,11,2,0.91,564,44
\examples\Contacts\src\java\org\contacts\Contact.java,Contact,class,1,1,0,41,3
\examples\Contacts\src\java\org\contacts\Store.java,Store,class,10,1,0.3,71,3
\examples\Hello\Hello\org\j2objc\Status.java,Status,class,1,1,0,26,1
\examples\HelloSwift\HelloSwiftJava\org\j2objc\Example.java,Example,class,1,1,0,43,3
\examples\protobuf\AddPerson.java,AddPerson,class,9,1,0.47,95,1
\examples\protobuf\ListPeople.java,ListPeople,class,5,1,0.04,52,1
\jre_emul\android\frameworks\base\core\java\android\test\suitebuilder\annotation\LargeTest.java,LargeTest,class,4,1,0,30,1
\jre_emul\android\frameworks\base\core\java\android\test\suitebuilder\annotation\MediumTest.java,MediumTest,class,4,1,0,31,1
\jre_emul\android\frameworks\base\core\java\android\test\suitebuilder\annotation\SmallTest.java,SmallTest,class,4,1,0,30,1
\jre_emul\android\frameworks\base\core\java\android\test\suitebuilder\annotation\Smoke.java,Smoke,class,4,1,0,32,1
\jre_emul\android\frameworks\base\core\java\android\test\suitebuilder\annotation\Suppress.java,Suppress,class,4,1,0,33,1
\jre_emul\android\frameworks\base\core\java\android\text\Editable.java,Editable,class,1,2,0.65,141,8
\jre_emul\android\frameworks\base\core\java\android\text\GetChars.java,GetChars,class,1,2,0,33,1
\jre_emul\android\frameworks\base\core\java\android\text\InputFilter.java,InputFilter,class,1,1,0.52,104,4
\jre_emul\android\frameworks\base\core\java\android\text\InputType.java,InputType,class,1,1,0.86,370,20
\jre_emul\android\frameworks\base\core\java\android\text\NoCopySpan.java,NoCopySpan,class,1,1,0,31,1
\jre_emul\android\frameworks\base\core\java\android\text\Selection.java,Selection,class,1,1,0.9,486,17
\jre_emul\android\frameworks\base\core\java\android\text\Spannable.java,Spannable,class,1,2,0.25,67,3
\jre_emul\android\frameworks\base\core\java\android\text\SpannableString.java,SpannableString,class,1,2,0.11,56,3
\jre_emul\android\frameworks\base\core\java\android\text\SpannableStringBuilder.java,SpannableStringBuilder,class,3,1,0.96,1198,37
\jre_emul\android\frameworks\base\core\java\android\text\SpannableStringInternal.java,SpannableStringInternal,class,2,1,0.88,421,13
\jre_emul\android\frameworks\base\core\java\android\text\Spanned.java,Spanned,class,1,2,0.75,198,11
\jre_emul\android\frameworks\base\core\java\android\text\SpannedString.java,SpannedString,class,1,2,0,48,2
\jre_emul\android\frameworks\base\core\java\android\text\SpanSet.java,SpanSet,class,1,2,0.55,111,3
\jre_emul\android\frameworks\base\core\java\android\text\SpanWatcher.java,SpanWatcher,class,1,2,0,42,2
\jre_emul\android\frameworks\base\core\java\android\text\TextUtils.java,TextUtils,class,5,2,0.97,1771,60
\jre_emul\android\frameworks\base\core\java\android\text\TextWatcher.java,TextWatcher,class,1,2,0.12,57,2
\jre_emul\android\frameworks\base\core\java\android\text\util\Rfc822Token.java,Rfc822Token,class,1,1,0.75,198,8
\jre_emul\android\frameworks\base\core\java\android\text\util\Rfc822Tokenizer.java,Rfc822Tokenizer,class,2,1,0.84,312,3
\jre_emul\android\frameworks\base\core\java\android\util\ArrayMap.java,ArrayMap,class,4,1,0.94,833,22
\jre_emul\android\frameworks\base\core\java\android\util\ArraySet.java,ArraySet,class,6,1,0.93,674,19
\jre_emul\android\frameworks\base\core\java\android\util\Base64.java,Base64,class,1,1,0.93,741,20
\jre_emul\android\frameworks\base\core\java\android\util\Base64DataException.java,Base64DataException,class,1,2,0,30,1
