file,class,type,cbo,dit,lcom,loc,methods
\EventBusAnnotationProcessor\src\org\greenrobot\eventbus\annotationprocessor\EventBusAnnotationProcessor.java,EventBusAnnotationProcessor,class,29,1,0.89,442,15
\EventBusPerformance\src\org\greenrobot\eventbusperf\Test.java,Test,class,2,1,0.31,72,5
\EventBusPerformance\src\org\greenrobot\eventbusperf\TestEvent.java,TestEvent,class,1,1,0,22,1
\EventBusPerformance\src\org\greenrobot\eventbusperf\TestFinishedEvent.java,TestFinishedEvent,class,1,1,0,28,2
\EventBusPerformance\src\org\greenrobot\eventbusperf\TestParams.java,TestParams,class,3,2,0.5,100,13
\EventBusPerformance\src\org\greenrobot\eventbusperf\TestRunner.java,TestRunner,class,5,2,0.42,86,4
\EventBusPerformance\src\org\greenrobot\eventbusperf\TestRunnerActivity.java,TestRunnerActivity,class,9,2,0.51,103,5
\EventBusPerformance\src\org\greenrobot\eventbusperf\TestSetupActivity.java,TestSetupActivity,class,12,2,0.59,123,3
\EventBusPerformance\src\org\greenrobot\eventbusperf\testsubject\PerfTestEventBus.java,PerfTestEventBus,class,11,2,0.84,320,28
\EventBusPerformance\src\org\greenrobot\eventbusperf\testsubject\PerfTestOtto.java,PerfTestOtto,class,13,2,0.79,233,17
\EventBusPerformance\src\org\greenrobot\eventbusperf\testsubject\SubscribeClassEventBusDefault.java,SubscribeClassEventBusDefault,class,2,1,0,49,4
\EventBusTest\src\org\greenrobot\eventbus\AbstractAndroidEventBusTest.java,AbstractAndroidEventBusTest,class,8,2,0.31,72,4
\EventBusTest\src\org\greenrobot\eventbus\AndroidComponentsAvailabilityTest.java,AndroidComponentsAvailabilityTest,class,4,1,0,16,1
\EventBusTest\src\org\greenrobot\eventbus\ClassMapPerfTest.java,ClassMapPerfTest,class,3,2,0.09,55,2
\EventBusTest\src\org\greenrobot\eventbus\EventBusAndroidActivityTest.java,EventBusAndroidActivityTest,class,7,2,0.3,71,4
\EventBusTest\src\org\greenrobot\eventbus\EventBusAndroidCancelEventDeliveryTest.java,EventBusAndroidCancelEventDeliveryTest,class,6,2,0,41,1
\EventBusTest\src\org\greenrobot\eventbus\EventBusAndroidMultithreadedTest.java,EventBusAndroidMultithreadedTest,class,8,2,0.5,100,4
\EventBusTest\src\org\greenrobot\eventbus\EventBusAndroidOrderTest.java,EventBusAndroidOrderTest,class,6,2,0.45,91,5
\EventBusTest\src\org\greenrobot\eventbus\EventBusBackgroundThreadTest.java,EventBusBackgroundThreadTest,class,4,2,0.09,55,2
\EventBusTest\src\org\greenrobot\eventbus\EventBusMainThreadRacingTest.java,EventBusMainThreadRacingTest,class,5,2,0.58,120,6
