file,class,type,cbo,dit,lcom,loc,methods
\base\src\main\java\smile\cs\BasisPursuit.java,BasisPursuit,class,7,1,0.92,611,7
\base\src\main\java\smile\cs\CoSaMP.java,CoSaMP,class,7,1,0.81,257,4
\base\src\main\java\smile\cs\MeasurementMatrix.java,MeasurementMatrix,class,15,1,0.89,470,18
\base\src\main\java\smile\cs\OMP.java,OMP,class,6,1,0.84,305,4
\base\src\main\java\smile\cs\package-info.java,package-info,class,1,1,0,31,1
\base\src\main\java\smile\data\AbstractTuple.java,AbstractTuple,class,1,1,0,47,2
\base\src\main\java\smile\data\BinarySparseDataset.java,BinarySparseDataset,class,5,2,0.75,200,6
\base\src\main\java\smile\data\BinarySparseSequenceDataset.java,BinarySparseSequenceDataset,class,12,2,0.77,219,9
\base\src\main\java\smile\data\CategoricalEncoder.java,CategoricalEncoder,class,1,1,0,32,1
\base\src\main\java\smile\data\Collectors.java,Collectors,class,7,1,0.62,131,1
\base\src\main\java\smile\data\DataFrame.java,DataFrame,class,19,1,0.97,1514,35
\base\src\main\java\smile\data\Dataset.java,Dataset,class,6,2,0.77,214,1
\base\src\main\java\smile\data\package-info.java,package-info,class,1,1,0.57,117,1
\base\src\main\java\smile\data\Row.java,Row,class,1,1,0.45,91,7
\base\src\main\java\smile\data\RowIndex.java,RowIndex,class,4,1,0.34,76,2
\base\src\main\java\smile\data\SampleInstance.java,SampleInstance,class,1,1,0,37,1
\base\src\main\java\smile\data\SimpleDataset.java,SimpleDataset,class,5,1,0.3,71,3
\base\src\main\java\smile\data\SparseDataset.java,SparseDataset,class,8,2,0.84,313,9
\base\src\main\java\smile\data\SQL.java,SQL,class,3,1,0.88,418,13
\base\src\main\java\smile\data\Tuple.java,Tuple,class,10,2,0.93,713,3
\base\src\main\java\smile\data\formula\Abs.java,Abs,class,6,2,0.49,99,4
\base\src\main\java\smile\data\formula\AbstractBiFunction.java,AbstractBiFunction,class,2,1,0.15,59,2
\base\src\main\java\smile\data\formula\AbstractFunction.java,AbstractFunction,class,1,1,0.09,55,2
\base\src\main\java\smile\data\formula\Add.java,Add,class,6,2,0.56,113,4
\base\src\main\java\smile\data\formula\Constant.java,Constant,class,2,1,0,37,1
\base\src\main\java\smile\data\formula\Date.java,Date,class,13,1,0.75,201,6
\base\src\main\java\smile\data\formula\DateFeature.java,DateFeature,class,1,1,0.36,78,1
\base\src\main\java\smile\data\formula\Delete.java,Delete,class,3,1,0.21,63,3
\base\src\main\java\smile\data\formula\Div.java,Div,class,6,2,0.56,113,4
\base\src\main\java\smile\data\formula\Dot.java,Dot,class,4,1,0.06,53,2
\base\src\main\java\smile\data\formula\DoubleFunction.java,DoubleFunction,class,7,2,0.42,86,3
\base\src\main\java\smile\data\formula\FactorCrossing.java,FactorCrossing,class,3,1,0.6,125,5
\base\src\main\java\smile\data\formula\FactorInteraction.java,FactorInteraction,class,8,1,0.64,140,6
\base\src\main\java\smile\data\formula\Feature.java,Feature,class,6,1,0.85,340,1
\base\src\main\java\smile\data\formula\Formula.java,Formula,class,12,1,0.92,606,23
\base\src\main\java\smile\data\formula\Intercept.java,Intercept,class,4,1,0,45,2
\base\src\main\java\smile\data\formula\IntFunction.java,IntFunction,class,7,2,0.43,87,3
\base\src\main\java\smile\data\formula\Mul.java,Mul,class,6,2,0.56,113,4
\base\src\main\java\smile\data\formula\Operator.java,Operator,class,1,2,0,40,1
\base\src\main\java\smile\data\formula\package-info.java,package-info,class,1,1,0,25,1
\base\src\main\java\smile\data\formula\Round.java,Round,class,6,2,0.42,86,3
\base\src\main\java\smile\data\formula\Sub.java,Sub,class,6,2,0.56,113,4
\base\src\main\java\smile\data\formula\Term.java,Term,class,5,2,0.09,55,1
\base\src\main\java\smile\data\formula\Terms.java,Terms,class,11,1,0.97,1815,54
\base\src\main\java\smile\data\formula\Variable.java,Variable,class,6,1,0.46,92,6
\base\src\main\java\smile\data\measure\CategoricalMeasure.java,CategoricalMeasure,class,7,1,0.79,240,7
\base\src\main\java\smile\data\measure\IntervalScale.java,IntervalScale,class,1,2,0.18,61,1
\base\src\main\java\smile\data\measure\Measure.java,Measure,class,2,2,0.06,53,1
\base\src\main\java\smile\data\measure\NominalScale.java,NominalScale,class,2,2,0.41,85,3
\base\src\main\java\smile\data\measure\NumericalMeasure.java,NumericalMeasure,class,2,1,0.07,54,2
\base\src\main\java\smile\data\measure\OrdinalScale.java,OrdinalScale,class,2,2,0.43,88,3
\base\src\main\java\smile\data\measure\package-info.java,package-info,class,1,1,0,23,1
\base\src\main\java\smile\data\measure\RatioScale.java,RatioScale,class,1,2,0.11,56,1
\base\src\main\java\smile\data\transform\ColumnTransform.java,ColumnTransform,class,15,1,0.53,106,4
\base\src\main\java\smile\data\transform\InvertibleColumnTransform.java,InvertibleColumnTransform,class,10,2,0.38,81,3
\base\src\main\java\smile\data\transform\InvertibleTransform.java,InvertibleTransform,class,2,2,0,41,1
\base\src\main\java\smile\data\transform\package-info.java,package-info,class,1,1,0,23,1
\base\src\main\java\smile\data\transform\Transform.java,Transform,class,4,2,0.48,97,1
\base\src\main\java\smile\data\type\ArrayType.java,ArrayType,class,1,1,0.55,111,4
\base\src\main\java\smile\data\type\BooleanType.java,BooleanType,class,1,2,0,42,1
\base\src\main\java\smile\data\type\ByteType.java,ByteType,class,1,2,0,42,1
\base\src\main\java\smile\data\type\CharType.java,CharType,class,1,2,0,43,1
\base\src\main\java\smile\data\type\DataType.java,DataType,class,3,2,0.88,430,1
\base\src\main\java\smile\data\type\DataTypes.java,DataTypes,class,3,1,0.63,136,1
\base\src\main\java\smile\data\type\DateTimeType.java,DateTimeType,class,6,1,0.36,78,3
\base\src\main\java\smile\data\type\DateType.java,DateType,class,2,1,0.29,70,3
\base\src\main\java\smile\data\type\DecimalType.java,DecimalType,class,1,1,0.24,66,4
\base\src\main\java\smile\data\type\DoubleType.java,DoubleType,class,1,2,0.04,52,2
\base\src\main\java\smile\data\type\FloatType.java,FloatType,class,1,2,0.04,52,2
\base\src\main\java\smile\data\type\IntType.java,IntType,class,1,2,0,42,1
\base\src\main\java\smile\data\type\LongType.java,LongType,class,1,2,0,42,1
\base\src\main\java\smile\data\type\ObjectType.java,ObjectType,class,1,1,0.68,158,9
\base\src\main\java\smile\data\type\package-info.java,package-info,class,1,1,0,23,1
\base\src\main\java\smile\data\type\PrimitiveType.java,PrimitiveType,class,1,1,0.26,68,3
\base\src\main\java\smile\data\type\Property.java,Property,class,7,1,0.32,73,2
\base\src\main\java\smile\data\type\ShortType.java,ShortType,class,1,2,0,42,1
\base\src\main\java\smile\data\type\StringType.java,StringType,class,1,1,0.28,69,4
\base\src\main\java\smile\data\type\StructField.java,StructField,class,10,1,0.67,152,6
\base\src\main\java\smile\data\type\StructType.java,StructType,class,14,1,0.87,371,15
\base\src\main\java\smile\data\type\TimeType.java,TimeType,class,2,1,0.3,71,3
\base\src\main\java\smile\data\vector\AbstractVector.java,AbstractVector,class,3,1,0.35,77,2
\base\src\main\java\smile\data\vector\BooleanVector.java,BooleanVector,class,6,2,0.69,162,10
\base\src\main\java\smile\data\vector\ByteVector.java,ByteVector,class,4,2,0.62,133,9
\base\src\main\java\smile\data\vector\CharVector.java,CharVector,class,5,2,0.64,137,9
\base\src\main\java\smile\data\vector\DoubleVector.java,DoubleVector,class,7,2,0.67,152,10
\base\src\main\java\smile\data\vector\FloatVector.java,FloatVector,class,6,2,0.68,155,10
\base\src\main\java\smile\data\vector\IntVector.java,IntVector,class,5,2,0.62,130,9
\base\src\main\java\smile\data\vector\LongVector.java,LongVector,class,6,2,0.63,135,9
\base\src\main\java\smile\data\vector\NullableBooleanVector.java,NullableBooleanVector,class,6,2,0.71,170,10
\base\src\main\java\smile\data\vector\NullableByteVector.java,NullableByteVector,class,5,2,0.65,141,9
\base\src\main\java\smile\data\vector\NullableCharVector.java,NullableCharVector,class,6,2,0.66,145,9
\base\src\main\java\smile\data\vector\NullableDoubleVector.java,NullableDoubleVector,class,7,2,0.68,158,9
\base\src\main\java\smile\data\vector\NullableFloatVector.java,NullableFloatVector,class,7,2,0.68,158,9
\base\src\main\java\smile\data\vector\NullableIntVector.java,NullableIntVector,class,5,2,0.65,141,9
\base\src\main\java\smile\data\vector\NullableLongVector.java,NullableLongVector,class,6,2,0.66,147,9
\base\src\main\java\smile\data\vector\NullablePrimitiveVector.java,NullablePrimitiveVector,class,3,2,0.65,144,7
\base\src\main\java\smile\data\vector\NullableShortVector.java,NullableShortVector,class,5,2,0.65,141,9
\base\src\main\java\smile\data\vector\NumberVector.java,NumberVector,class,8,2,0.7,164,7
\base\src\main\java\smile\data\vector\ObjectVector.java,ObjectVector,class,7,2,0.8,248,14
\base\src\main\java\smile\data\vector\package-info.java,package-info,class,1,1,0,24,1
\base\src\main\java\smile\data\vector\PrimitiveVector.java,PrimitiveVector,class,2,2,0.55,110,6
\base\src\main\java\smile\data\vector\ShortVector.java,ShortVector,class,4,2,0.62,133,9
\base\src\main\java\smile\data\vector\StringVector.java,StringVector,class,12,2,0.73,185,9
\base\src\main\java\smile\data\vector\ValueVector.java,ValueVector,class,14,2,0.95,987,2
\base\src\main\java\smile\datasets\Abalone.java,Abalone,class,12,1,0.58,118,4
\base\src\main\java\smile\datasets\Ailerons.java,Ailerons,class,8,1,0.32,73,2
\base\src\main\java\smile\datasets\AutoMPG.java,AutoMPG,class,8,1,0.31,72,2
\base\src\main\java\smile\datasets\Bank32nh.java,Bank32nh,class,8,1,0.4,83,2
\base\src\main\java\smile\datasets\BitcoinPrice.java,BitcoinPrice,class,6,1,0.47,95,3
\base\src\main\java\smile\datasets\BostonHousing.java,BostonHousing,class,8,1,0.3,71,2
\base\src\main\java\smile\datasets\BreastCancer.java,BreastCancer,class,8,1,0.37,79,3
