file,class,type,cbo,dit,lcom,loc,methods
\distribution\src\main\java\com\hazelcast\commandline\ExceptionHandler.java,ExceptionHandler,class,3,1,0,41,1
\distribution\src\main\java\com\hazelcast\commandline\HazelcastServerCommandLine.java,HazelcastServerCommandLine,class,11,1,0.5,101,3
\distribution\src\main\java\com\hazelcast\commandline\package-info.java,package-info,class,1,1,0,20,1
\distribution\src\main\java\com\hazelcast\commandline\VersionProvider.java,VersionProvider,class,2,1,0,33,1
\distribution\src\test\java\com\hazelcast\commandline\ExceptionHandlerTest.java,ExceptionHandlerTest,class,11,1,0.24,66,3
\distribution\src\test\java\com\hazelcast\commandline\HazelcastServerCommandLineTest.java,HazelcastServerCommandLineTest,class,16,1,0.52,105,4
\distribution\src\test\java\com\hazelcast\commandline\VersionProviderTest.java,VersionProviderTest,class,13,1,0.42,86,1
\extensions\avro\src\main\java\com\hazelcast\jet\avro\AvroProcessors.java,AvroProcessors,class,28,1,0.7,167,6
\extensions\avro\src\main\java\com\hazelcast\jet\avro\AvroSinks.java,AvroSinks,class,12,1,0.53,107,2
\extensions\avro\src\main\java\com\hazelcast\jet\avro\AvroSourceBuilder.java,AvroSourceBuilder,class,7,2,0.57,116,5
\extensions\avro\src\main\java\com\hazelcast\jet\avro\AvroSources.java,AvroSources,class,10,1,0.54,108,3
\extensions\avro\src\main\java\com\hazelcast\jet\avro\package-info.java,package-info,class,1,1,0,22,1
\extensions\avro\src\main\java\com\hazelcast\jet\avro\impl\AvroReadFileFnProvider.java,AvroReadFileFnProvider,class,13,1,0.18,61,2
\extensions\avro\src\main\java\com\hazelcast\jet\avro\impl\AvroSerializerHooks.java,AvroSerializerHooks,class,35,1,0.87,396,32
\extensions\avro\src\test\java\com\hazelcast\jet\avro\AvroSerializableTest.java,AvroSerializableTest,class,9,2,0,41,1
\extensions\avro\src\test\java\com\hazelcast\jet\avro\AvroSerializerTest.java,AvroSerializerTest,class,10,1,0,49,1
\extensions\avro\src\test\java\com\hazelcast\jet\avro\AvroSinkTest.java,AvroSinkTest,class,35,1,0.71,172,8
\extensions\avro\src\test\java\com\hazelcast\jet\avro\AvroSourceTest.java,AvroSourceTest,class,35,1,0.76,205,9
\extensions\avro\src\test\java\com\hazelcast\jet\avro\NoMixedJUnitAnnotationsInOurTestSourcesTest.java,NoMixedJUnitAnnotationsInOurTestSourcesTest,class,5,2,0,34,1
\extensions\avro\src\test\java\com\hazelcast\jet\avro\TestsHaveRunnersTest.java,TestsHaveRunnersTest,class,5,2,0,34,1
\extensions\avro\src\test\java\com\hazelcast\jet\avro\generated\SpecificUser.java,SpecificUser,class,4,2,0.84,308,22
\extensions\avro\src\test\java\com\hazelcast\jet\avro\model\User.java,User,class,4,1,0.39,82,7
\extensions\cdc-debezium\src\main\java\com\hazelcast\jet\cdc\CdcSinks.java,CdcSinks,class,23,1,0.81,267,5
\extensions\cdc-debezium\src\main\java\com\hazelcast\jet\cdc\ChangeRecord.java,ChangeRecord,class,3,1,0.71,173,1
\extensions\cdc-debezium\src\main\java\com\hazelcast\jet\cdc\DebeziumCdcSources.java,DebeziumCdcSources,class,17,1,0.73,186,6
\extensions\cdc-debezium\src\main\java\com\hazelcast\jet\cdc\Operation.java,Operation,class,3,1,0.58,120,3
\extensions\cdc-debezium\src\main\java\com\hazelcast\jet\cdc\package-info.java,package-info,class,1,1,0,24,1
\extensions\cdc-debezium\src\main\java\com\hazelcast\jet\cdc\ParsingException.java,ParsingException,class,2,2,0.02,51,2
\extensions\cdc-debezium\src\main\java\com\hazelcast\jet\cdc\RecordPart.java,RecordPart,class,3,1,0.46,93,1
