file,class,type,cbo,dit,lcom,loc,methods
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\AdmissionRequest.java,AdmissionRequest,class,5,1,0.9,517,40
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\AdmissionResponse.java,AdmissionResponse,class,9,1,0.83,293,21
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\AdmissionReview.java,AdmissionReview,class,4,1,0.72,181,12
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\GroupVersionKind.java,GroupVersionKind,class,4,1,0.66,145,11
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\GroupVersionResource.java,GroupVersionResource,class,4,1,0.66,146,11
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\ListMeta.java,ListMeta,class,4,1,0.75,202,12
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\Status.java,Status,class,4,1,0.83,300,22
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\StatusCause.java,StatusCause,class,4,1,0.69,161,10
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\StatusDetails.java,StatusDetails,class,6,1,0.81,262,18
\client-java-contrib\admissionreview\src\main\java\io\kubernetes\client\admissionreview\models\UserInfo.java,UserInfo,class,8,1,0.74,196,13
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1Certificate.java,V1Certificate,class,33,1,0.85,334,20
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateList.java,V1CertificateList,class,34,1,0.85,325,18
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateRequest.java,V1CertificateRequest,class,33,1,0.85,334,20
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateRequestList.java,V1CertificateRequestList,class,34,1,0.85,325,18
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateRequestSpec.java,V1CertificateRequestSpec,class,35,1,0.91,575,35
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateRequestStatus.java,V1CertificateRequestStatus,class,34,1,0.84,315,18
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateRequestStatusConditionsInner.java,V1CertificateRequestStatusConditionsInner,class,31,1,0.87,388,24
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpec.java,V1CertificateSpec,class,38,1,0.95,930,63
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecAdditionalOutputFormatsInner.java,V1CertificateSpecAdditionalOutputFormatsInner,class,30,1,0.81,263,14
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecIssuerRef.java,V1CertificateSpecIssuerRef,class,30,1,0.82,278,15
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecKeystores.java,V1CertificateSpecKeystores,class,32,1,0.79,243,12
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecKeystoresJks.java,V1CertificateSpecKeystoresJks,class,31,1,0.8,245,12
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecKeystoresJksPasswordSecretRef.java,V1CertificateSpecKeystoresJksPasswordSecretRef,class,30,1,0.8,247,12
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecKeystoresPkcs12.java,V1CertificateSpecKeystoresPkcs12,class,31,1,0.8,245,12
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecKeystoresPkcs12PasswordSecretRef.java,V1CertificateSpecKeystoresPkcs12PasswordSecretRef,class,30,1,0.8,247,12
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecPrivateKey.java,V1CertificateSpecPrivateKey,class,30,1,0.89,441,33
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecSecretTemplate.java,V1CertificateSpecSecretTemplate,class,32,1,0.8,251,13
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateSpecSubject.java,V1CertificateSpecSubject,class,32,1,0.9,490,31
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateStatus.java,V1CertificateStatus,class,34,1,0.88,430,28
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1CertificateStatusConditionsInner.java,V1CertificateStatusConditionsInner,class,31,1,0.88,416,26
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1Challenge.java,V1Challenge,class,33,1,0.85,341,20
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1ChallengeList.java,V1ChallengeList,class,34,1,0.85,325,18
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1ChallengeSpec.java,V1ChallengeSpec,class,32,1,0.9,515,34
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1ChallengeSpecIssuerRef.java,V1ChallengeSpecIssuerRef,class,30,1,0.82,278,15
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1ChallengeSpecSolver.java,V1ChallengeSpecSolver,class,33,1,0.82,276,15
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1ChallengeSpecSolverDns01.java,V1ChallengeSpecSolverDns01,class,39,1,0.91,552,36
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1ChallengeSpecSolverDns01AcmeDNS.java,V1ChallengeSpecSolverDns01AcmeDNS,class,31,1,0.8,248,12
\client-java-contrib\cert-manager\src\main\java\io\cert\manager\models\V1ChallengeSpecSolverDns01AcmeDNSAccountSecretRef.java,V1ChallengeSpecSolverDns01AcmeDNSAccountSecretRef,class,30,1,0.8,247,12
