file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\material-components_material-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,innerclass,6,6,0,6,8,2,0,8,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,1,0,0,0,3,2,0,0,1,0,0,0,55,0,0
C:\lab02_clones\material-components_material-components-android\lib\java\com\google\android\material\search\SearchView.java,com.google.android.material.search.SearchView$Anonymous2,anonymous,1,1,0,1,4,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,-1,0
C:\lab02_clones\material-components_material-components-android\lib\java\com\google\android\material\search\SearchView.java,com.google.android.material.search.SearchView$Anonymous1,anonymous,1,1,0,1,6,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,-1,0
C:\lab02_clones\material-components_material-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,class,9,10,1,9,22,1,0,14,19,0.75510204,0.0,0.0,14,0,11,3,0,0,11,0,0,0,7,0,0,7,0,0,2,0,1,107,11,0,6,0,0,0,3,15,0,9,3,1,1,0,85,1,0
C:\lab02_clones\material-components_material-components-android\lib\java\com\google\android\material\listitem\RevealableListItem.java,com.google.android.material.listitem.RevealableListItem,interface,4,7,3,4,4,1,0,0,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,3,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,3,3,0,3,0,0,0,0,82,1,0
C:\lab02_clones\material-components_material-components-android\lib\java\com\google\android\material\shape\StateListSizeChange.java,com.google.android.material.shape.StateListSizeChange,class,17,18,1,17,41,1,0,30,17,0.71999997,0.0,0.0,10,1,5,5,0,0,5,0,0,0,5,1,0,2,0,3,1,0,4,156,14,5,16,1,4,4,22,40,3,32,3,0,3,0,121,1,0
C:\lab02_clones\material-components_material-components-android\lib\java\com\google\android\material\slider\Slider.java,com.google.android.material.slider.Slider$OnChangeListener,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\lab02_clones\material-components_material-components-android\catalog\java\io\material\catalog\divider\DividerItemDecorationDemoFragment.java,io.material.catalog.divider.DividerItemDecorationDemoFragment$DividerAdapter$MyViewHolder,innerclass,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,10,0
C:\lab02_clones\material-components_material-components-android\catalog\java\io\material\catalog\preferences\ThemePreference.java,io.material.catalog.preferences.ThemePreference,class,6,7,1,6,5,2,0,4,6,0.875,0.0,0.0,4,0,1,0,3,0,5,0,0,0,6,6,0,6,0,0,6,0,0,25,2,0,0,0,0,0,3,6,0,6,0,0,0,0,43,1,0
C:\lab02_clones\material-components_material-components-android\catalog\java\io\material\catalog\dockedtoolbar\DockedToolbarMainDemoFragment.java,io.material.catalog.dockedtoolbar.DockedToolbarMainDemoFragment,class,15,17,2,15,9,3,0,23,4,0.4,0.0,0.0,5,0,2,2,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,43,3,0,1,0,1,0,4,6,0,9,3,0,0,4,63,1,0
