file,class,type,cbo,dit,lcom,loc,methods
\src\nicelee\bilibili\API.java,API,class,27,1,0.86,366,6
\src\nicelee\bilibili\INeedAV.java,INeedAV,class,12,1,0.59,123,6
\src\nicelee\bilibili\INeedLogin.java,INeedLogin,class,24,1,0.85,323,9
\src\nicelee\bilibili\PackageScanLoader.java,PackageScanLoader,class,21,1,0.83,295,9
\src\nicelee\bilibili\annotations\Bilibili.java,Bilibili,class,5,1,0,24,1
\src\nicelee\bilibili\annotations\Config.java,Config,class,4,1,0,29,1
\src\nicelee\bilibili\annotations\Controller.java,Controller,class,4,1,0,21,1
\src\nicelee\bilibili\annotations\Value.java,Value,class,4,1,0,15,1
\src\nicelee\bilibili\downloaders\Downloader.java,Downloader,class,7,1,0.68,157,9
\src\nicelee\bilibili\downloaders\IDownloader.java,IDownloader,class,3,1,0.63,134,7
\src\nicelee\bilibili\downloaders\impl\AudioDownloader.java,AudioDownloader,class,6,2,0.09,55,2
\src\nicelee\bilibili\downloaders\impl\CCDownloader.java,CCDownloader,class,12,1,0.69,160,8
\src\nicelee\bilibili\downloaders\impl\DanmuDownloader.java,DanmuDownloader,class,15,1,0.67,150,7
\src\nicelee\bilibili\downloaders\impl\FFmpegDownloader.java,FFmpegDownloader,class,8,2,0.38,80,1
\src\nicelee\bilibili\downloaders\impl\FLVDownloader.java,FLVDownloader,class,11,1,0.8,256,8
\src\nicelee\bilibili\downloaders\impl\JPGDownloader.java,JPGDownloader,class,5,2,0.07,54,2
\src\nicelee\bilibili\downloaders\impl\M4SDownloader.java,M4SDownloader,class,6,2,0.43,88,1
\src\nicelee\bilibili\downloaders\impl\MP4Downloader.java,MP4Downloader,class,1,2,0,32,1
\src\nicelee\bilibili\downloaders\impl\TestDownloader.java,TestDownloader,class,1,2,0,40,2
\src\nicelee\bilibili\downloaders\impl\VersionBetaDownloader.java,VersionBetaDownloader,class,17,2,0.62,131,2
\src\nicelee\bilibili\downloaders\impl\VersionDownloader.java,VersionDownloader,class,13,2,0.47,95,2
\src\nicelee\bilibili\enums\AudioQualityEnum.java,AudioQualityEnum,class,1,1,0.17,60,4
\src\nicelee\bilibili\enums\DownloadModeEnum.java,DownloadModeEnum,class,1,1,0,26,1
\src\nicelee\bilibili\enums\StatusEnum.java,StatusEnum,class,1,1,0,25,2
\src\nicelee\bilibili\enums\VideoQualityEnum.java,VideoQualityEnum,class,1,1,0.26,68,4
\src\nicelee\bilibili\exceptions\ApiLinkQueryParseError.java,ApiLinkQueryParseError,class,1,2,0,13,2
\src\nicelee\bilibili\exceptions\BilibiliError.java,BilibiliError,class,1,2,0,13,2
\src\nicelee\bilibili\exceptions\NoSubtitleException.java,NoSubtitleException,class,1,2,0,14,2
\src\nicelee\bilibili\exceptions\QualityTooLowException.java,QualityTooLowException,class,1,2,0,13,2
\src\nicelee\bilibili\exceptions\Status412Exception.java,Status412Exception,class,1,2,0,13,2
\src\nicelee\bilibili\model\ClipInfo.java,ClipInfo,class,1,1,0.73,186,17
\src\nicelee\bilibili\model\FavList.java,FavList,class,1,1,0.29,70,6
\src\nicelee\bilibili\model\StoryClipInfo.java,StoryClipInfo,class,1,1,0.04,52,5
\src\nicelee\bilibili\model\TaskInfo.java,TaskInfo,class,1,1,0.43,87,8
\src\nicelee\bilibili\model\UserInfo.java,UserInfo,class,1,1,0,26,3
\src\nicelee\bilibili\model\VideoInfo.java,VideoInfo,class,1,1,0.51,103,9
\src\nicelee\bilibili\parsers\IInputParser.java,IInputParser,class,1,1,0,34,3
\src\nicelee\bilibili\parsers\InputParser.java,InputParser,class,11,1,0.69,159,9
\src\nicelee\bilibili\parsers\IParamSetter.java,IParamSetter,class,1,1,0,13,2
\src\nicelee\bilibili\parsers\impl\AbstractBaseParser.java,AbstractBaseParser,class,25,1,0.93,694,6
\src\nicelee\bilibili\parsers\impl\AbstractPageQueryParser.java,AbstractPageQueryParser,class,1,2,0.44,89,2
\src\nicelee\bilibili\parsers\impl\AudioAmParser.java,AudioAmParser,class,11,2,0.6,125,4
\src\nicelee\bilibili\parsers\impl\AudioAuParser.java,AudioAuParser,class,10,2,0.43,87,4
\src\nicelee\bilibili\parsers\impl\AudioCollectParser.java,AudioCollectParser,class,11,2,0.6,124,4
\src\nicelee\bilibili\parsers\impl\AVParser.java,AVParser,class,4,2,0.24,66,4
\src\nicelee\bilibili\parsers\impl\B23Parser.java,B23Parser,class,4,2,0,39,1
\src\nicelee\bilibili\parsers\impl\BVParser.java,BVParser,class,3,2,0,35,3
\src\nicelee\bilibili\parsers\impl\CheeseEPParser.java,CheeseEPParser,class,7,2,0.15,59,4
\src\nicelee\bilibili\parsers\impl\CheeseSSParser.java,CheeseSSParser,class,13,2,0.76,206,6
\src\nicelee\bilibili\parsers\impl\EPParser.java,EPParser,class,7,2,0.26,68,4
\src\nicelee\bilibili\parsers\impl\FFmpegParser.java,FFmpegParser,class,8,2,0.31,72,3
\src\nicelee\bilibili\parsers\impl\MdParser.java,MdParser,class,5,2,0.19,62,4
\src\nicelee\bilibili\parsers\impl\MLParser.java,MLParser,class,11,2,0.74,193,3
\src\nicelee\bilibili\parsers\impl\SSParser.java,SSParser,class,9,2,0.6,125,3
\src\nicelee\bilibili\parsers\impl\TestParser.java,TestParser,class,5,2,0.22,64,3
\src\nicelee\bilibili\parsers\impl\URL4ChannelCollectionParser.java,URL4ChannelCollectionParser,class,9,2,0.62,133,5
\src\nicelee\bilibili\parsers\impl\URL4ChannelCollectionParserEx.java,URL4ChannelCollectionParserEx,class,11,2,0.73,182,5
\src\nicelee\bilibili\parsers\impl\URL4ChannelParser.java,URL4ChannelParser,class,9,2,0.69,159,5
\src\nicelee\bilibili\parsers\impl\URL4ChannelSeriesMedialistParser.java,URL4ChannelSeriesMedialistParser,class,11,2,0.73,182,5
\src\nicelee\bilibili\parsers\impl\URL4ChannelSeriesParser.java,URL4ChannelSeriesParser,class,9,2,0.66,149,5
\src\nicelee\bilibili\parsers\impl\URL4FavlistParser.java,URL4FavlistParser,class,2,2,0,27,2
