file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\neo4j_neo4j\community\bolt\src\main\java\org\neo4j\bolt\protocol\common\connector\listener\ResponseMetricsConnectorListener.java,org.neo4j.bolt.protocol.common.connector.listener.ResponseMetricsConnectorListener,class,6,8,2,6,7,1,0,5,9,0.42857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,22,0,0,0,0,0,0,0,1,0,1,0,0,0,0,30,1,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\test\java\org\neo4j\bolt\protocol\common\fsm\response\metadata\AbstractLegacyMetadataHandlerTest.java,org.neo4j.bolt.protocol.common.fsm.response.metadata.AbstractLegacyMetadataHandlerTest,class,6,8,2,6,2,2,2,30,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,32,12,3,0,6,0,0,0,3,25,1025,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\main\java\org\neo4j\bolt\protocol\common\connector\connection\Feature.java,org.neo4j.bolt.protocol.common.connector.connection.Feature,enum,5,17,12,5,7,1,0,3,4,0.6,0.0,0.0,5,1,4,0,0,1,6,0,0,0,2,1,0,2,0,0,2,0,1,31,3,1,0,0,0,1,0,2,0,2,1,1,0,0,94,1,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\main\java\org\neo4j\bolt\fsm\error\state\IllegalRequestException.java,org.neo4j.bolt.fsm.error.state.IllegalRequestException,class,4,6,2,4,7,5,2,2,0,0.2857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,0,33,3,0,0,0,0,0,0,8,0,2,0,0,0,0,18,1025,0
C:\lab02_clones\neo4j_neo4j\community\community-it\kernel-it\src\test\java\org\neo4j\kernel\impl\newapi\PropertyIndexPartitionedScanTestSuite.java,org.neo4j.kernel.impl.newapi.PropertyIndexPartitionedScanTestSuite$WithData,innerclass,9,9,0,9,2,3,0,1,1,0.5,0.0,0.0,2,0,0,0,1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1032,0
C:\lab02_clones\neo4j_neo4j\community\codegen\src\main\java\org\neo4j\codegen\TypeReference.java,org.neo4j.codegen.TypeReference$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\lab02_clones\neo4j_neo4j\community\collections\src\main\java\org\neo4j\collection\trackable\HeapTrackingConcurrentLongHashSet.java,org.neo4j.collection.trackable.HeapTrackingConcurrentLongHashSet$LongHashSetIterator,innerclass,3,3,0,3,3,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2,0,1,0,0,2,0,1,1,0,0,0,12,2,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\main\java\org\neo4j\bolt\tx\TransactionManager.java,org.neo4j.bolt.tx.TransactionManager,interface,5,14,9,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0
C:\lab02_clones\neo4j_neo4j\community\concurrent\src\main\java\org\neo4j\util\concurrent\SequenceArray.java,org.neo4j.util.concurrent.SequenceArray,class,4,6,2,4,31,1,0,11,0,0.44155842,0.0,0.0,11,0,2,4,0,5,7,0,0,0,7,1,0,7,0,0,1,0,1,134,10,6,10,0,2,6,25,52,16,35,3,0,0,0,77,1,0
C:\lab02_clones\neo4j_neo4j\community\bolt\src\test\java\org\neo4j\bolt\protocol\common\message\encoder\SuccessMessageEncoderTest.java,org.neo4j.bolt.protocol.common.message.encoder.SuccessMessageEncoderTest,class,5,5,0,5,1,1,0,12,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,3,1,6,0,6,0,0,0,0,21,0,0
