file,class,type,cbo,dit,lcom,loc,methods
\test\jdk\sun\security\TestSignatureOidHelper.java,TestSignatureOidHelper,class,8,1,0.6,124,7
\test\jdk\sun\security\jgss\DefaultGssConfig.java,DefaultGssConfig,class,9,1,0.29,70,1
\test\jdk\sun\security\jgss\GssContextCleanup.java,GssContextCleanup,class,5,1,0.18,61,1
\test\jdk\sun\security\jgss\GssMemoryIssues.java,GssMemoryIssues,class,3,1,0.04,52,1
\test\jdk\sun\security\jgss\GssNameCleanup.java,GssNameCleanup,class,5,1,0.26,68,1
\test\jdk\sun\security\jgss\GssNPE.java,GssNPE,class,1,1,0.06,53,1
\test\jdk\sun\security\krb5\BadKdcDefaultValue.java,BadKdcDefaultValue,class,1,1,0,40,1
\test\jdk\sun\security\krb5\ErrorMessages.java,ErrorMessages,class,4,1,0.21,63,1
\test\jdk\sun\security\krb5\IPv6.java,IPv6,class,11,1,0.63,134,1
\test\jdk\sun\security\krb5\Krb5NameEquals.java,Krb5NameEquals,class,4,1,0.42,86,2
\test\jdk\sun\security\krb5\KrbCredSubKey.java,KrbCredSubKey,class,11,1,0.86,354,3
\test\jdk\sun\security\krb5\MicroTime.java,MicroTime,class,1,1,0.09,55,1
\test\jdk\sun\security\krb5\NegativeNonce.java,NegativeNonce,class,1,1,0,40,1
\test\jdk\sun\security\krb5\NullStringToKey.java,NullStringToKey,class,4,1,0.15,59,1
\test\jdk\sun\security\krb5\OptionPADataInKDCReq.java,OptionPADataInKDCReq,class,3,1,0.6,125,1
\test\jdk\sun\security\krb5\RFC396xTest.java,RFC396xTest,class,13,1,0.79,236,2
\test\jdk\sun\security\krb5\ServiceCredsCombination.java,ServiceCredsCombination,class,12,1,0.7,167,4
\test\jdk\sun\security\krb5\TestPAData.java,TestPAData,class,3,1,0.44,89,1
\test\jdk\sun\security\krb5\UnknownCCEntry.java,UnknownCCEntry,class,5,1,0.77,221,1
\test\jdk\sun\security\krb5\auto\AcceptorSubKey.java,AcceptorSubKey,class,1,1,0.3,71,1
\test\jdk\sun\security\krb5\auto\Action.java,Action,class,1,1,0,32,1
\test\jdk\sun\security\krb5\auto\Addresses.java,Addresses,class,4,1,0.45,91,1
\test\jdk\sun\security\krb5\auto\AddressesAndNameType.java,AddressesAndNameType,class,5,1,0.43,87,1
\test\jdk\sun\security\krb5\auto\AlwaysEncPaReq.java,AlwaysEncPaReq,class,1,1,0,41,1
\test\jdk\sun\security\krb5\auto\Basic.java,Basic,class,1,1,0.29,70,1
\test\jdk\sun\security\krb5\auto\BasicKrb5Test.java,BasicKrb5Test,class,3,1,0.7,166,2
\test\jdk\sun\security\krb5\auto\BasicProc.java,BasicProc,class,10,1,0.83,290,7
\test\jdk\sun\security\krb5\auto\BogusKDC.java,BogusKDC,class,9,1,0.58,120,1
\test\jdk\sun\security\krb5\auto\CaseSensitive.java,CaseSensitive,class,3,1,0.54,108,2
\test\jdk\sun\security\krb5\auto\Cleaners.java,Cleaners,class,10,1,0.72,180,7
\test\jdk\sun\security\krb5\auto\CleanState.java,CleanState,class,8,1,0.37,79,2
\test\jdk\sun\security\krb5\auto\Context.java,Context,class,32,1,0.93,721,24
\test\jdk\sun\security\krb5\auto\CrossRealm.java,CrossRealm,class,13,1,0.54,108,2
\test\jdk\sun\security\krb5\auto\DiffNameSameKey.java,DiffNameSameKey,class,2,1,0.46,93,1
\test\jdk\sun\security\krb5\auto\DiffSaltParams.java,DiffSaltParams,class,1,1,0.06,53,1
\test\jdk\sun\security\krb5\auto\DnsCanonicalizeHostname.java,DnsCanonicalizeHostname,class,5,1,0.38,81,1
\test\jdk\sun\security\krb5\auto\DupEtypes.java,DupEtypes,class,2,1,0.33,75,1
\test\jdk\sun\security\krb5\auto\DynamicKeytab.java,DynamicKeytab,class,8,1,0.66,148,2
\test\jdk\sun\security\krb5\auto\EmptyPassword.java,EmptyPassword,class,1,1,0,46,1
\test\jdk\sun\security\krb5\auto\FileKeyTab.java,FileKeyTab,class,2,1,0.11,56,1
\test\jdk\sun\security\krb5\auto\ForwardableCheck.java,ForwardableCheck,class,3,1,0.4,83,1
\test\jdk\sun\security\krb5\auto\Forwarded.java,Forwarded,class,4,1,0.06,53,1
\test\jdk\sun\security\krb5\auto\GSS.java,GSS,class,1,1,0.19,62,1
\test\jdk\sun\security\krb5\auto\GSSUnbound.java,GSSUnbound,class,2,1,0.21,63,1
\test\jdk\sun\security\krb5\auto\Helper.java,Helper,class,5,1,0.12,57,2
\test\jdk\sun\security\krb5\auto\HttpNegotiateServer.java,HttpNegotiateServer,class,41,1,0.9,517,8
\test\jdk\sun\security\krb5\auto\HttpsCB.java,HttpsCB,class,40,1,0.84,318,7
\test\jdk\sun\security\krb5\auto\IgnoreChannelBinding.java,IgnoreChannelBinding,class,5,1,0.59,122,1
\test\jdk\sun\security\krb5\auto\KDC.java,KDC,class,25,1,0.98,2086,46
\test\jdk\sun\security\krb5\auto\KdcPolicy.java,KdcPolicy,class,14,1,0.86,370,3
\test\jdk\sun\security\krb5\auto\KeyTabCompat.java,KeyTabCompat,class,2,1,0.37,79,2
\test\jdk\sun\security\krb5\auto\KPEquals.java,KPEquals,class,4,1,0.12,57,1
\test\jdk\sun\security\krb5\auto\KrbTicket.java,KrbTicket,class,11,1,0.66,148,6
\test\jdk\sun\security\krb5\auto\KvnoNA.java,KvnoNA,class,6,1,0.32,74,1
\test\jdk\sun\security\krb5\auto\LifeTimeInSeconds.java,LifeTimeInSeconds,class,2,1,0.06,53,1
\test\jdk\sun\security\krb5\auto\LoginModuleDebug.java,LoginModuleDebug,class,9,1,0.48,97,2
\test\jdk\sun\security\krb5\auto\LoginModuleOptions.java,LoginModuleOptions,class,8,1,0.73,187,4
\test\jdk\sun\security\krb5\auto\LoginNoPass.java,LoginNoPass,class,6,1,0.33,75,2
\test\jdk\sun\security\krb5\auto\LongLife.java,LongLife,class,5,1,0.47,94,1
\test\jdk\sun\security\krb5\auto\ModuleName.java,ModuleName,class,4,1,0.44,90,1
\test\jdk\sun\security\krb5\auto\MoreKvno.java,MoreKvno,class,6,1,0.55,110,1
\test\jdk\sun\security\krb5\auto\MSOID2.java,MSOID2,class,2,1,0.43,88,1
\test\jdk\sun\security\krb5\auto\NewInquireTypes.java,NewInquireTypes,class,7,1,0.29,70,1
\test\jdk\sun\security\krb5\auto\NewSalt.java,NewSalt,class,3,1,0.25,67,1
\test\jdk\sun\security\krb5\auto\NoAddresses.java,NoAddresses,class,8,1,0.55,110,1
\test\jdk\sun\security\krb5\auto\NoInitNoKeytab.java,NoInitNoKeytab,class,2,1,0.26,68,1
\test\jdk\sun\security\krb5\auto\NonAscii.java,NonAscii,class,1,1,0,47,1
\test\jdk\sun\security\krb5\auto\NoneReplayCacheTest.java,NoneReplayCacheTest,class,2,1,0.31,72,1
\test\jdk\sun\security\krb5\auto\NonMutualSpnego.java,NonMutualSpnego,class,1,1,0.18,61,1
\test\jdk\sun\security\krb5\auto\NullRenewUntil.java,NullRenewUntil,class,3,1,0.28,69,1
\test\jdk\sun\security\krb5\auto\OkAsDelegate.java,OkAsDelegate,class,7,1,0.67,151,1
\test\jdk\sun\security\krb5\auto\OkAsDelegateXRealm.java,OkAsDelegateXRealm,class,12,1,0.7,169,1
\test\jdk\sun\security\krb5\auto\OneKDC.java,OneKDC,class,10,2,0.67,150,8
\test\jdk\sun\security\krb5\auto\OnlyDesLogin.java,OnlyDesLogin,class,2,1,0.15,59,1
\test\jdk\sun\security\krb5\auto\PrincipalNameEquals.java,PrincipalNameEquals,class,2,1,0.17,60,1
\test\jdk\sun\security\krb5\auto\RealmSpecificValues.java,RealmSpecificValues,class,7,1,0.72,179,2
\test\jdk\sun\security\krb5\auto\ReferralsTest.java,ReferralsTest,class,13,1,0.87,384,16
