file,class,type,cbo,dit,lcom,loc,methods
\zipkin\src\main\java\zipkin2\Annotation.java,Annotation,class,3,1,0.54,108,5
\zipkin\src\main\java\zipkin2\Call.java,Call,class,5,1,0.88,420,23
\zipkin\src\main\java\zipkin2\Callback.java,Callback,class,1,1,0,31,1
\zipkin\src\main\java\zipkin2\CheckResult.java,CheckResult,class,1,1,0,48,3
\zipkin\src\main\java\zipkin2\Component.java,Component,class,2,1,0,40,2
\zipkin\src\main\java\zipkin2\DependencyLink.java,DependencyLink,class,7,1,0.69,162,9
\zipkin\src\main\java\zipkin2\Endpoint.java,Endpoint,class,12,1,0.92,641,12
\zipkin\src\main\java\zipkin2\Span.java,Span,class,21,1,0.94,814,31
\zipkin\src\main\java\zipkin2\SpanBytesDecoderDetector.java,SpanBytesDecoderDetector,class,3,1,0.58,118,2
\zipkin\src\main\java\zipkin2\codec\BytesDecoder.java,BytesDecoder,class,3,1,0,50,1
\zipkin\src\main\java\zipkin2\codec\BytesEncoder.java,BytesEncoder,class,1,1,0,24,1
\zipkin\src\main\java\zipkin2\codec\DependencyLinkBytesDecoder.java,DependencyLinkBytesDecoder,class,10,1,0.28,69,4
\zipkin\src\main\java\zipkin2\codec\DependencyLinkBytesEncoder.java,DependencyLinkBytesEncoder,class,8,1,0.25,67,4
\zipkin\src\main\java\zipkin2\codec\Encoding.java,Encoding,class,1,1,0.37,79,4
\zipkin\src\main\java\zipkin2\codec\SpanBytesDecoder.java,SpanBytesDecoder,class,14,1,0.75,203,18
\zipkin\src\main\java\zipkin2\codec\SpanBytesEncoder.java,SpanBytesEncoder,class,7,1,0.62,132,11
\zipkin\src\main\java\zipkin2\internal\AggregateCall.java,AggregateCall,class,9,2,0.7,164,5
\zipkin\src\main\java\zipkin2\internal\ClosedComponentException.java,ClosedComponentException,class,1,2,0,18,1
\zipkin\src\main\java\zipkin2\internal\DateUtil.java,DateUtil,class,5,1,0,38,1
\zipkin\src\main\java\zipkin2\internal\DelayLimiter.java,DelayLimiter,class,4,1,0.65,143,6
\zipkin\src\main\java\zipkin2\internal\Dependencies.java,Dependencies,class,11,1,0.74,189,5
\zipkin\src\main\java\zipkin2\internal\DependencyLinker.java,DependencyLinker,class,10,1,0.79,235,4
\zipkin\src\main\java\zipkin2\internal\FilterTraces.java,FilterTraces,class,5,1,0,38,2
\zipkin\src\main\java\zipkin2\internal\HexCodec.java,HexCodec,class,1,1,0.06,53,2
\zipkin\src\main\java\zipkin2\internal\JsonCodec.java,JsonCodec,class,10,1,0.78,223,13
\zipkin\src\main\java\zipkin2\internal\JsonEscaper.java,JsonEscaper,class,1,1,0.46,92,3
\zipkin\src\main\java\zipkin2\internal\Nullable.java,Nullable,class,1,1,0,15,1
\zipkin\src\main\java\zipkin2\internal\Proto3Codec.java,Proto3Codec,class,5,1,0.34,76,4
\zipkin\src\main\java\zipkin2\internal\Proto3Fields.java,Proto3Fields,class,3,1,0.83,287,4
\zipkin\src\main\java\zipkin2\internal\Proto3SpanWriter.java,Proto3SpanWriter,class,4,1,0.32,74,2
\zipkin\src\main\java\zipkin2\internal\Proto3ZipkinFields.java,Proto3ZipkinFields,class,20,2,0.87,371,4
\zipkin\src\main\java\zipkin2\internal\ReadBuffer.java,ReadBuffer,class,5,2,0.87,387,10
\zipkin\src\main\java\zipkin2\internal\RecyclableBuffers.java,RecyclableBuffers,class,1,1,0,30,1
\zipkin\src\main\java\zipkin2\internal\SpanNode.java,SpanNode,class,15,1,0.85,332,10
\zipkin\src\main\java\zipkin2\internal\ThriftCodec.java,ThriftCodec,class,20,1,0.74,195,6
\zipkin\src\main\java\zipkin2\internal\ThriftEndpointCodec.java,ThriftEndpointCodec,class,7,1,0.43,87,1
\zipkin\src\main\java\zipkin2\internal\ThriftField.java,ThriftField,class,1,1,0,45,1
\zipkin\src\main\java\zipkin2\internal\Trace.java,Trace,class,6,1,0.73,186,1
\zipkin\src\main\java\zipkin2\internal\TracesAdapter.java,TracesAdapter,class,7,1,0.32,73,4
\zipkin\src\main\java\zipkin2\internal\V1JsonSpanReader.java,V1JsonSpanReader,class,10,1,0.69,161,3
\zipkin\src\main\java\zipkin2\internal\V1JsonSpanWriter.java,V1JsonSpanWriter,class,3,1,0,26,2
\zipkin\src\main\java\zipkin2\internal\V1SpanWriter.java,V1SpanWriter,class,9,1,0.76,210,2
\zipkin\src\main\java\zipkin2\internal\V1ThriftSpanReader.java,V1ThriftSpanReader,class,19,1,0.69,163,2
\zipkin\src\main\java\zipkin2\internal\V1ThriftSpanWriter.java,V1ThriftSpanWriter,class,15,1,0.81,258,6
\zipkin\src\main\java\zipkin2\internal\V2SpanReader.java,V2SpanReader,class,5,1,0.62,132,2
\zipkin\src\main\java\zipkin2\internal\V2SpanWriter.java,V2SpanWriter,class,8,1,0.79,238,3
\zipkin\src\main\java\zipkin2\internal\WriteBuffer.java,WriteBuffer,class,1,1,0.83,287,10
\zipkin\src\main\java\zipkin2\storage\AutocompleteTags.java,AutocompleteTags,class,2,1,0,31,1
\zipkin\src\main\java\zipkin2\storage\ForwardingStorageComponent.java,ForwardingStorageComponent,class,2,2,0.25,67,5
\zipkin\src\main\java\zipkin2\storage\GroupByTraceId.java,GroupByTraceId,class,8,1,0.04,52,2
\zipkin\src\main\java\zipkin2\storage\InMemoryStorage.java,InMemoryStorage,class,20,1,0.92,616,24
\zipkin\src\main\java\zipkin2\storage\QueryRequest.java,QueryRequest,class,9,1,0.87,390,13
\zipkin\src\main\java\zipkin2\storage\ServiceAndSpanNames.java,ServiceAndSpanNames,class,4,1,0,35,1
\zipkin\src\main\java\zipkin2\storage\SpanConsumer.java,SpanConsumer,class,3,1,0,14,1
\zipkin\src\main\java\zipkin2\storage\SpanStore.java,SpanStore,class,6,1,0.39,82,1
\zipkin\src\main\java\zipkin2\storage\StorageComponent.java,StorageComponent,class,8,2,0.73,183,10
\zipkin\src\main\java\zipkin2\storage\StrictTraceId.java,StrictTraceId,class,7,1,0.65,142,5
\zipkin\src\main\java\zipkin2\storage\Traces.java,Traces,class,3,1,0,49,1
\zipkin\src\main\java\zipkin2\v1\V1Annotation.java,V1Annotation,class,5,1,0.44,89,4
\zipkin\src\main\java\zipkin2\v1\V1BinaryAnnotation.java,V1BinaryAnnotation,class,4,1,0.56,113,6
\zipkin\src\main\java\zipkin2\v1\V1Span.java,V1Span,class,10,1,0.84,305,17
\zipkin\src\main\java\zipkin2\v1\V1SpanConverter.java,V1SpanConverter,class,8,1,0.84,317,6
\zipkin\src\main\java\zipkin2\v1\V2SpanConverter.java,V2SpanConverter,class,4,1,0.71,170,3
\zipkin\src\test\java\zipkin2\AnnotationTest.java,AnnotationTest,class,3,1,0,26,1
\zipkin\src\test\java\zipkin2\CallTest.java,CallTest,class,20,1,0.85,337,14
\zipkin\src\test\java\zipkin2\EndpointTest.java,EndpointTest,class,5,1,0.78,229,12
\zipkin\src\test\java\zipkin2\SpanBytesDecoderDetectorTest.java,SpanBytesDecoderDetectorTest,class,7,1,0.76,210,11
\zipkin\src\test\java\zipkin2\SpanTest.java,SpanTest,class,12,1,0.9,495,28
\zipkin\src\test\java\zipkin2\TestObjects.java,TestObjects,class,7,1,0.62,131,6
\zipkin\src\test\java\zipkin2\codec\EncodingTest.java,EncodingTest,class,3,1,0.12,57,3
