file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\core\test\TypeWriterTest.java,jdk.graal.compiler.core.test.TypeWriterTest,class,8,9,1,8,28,2,0,39,66,0.0,0.0,0.0,12,8,4,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,44,132,0,2,0,0,0,0,53,9,20,9,1,0,0,0,38,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\truffle\test\AllocationReporterPartialEvaluationTest.java,jdk.graal.compiler.truffle.test.AllocationReporterPartialEvaluationTest$TestAllocationReporter,innerclass,8,8,0,8,7,2,0,10,11,0.71428573,0.0,0.0,7,0,2,0,2,3,7,0,0,0,4,1,0,3,0,1,1,0,0,29,3,0,0,0,0,1,2,7,0,5,0,0,0,0,29,9,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\hotspot\test\CompileTheWorld.java,jdk.graal.compiler.hotspot.test.CompileTheWorld,class,35,39,4,35,129,6,0,147,271,0.86666673,0.0,0.0,31,8,16,12,3,0,20,0,0,0,15,2,2,11,0,2,14,0,41,716,31,15,26,7,6,58,31,116,26,111,6,1,6,3,372,17,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\core\test\ProfilingInfoTest.java,jdk.graal.compiler.core.test.ProfilingInfoTest,class,9,10,1,9,41,3,0,38,339,0.8888889,0.0,0.0,27,11,19,8,0,0,19,0,0,0,2,2,0,2,0,0,2,0,1,234,22,1,3,6,1,32,117,27,4,14,2,0,0,0,132,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\asm\aarch64\AArch64Assembler.java,jdk.graal.compiler.asm.aarch64.AArch64Assembler$ExtendType,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,8,1,0,1,0,0,0,0,19,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\debug\WallClockTimerKey.java,jdk.graal.compiler.debug.WallClockTimerKey,class,5,6,1,5,5,6,0,3,10,0.0,0.0,0.0,5,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,2,25,4,0,0,0,0,2,0,0,0,0,0,0,1,0,48,16,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\nodes\StaticDeoptimizingNode.java,jdk.graal.compiler.nodes.StaticDeoptimizingNode,interface,6,9,3,6,19,1,0,4,21,0.0,0.0,0.0,7,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0,6,0,0,0,0,0,0,0,1,0,1,0,46,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\lir\aarch64\AArch64SHA3Op.java,jdk.graal.compiler.lir.aarch64.AArch64SHA3Op,class,16,17,1,16,7,3,0,41,0,0.48076922,0.0,0.0,4,1,4,0,0,0,4,0,0,0,13,2,1,11,0,1,2,0,1,213,0,0,0,1,24,8,113,30,24,27,2,0,0,0,72,17,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\lir\ComputeCodeEmissionOrder.java,jdk.graal.compiler.lir.ComputeCodeEmissionOrder,class,9,11,2,9,3,3,0,11,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,0,2,2,5,1,5,2,0,1,0,47,17,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\nodes\calc\IsNullNode.java,jdk.graal.compiler.nodes.calc.IsNullNode,class,19,23,4,19,31,2,0,23,46,0.75,0.0,0.0,12,4,9,3,0,0,9,0,0,0,2,1,1,1,0,0,2,0,7,89,12,1,9,0,2,4,0,14,2,9,3,0,0,0,76,17,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\api\test\GraalAPITest.java,jdk.graal.compiler.api.test.GraalAPITest,class,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\hotspot\test\MemoryUsageBenchmark.java,jdk.graal.compiler.hotspot.test.MemoryUsageBenchmark,class,11,12,1,11,17,3,0,25,19,0.71428573,0.0,0.0,7,3,4,3,0,0,4,0,0,1,1,1,0,1,0,0,1,0,2,101,4,3,2,3,0,8,14,32,3,26,2,0,1,1,99,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\graphio\parsing\NameTranslator.java,jdk.graal.compiler.graphio.parsing.NameTranslator,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\hotspot\HotSpotGraalServiceThread.java,jdk.graal.compiler.hotspot.HotSpotGraalServiceThread,class,1,2,1,1,8,2,0,10,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,1,0,1,0,0,1,0,0,1,0,1,32,1,0,0,2,0,3,0,1,0,1,3,0,0,0,55,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\graphio\parsing\BinaryReader.java,jdk.graal.compiler.graphio.parsing.BinaryReader$EnumValue,innerclass,4,4,0,4,12,1,0,4,0,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,2,0,0,0,0,0,1,40,9,0,4,0,1,1,2,3,3,3,1,0,0,0,21,25,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler\src\jdk\graal\compiler\lir\asm\CompilationResultBuilderFactory.java,jdk.graal.compiler.lir.asm.CompilationResultBuilderFactory$Options,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14,0,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\hotspot\test\ReferenceTest.java,jdk.graal.compiler.hotspot.test.ReferenceTest,class,5,5,0,5,5,4,0,7,10,0.0,0.0,0.0,5,2,2,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,0,0,8,0,2,0,2,0,0,1,0,19,1,0
C:\lab02_clones\oracle_graal\compiler\src\jdk.graal.compiler.test\src\jdk\graal\compiler\jtt\bytecode\BC_lreturn.java,jdk.graal.compiler.jtt.bytecode.BC_lreturn,class,2,2,0,2,6,3,0,1,15,0.0,0.0,0.0,6,1,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,5,5,0,0,0,0,0,0,0,17,1,0
