file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\database\auto\SQLMetadataTest.java,com.orientechnologies.orient.test.database.auto.SQLMetadataTest,class,5,5,0,5,10,3,0,8,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,1,0,7,3,3,1,3,1,0,0,0,38,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\database\auto\FetchPlanTest.java,com.orientechnologies.orient.test.database.auto.FetchPlanTest,class,11,11,0,11,9,3,0,20,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,80,0,2,2,0,1,47,0,16,0,16,2,0,0,0,47,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\domain\business\Child.java,com.orientechnologies.orient.test.domain.business.Child,class,3,13,10,3,13,1,0,3,1,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,34,9,0,6,0,2,0,3,6,2,6,2,0,0,0,23,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\database\auto\PropertyIndexTest.java,com.orientechnologies.orient.test.database.auto.PropertyIndexTest,class,14,15,1,14,20,3,0,44,91,0.0,0.0,0.0,14,0,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,135,2,2,0,1,0,107,8,34,2,33,2,0,0,0,67,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\domain\business\Company.java,com.orientechnologies.orient.test.domain.business.Company,class,1,4,3,1,4,2,0,0,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
C:\lab02_clones\orientechnologies_orientdb\tools\src\main\java\com\orientechnologies\orient\server\config\OServerNetworkListenerConfiguration.java,com.orientechnologies.orient.server.config.OServerNetworkListenerConfiguration,class,8,10,2,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,8,0,0,0,0,0,13,0,4,0,6,0,0,0,0,20,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\domain\base\CustomMethodFilterTestClass.java,com.orientechnologies.orient.test.domain.base.CustomMethodFilterTestClass,class,0,2,2,0,8,1,0,0,22,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,0,3,0,0,0,0,29,5,0,0,0,0,0,0,3,0,3,0,0,0,0,33,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\domain\base\EnumTest.java,com.orientechnologies.orient.test.domain.base.EnumTest,enum,0,9,9,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\database\auto\ObjectTreeTestSchemaFull.java,com.orientechnologies.orient.test.database.auto.ObjectTreeTestSchemaFull,class,32,32,0,32,52,3,0,128,526,0.96212125,0.0,0.0,33,0,33,0,0,0,33,0,0,0,4,0,0,1,3,0,0,0,5,899,0,10,7,4,10,264,111,257,3,144,3,2,2,0,181,1,0
C:\lab02_clones\orientechnologies_orientdb\tools\src\main\java\com\orientechnologies\orient\server\config\distributed\OServerDistributedGroupConfiguration.java,com.orientechnologies.orient.server.config.distributed.OServerDistributedGroupConfiguration,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,7,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\domain\base\IdObject.java,com.orientechnologies.orient.test.domain.base.IdObject,class,3,8,5,3,10,1,2,3,0,0.5,0.0,0.0,9,1,9,0,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,32,6,0,1,0,2,0,0,3,0,3,0,0,0,0,18,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\database\auto\SQLCommandsTest.java,com.orientechnologies.orient.test.database.auto.SQLCommandsTest,class,8,8,0,8,10,3,0,30,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,1,47,0,16,2,8,1,0,0,0,63,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\database\auto\hooks\HookOnIndexedMapTest.java,com.orientechnologies.orient.test.database.auto.hooks.HookOnIndexedMapTest,class,4,4,0,4,2,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,7,0,25,0,9,1,9,2,0,0,0,54,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\database\auto\HookTest.java,com.orientechnologies.orient.test.database.auto.HookTest,class,8,8,0,8,12,4,0,17,18,0.59259266,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,83,1,2,0,0,0,13,10,6,1,5,2,0,1,0,39,1,0
C:\lab02_clones\orientechnologies_orientdb\server\src\main\java\com\orientechnologies\orient\server\network\protocol\http\command\all\OServerCommandForward.java,com.orientechnologies.orient.server.network.protocol.http.command.all.OServerCommandForward,class,4,4,0,4,7,2,0,13,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,2,0,0,26,2,1,0,0,0,4,4,6,3,6,2,0,0,0,35,1,0
C:\lab02_clones\orientechnologies_orientdb\tests\src\test\java\com\orientechnologies\orient\test\database\auto\RecordMetadataTest.java,com.orientechnologies.orient.test.database.auto.RecordMetadataTest,class,8,9,1,8,4,3,0,12,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,19,0,1,0,0,0,3,2,3,0,3,1,0,0,0,23,1,0
