file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\prestodb_presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,class,6,13,7,6,32,1,5,7,404,0.9310345,0.0,0.0,29,0,28,0,1,0,29,0,1,0,1,0,0,1,0,0,1,0,1,96,10,0,3,0,1,3,0,1,3,1,1,0,0,0,46,1025,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\execution\scheduler\SourcePartitionedScheduler.java,com.facebook.presto.execution.scheduler.SourcePartitionedScheduler$Anonymous1,anonymous,4,4,0,4,3,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,0,0,1,2,0,2,1,0,0,0,8,-1,0
C:\lab02_clones\prestodb_presto\presto-hive-metastore\src\main\java\com\facebook\presto\hive\SchemaAlreadyExistsException.java,com.facebook.presto.hive.SchemaAlreadyExistsException,class,1,5,4,1,3,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,1,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\operator\aggregation\histogram\SingleHistogramState.java,com.facebook.presto.operator.aggregation.histogram.SingleHistogramState,class,6,8,2,6,6,1,0,3,0,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,1,0,0,22,2,0,1,0,0,0,0,5,0,3,1,0,0,0,29,1,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\connector\system\MetadataBasedSystemTablesProvider.java,com.facebook.presto.connector.system.MetadataBasedSystemTablesProvider,class,8,9,1,8,5,1,0,10,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,2,18,2,0,1,0,1,3,0,3,1,3,1,0,0,0,42,1,0
C:\lab02_clones\prestodb_presto\presto-base-arrow-flight\src\main\java\com\facebook\plugin\arrow\ArrowTableHandle.java,com.facebook.plugin.arrow.ArrowTableHandle,class,4,16,12,4,9,1,1,3,0,0.16666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,3,30,7,0,3,0,0,5,0,3,1,3,1,0,0,0,20,1,0
C:\lab02_clones\prestodb_presto\presto-client\src\main\java\com\facebook\presto\client\SpnegoHandler.java,com.facebook.presto.client.SpnegoHandler$Anonymous1,anonymous,2,2,0,2,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,16,0,1,0,4,1,0,0,3,9,-1,0
C:\lab02_clones\prestodb_presto\presto-lance\src\main\java\com\facebook\presto\lance\LanceConfig.java,com.facebook.presto.lance.LanceConfig,class,5,13,8,5,14,1,0,0,77,0.85714287,0.0,0.0,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,58,14,0,0,0,0,16,8,14,0,7,0,0,0,0,49,1,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\operator\PageBufferClient.java,com.facebook.presto.operator.PageBufferClient$PagesResponse,innerclass,2,2,0,2,9,1,0,6,2,0.5777778,0.0,0.0,9,2,8,1,0,0,8,0,0,0,5,0,0,5,0,0,5,0,0,38,8,0,0,0,0,4,0,5,0,5,0,0,0,0,22,9,0
C:\lab02_clones\prestodb_presto\presto-hive\src\test\java\com\facebook\presto\hive\TestBackgroundHiveSplitLoader.java,com.facebook.presto.hive.TestBackgroundHiveSplitLoader$TestingHdfsFileSystem,innerclass,10,10,0,10,13,2,0,1,78,0.9230769,0.0,0.0,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,51,1,0,0,0,0,0,0,1,0,1,0,1,0,0,44,10,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\operator\TableFinishInfo.java,com.facebook.presto.operator.TableFinishInfo,class,10,13,3,10,9,1,0,10,3,0.6666667,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,2,0,6,0,0,6,0,5,48,5,0,0,0,0,8,5,17,0,9,2,0,0,0,50,1,0
C:\lab02_clones\prestodb_presto\presto-lark-sheets\src\main\java\com\facebook\presto\lark\sheets\api\LarkSheetsSchemaStore.java,com.facebook.presto.lark.sheets.api.LarkSheetsSchemaStore,interface,1,4,3,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0
C:\lab02_clones\prestodb_presto\presto-hudi\src\main\java\com\facebook\presto\hudi\HudiErrorCode.java,com.facebook.presto.hudi.HudiErrorCode,enum,2,2,0,2,2,1,0,1,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,0,8,1,1,1,0,0,0,0,32,1,0
C:\lab02_clones\prestodb_presto\presto-cassandra\src\main\java\com\facebook\presto\cassandra\CassandraConnectorFactory.java,com.facebook.presto.cassandra.CassandraConnectorFactory$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
C:\lab02_clones\prestodb_presto\presto-bigquery\src\main\java\com\facebook\presto\plugin\bigquery\BigQueryPageSourceProvider.java,com.facebook.presto.plugin.bigquery.BigQueryPageSourceProvider,class,21,24,3,21,3,1,0,9,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,3,0,0,19,2,0,0,0,0,0,0,7,0,7,1,0,0,0,38,1,0
C:\lab02_clones\prestodb_presto\presto-analyzer\src\main\java\com\facebook\presto\sql\analyzer\SignatureMatchingException.java,com.facebook.presto.sql.analyzer.SignatureMatchingException,class,2,3,1,2,3,5,0,7,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,1,1,0,0,0,2,2,2,1,2,1,0,0,0,12,1,0
C:\lab02_clones\prestodb_presto\presto-jdbc\src\main\java\com\facebook\presto\jdbc\StageStats.java,com.facebook.presto.jdbc.StageStats,class,2,4,2,2,15,1,0,20,79,0.86666673,0.0,0.0,15,1,14,0,0,1,15,0,0,0,13,0,0,13,0,0,13,0,4,72,14,0,0,0,0,3,0,13,0,13,0,0,0,0,41,17,0
C:\lab02_clones\prestodb_presto\presto-hive\src\test\java\com\facebook\presto\hive\util\TestCustomSplitConversionUtils.java,com.facebook.presto.hive.util.TestCustomSplitConversionUtils,class,8,8,0,8,4,1,0,18,0,0.05,0.0,0.0,4,0,4,0,0,0,4,0,0,0,5,5,0,5,0,0,5,0,12,79,0,0,0,0,0,15,8,38,0,40,0,0,0,2,60,1,0
C:\lab02_clones\prestodb_presto\presto-cache\src\test\java\com\facebook\presto\cache\filemerge\TestFileMergeCacheManager.java,com.facebook.presto.cache.filemerge.TestFileMergeCacheManager$TestingCacheStats,innerclass,2,2,0,2,4,2,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,1,2,0,1,1,0,0,0,13,10,0
C:\lab02_clones\prestodb_presto\presto-bigquery\src\main\java\com\facebook\presto\plugin\bigquery\BigQueryClient.java,com.facebook.presto.plugin.bigquery.BigQueryClient,class,14,20,6,14,24,1,0,59,77,0.82539684,0.0,0.0,18,1,1,7,9,1,11,0,0,0,7,0,0,7,0,0,7,0,17,99,17,0,3,1,0,17,1,25,1,28,1,0,0,5,89,1,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\execution\buffer\ZlibCompressor.java,com.facebook.presto.execution.buffer.ZlibCompressor,class,3,5,2,3,10,1,0,16,4,0.6666667,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,2,0,3,0,0,3,0,1,40,2,0,0,1,5,5,7,9,9,9,2,0,0,0,62,1,0
C:\lab02_clones\prestodb_presto\presto-base-jdbc\src\main\java\com\facebook\presto\plugin\jdbc\JdbcPlugin.java,com.facebook.presto.plugin.jdbc.JdbcPlugin,class,4,6,2,4,3,1,0,9,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,3,15,2,0,0,0,0,2,0,2,0,2,0,0,0,0,22,1,0
C:\lab02_clones\prestodb_presto\presto-expressions\src\main\java\com\facebook\presto\expressions\RowExpressionTreeRewriter.java,com.facebook.presto.expressions.RowExpressionTreeRewriter,class,7,14,7,7,12,1,0,11,9,0.5714286,0.0,0.0,7,3,5,2,0,0,5,0,0,0,2,0,0,2,0,0,2,0,1,172,8,2,2,0,0,3,0,5,0,5,2,0,2,0,35,17,0
C:\lab02_clones\prestodb_presto\presto-hive\src\test\java\com\facebook\presto\hive\parquet\BenchmarkParquetPageSource.java,com.facebook.presto.hive.parquet.BenchmarkParquetPageSource$BenchmarkData$Nulls,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\lab02_clones\prestodb_presto\presto-iceberg\src\main\java\com\facebook\presto\iceberg\optimizer\IcebergMetadataOptimizer.java,com.facebook.presto.iceberg.optimizer.IcebergMetadataOptimizer$Optimizer,innerclass,40,40,0,40,52,2,0,79,5,0.65079373,NaN,NaN,7,1,1,6,0,0,1,0,0,0,9,0,0,9,0,0,9,0,12,195,21,11,4,0,1,7,6,53,1,50,3,0,0,2,136,10,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\cost\JoinNodeStatsEstimate.java,com.facebook.presto.cost.JoinNodeStatsEstimate,class,3,6,3,3,16,1,0,6,0,0.53333336,0.0,0.0,9,1,9,0,0,0,9,0,0,0,5,1,0,5,0,0,5,0,5,44,10,0,7,0,0,8,4,6,0,6,1,0,0,0,30,1,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\operator\project\PageProcessor.java,com.facebook.presto.operator.project.PageProcessor,class,21,28,7,21,21,1,0,46,1,0.7777778,0.0,0.0,7,1,5,2,0,0,5,0,0,0,9,3,1,6,0,2,8,0,7,258,13,0,7,0,4,4,17,14,4,16,2,0,3,2,77,1,0
C:\lab02_clones\prestodb_presto\presto-function-namespace-managers-common\src\main\java\com\facebook\presto\functionNamespace\testing\InMemoryFunctionNamespaceManager.java,com.facebook.presto.functionNamespace.testing.InMemoryFunctionNamespaceManager,class,17,19,2,17,15,2,0,32,58,0.8611111,0.0,0.0,12,1,9,1,2,0,11,0,0,2,3,0,0,3,0,0,3,0,3,52,6,0,1,0,0,4,2,8,1,10,1,0,0,3,75,1,0
C:\lab02_clones\prestodb_presto\presto-hive-function-namespace\src\main\java\com\facebook\presto\hive\functions\aggregation\HiveAccumulatorStateSerializer.java,com.facebook.presto.hive.functions.aggregation.HiveAccumulatorStateSerializer,class,13,14,1,13,6,1,0,12,0,0.45,0.0,0.0,4,0,4,0,0,0,4,0,0,0,5,0,0,5,0,0,5,0,4,38,1,0,0,2,0,2,0,9,0,9,1,0,0,0,36,1,0
C:\lab02_clones\prestodb_presto\presto-hive-function-namespace\src\main\java\com\facebook\presto\hive\functions\StaticHiveFunctionRegistry.java,com.facebook.presto.hive.functions.StaticHiveFunctionRegistry,class,6,7,1,6,3,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,14,1,0,0,1,0,3,0,2,1,2,1,0,0,0,29,1,0
C:\lab02_clones\prestodb_presto\presto-jdbc\src\main\java\com\facebook\presto\jdbc\ConnectionProperties.java,com.facebook.presto.jdbc.ConnectionProperties$CustomHeaders,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\operator\project\PageProjectionWithOutputs.java,com.facebook.presto.operator.project.PageProjectionWithOutputs,class,8,11,3,8,6,1,0,7,0,0.33333334,0.0,0.0,6,0,4,0,0,2,6,0,0,0,2,0,0,2,0,0,2,0,3,23,5,0,0,0,0,4,0,2,0,2,0,0,0,0,27,1,0
C:\lab02_clones\prestodb_presto\presto-main-base\src\main\java\com\facebook\presto\operator\TableFinishOperator.java,com.facebook.presto.operator.TableFinishOperator$LifespanAndStageStateTracker$LifespanAndStageState,innerclass,6,6,0,6,13,1,0,19,3,0.64285725,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,3,0,6,56,4,1,0,0,0,3,3,17,0,13,2,0,0,0,62,10,0
C:\lab02_clones\prestodb_presto\presto-example-http\src\main\java\com\facebook\presto\example\ExampleRecordCursor.java,com.facebook.presto.example.ExampleRecordCursor,class,9,11,2,9,20,1,0,27,77,0.85714287,0.0,0.0,14,0,12,2,0,0,12,0,0,0,6,1,0,6,0,0,5,0,3,75,11,1,1,1,0,5,2,13,0,12,1,0,0,0,76,1,0
C:\lab02_clones\prestodb_presto\presto-analyzer\src\main\java\com\facebook\presto\sql\analyzer\BuiltInQueryPreparer.java,com.facebook.presto.sql.analyzer.BuiltInQueryPreparer,class,26,28,2,26,20,2,0,45,4,0.5,0.0,0.0,5,2,3,2,0,0,3,0,0,0,2,0,0,2,0,0,2,0,22,106,3,1,4,0,5,7,0,21,2,18,2,0,1,2,94,1,0
C:\lab02_clones\prestodb_presto\presto-hive\src\test\java\com\facebook\presto\hive\TestColumnEncryptionInformation.java,com.facebook.presto.hive.TestColumnEncryptionInformation,class,4,4,0,4,15,1,0,17,105,0.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,42,0,19,0,19,0,0,0,0,64,1,0
C:\lab02_clones\prestodb_presto\presto-common\src\main\java\com\facebook\presto\common\Subfield.java,com.facebook.presto.common.Subfield$StructureOnly,innerclass,2,2,0,2,4,1,0,0,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,14,3,0,0,0,0,1,0,1,0,1,0,0,0,0,22,25,0
C:\lab02_clones\prestodb_presto\presto-base-jdbc\src\main\java\com\facebook\presto\plugin\jdbc\mapping\WriteMapping.java,com.facebook.presto.plugin.jdbc.mapping.WriteMapping,class,9,13,4,9,8,1,0,3,0,0.125,0.0,0.0,8,6,7,1,0,0,7,0,0,0,1,0,0,1,0,0,1,0,3,27,7,0,0,0,0,1,0,1,0,1,0,0,0,0,16,17,0
C:\lab02_clones\prestodb_presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\StatisticsBenchmark.java,com.facebook.presto.benchmark.StatisticsBenchmark$DoubleVarianceBenchmark,innerclass,2,2,0,2,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13,9,0
C:\lab02_clones\prestodb_presto\presto-cli\src\main\java\com\facebook\presto\cli\StatusPrinter.java,com.facebook.presto.cli.StatusPrinter$ConsoleWarningsPrinter,innerclass,2,2,0,2,3,2,0,8,0,0.16666667,0.0,0.0,3,0,0,0,2,1,3,0,0,0,2,1,0,2,0,0,2,0,3,16,0,0,0,0,0,4,2,2,1,3,0,0,0,1,27,10,0
C:\lab02_clones\prestodb_presto\presto-hive-metastore\src\main\java\com\facebook\presto\hive\metastore\RecordingHiveMetastore.java,com.facebook.presto.hive.metastore.RecordingHiveMetastore$Pair,innerclass,5,5,0,5,3,1,0,2,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,2,14,2,0,0,0,0,4,0,2,0,2,0,0,0,0,12,9,0
