file,class,type,cbo,dit,lcom,loc,methods
\docker\shared\classpath\src\main\java\HelloWorld.java,HelloWorld,class,1,1,0,12,1
\docker\shared\classpath\src\main\java\SneakyThrowsExample.java,SneakyThrowsExample,class,1,1,0,6,1
\docker\shared\modules\src\main\java\module-info.java,module-info,class,1,1,0,3,1
\docker\shared\modules\src\main\java\foo\HelloWorld.java,HelloWorld,class,1,1,0,14,1
\experimental\src\lombok\javac\disableCheckedExceptions\DisableCheckedExceptionsAgent.java,DisableCheckedExceptionsAgent,class,17,2,0.53,107,4
\src\ant\lombok\ant\SimpleTestFormatter.java,SimpleTestFormatter,class,8,1,0.43,87,7
\src\bindings\mapstruct\module-info.java,module-info,class,1,1,0,29,1
\src\bindings\mapstruct\lombok\mapstruct\NotifierHider.java,NotifierHider,class,3,1,0,34,2
\src\core\lombok\AccessLevel.java,AccessLevel,class,1,1,0,48,1
\src\core\lombok\AllArgsConstructor.java,AllArgsConstructor,class,4,1,0.38,81,1
\src\core\lombok\Builder.java,Builder,class,4,1,0.75,201,9
\src\core\lombok\Cleanup.java,Cleanup,class,4,1,0.35,77,1
\src\core\lombok\ConfigurationKeys.java,ConfigurationKeys,class,12,1,0.93,766,43
\src\core\lombok\CustomLog.java,CustomLog,class,4,1,0.4,83,2
\src\core\lombok\Data.java,Data,class,4,1,0.19,62,1
\src\core\lombok\Delegate.java,Delegate,class,4,1,0.11,56,1
\src\core\lombok\EqualsAndHashCode.java,EqualsAndHashCode,class,4,1,0.68,158,2
\src\core\lombok\Generated.java,Generated,class,4,1,0,42,1
\src\core\lombok\Getter.java,Getter,class,4,1,0.4,84,1
\src\core\lombok\Locked.java,Locked,class,4,1,0.38,80,1
\src\core\lombok\Lombok.java,Lombok,class,1,1,0.41,85,3
\src\core\lombok\NoArgsConstructor.java,NoArgsConstructor,class,4,1,0.44,90,1
\src\core\lombok\NonNull.java,NonNull,class,5,1,0,39,1
\src\core\lombok\package-info.java,package-info,class,1,1,0,34,1
\src\core\lombok\RequiredArgsConstructor.java,RequiredArgsConstructor,class,4,1,0.38,80,1
\src\core\lombok\Setter.java,Setter,class,4,1,0.47,95,1
\src\core\lombok\Singular.java,Singular,class,4,1,0,41,1
\src\core\lombok\SneakyThrows.java,SneakyThrows,class,4,1,0.25,67,2
\src\core\lombok\Synchronized.java,Synchronized,class,4,1,0,50,1
\src\core\lombok\ToString.java,ToString,class,4,1,0.59,122,1
\src\core\lombok\val.java,val,class,1,1,0,34,1
\src\core\lombok\Value.java,Value,class,4,1,0.17,60,1
\src\core\lombok\var.java,var,class,1,1,0,35,1
\src\core\lombok\With.java,With,class,4,1,0.46,92,1
\src\core\lombok\bytecode\AsmUtil.java,AsmUtil,class,6,1,0,49,1
\src\core\lombok\bytecode\ClassFileMetaData.java,ClassFileMetaData,class,4,1,0.9,482,28
\src\core\lombok\bytecode\FixedClassWriter.java,FixedClassWriter,class,2,2,0,47,1
\src\core\lombok\bytecode\package-info.java,package-info,class,1,1,0,30,1
\src\core\lombok\bytecode\PoolConstantsApp.java,PoolConstantsApp,class,11,2,0.47,95,3
\src\core\lombok\bytecode\PostCompilerApp.java,PostCompilerApp,class,18,2,0.69,160,5
\src\core\lombok\bytecode\PreventNullAnalysisRemover.java,PreventNullAnalysisRemover,class,10,1,0.36,78,2
\src\core\lombok\bytecode\SneakyThrowsRemover.java,SneakyThrowsRemover,class,12,1,0.73,187,12
\src\core\lombok\core\AgentLauncher.java,AgentLauncher,class,5,1,0.43,88,4
\src\core\lombok\core\AlreadyHandledAnnotations.java,AlreadyHandledAnnotations,class,4,1,0,33,1
\src\core\lombok\core\AnnotationProcessor.java,AnnotationProcessor,class,24,1,0.81,266,7
\src\core\lombok\core\AnnotationValues.java,AnnotationValues,class,12,2,0.91,575,24
\src\core\lombok\core\AST.java,AST,class,17,1,0.89,462,22
\src\core\lombok\core\Augments.java,Augments,class,1,1,0,30,1
\src\core\lombok\core\CleanupRegistry.java,CleanupRegistry,class,2,1,0.22,64,4
\src\core\lombok\core\CleanupTask.java,CleanupTask,class,1,1,0,26,1
\src\core\lombok\core\DiagnosticsReceiver.java,DiagnosticsReceiver,class,1,1,0,40,2
\src\core\lombok\core\GuavaTypeMap.java,GuavaTypeMap,class,3,1,0.15,59,2
\src\core\lombok\core\HandlerPriority.java,HandlerPriority,class,4,1,0,48,1
\src\core\lombok\core\ImportList.java,ImportList,class,1,1,0,49,1
\src\core\lombok\core\JacksonAnnotationType.java,JacksonAnnotationType,class,1,1,0.18,61,4
\src\core\lombok\core\LombokApp.java,LombokApp,class,2,1,0.19,62,3
\src\core\lombok\core\LombokConfiguration.java,LombokConfiguration,class,10,1,0.4,84,5
\src\core\lombok\core\LombokInternalAliasing.java,LombokInternalAliasing,class,5,1,0.3,71,2
\src\core\lombok\core\LombokNode.java,LombokNode,class,8,2,0.84,309,17
\src\core\lombok\core\Main.java,Main,class,9,2,0.69,163,9
\src\core\lombok\core\package-info.java,package-info,class,1,1,0,33,1
\src\core\lombok\core\PostCompiler.java,PostCompiler,class,8,1,0.51,103,3
\src\core\lombok\core\PostCompilerTransformation.java,PostCompilerTransformation,class,1,1,0,26,1
\src\core\lombok\core\PrintAST.java,PrintAST,class,4,1,0.11,56,1
\src\core\lombok\core\PublicApiCreatorApp.java,PublicApiCreatorApp,class,15,2,0.73,186,5
\src\core\lombok\core\TypeLibrary.java,TypeLibrary,class,6,1,0.68,158,6
\src\core\lombok\core\TypeResolver.java,TypeResolver,class,2,1,0.57,116,2
\src\core\lombok\core\Version.java,Version,class,1,1,0.55,112,5
\src\core\lombok\core\configuration\AllowHelper.java,AllowHelper,class,2,2,0,37,2
\src\core\lombok\core\configuration\BubblingConfigurationResolver.java,BubblingConfigurationResolver,class,10,1,0.5,101,2
\src\core\lombok\core\configuration\CallSuperType.java,CallSuperType,class,1,1,0,27,1
\src\core\lombok\core\configuration\CapitalizationStrategy.java,CapitalizationStrategy,class,1,1,0.04,52,2
\src\core\lombok\core\configuration\CheckerFrameworkVersion.java,CheckerFrameworkVersion,class,2,1,0.5,100,11
\src\core\lombok\core\configuration\ConfigurationApp.java,ConfigurationApp,class,32,1,0.88,414,16
\src\core\lombok\core\configuration\ConfigurationDataType.java,ConfigurationDataType,class,8,1,0.8,252,17
\src\core\lombok\core\configuration\ConfigurationFile.java,ConfigurationFile,class,14,1,0.85,338,20
