file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\lab02_clones\quarkusio_quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\BytecodeRecorderConstantDefinitionBuildItem.java,io.quarkus.deployment.builditem.BytecodeRecorderConstantDefinitionBuildItem,class,4,4,0,4,2,3,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,1,0,49,17,0
C:\lab02_clones\quarkusio_quarkus\core\builder\src\main\java\io\quarkus\builder\Json.java,io.quarkus.builder.Json$JsonArrayBuilder,innerclass,10,10,0,10,27,2,0,24,71,0.64285713,0.0,0.0,14,0,4,1,1,8,13,0,0,0,1,0,0,1,0,0,1,0,3,97,10,1,3,0,3,0,2,7,0,7,2,0,0,0,48,9,0
C:\lab02_clones\quarkusio_quarkus\extensions\arc\deployment\src\test\java\io\quarkus\arc\test\cdi\bcextensions\SynthBeanForExternalClassTest.java,io.quarkus.arc.test.cdi.bcextensions.SynthBeanForExternalClassTest$MyBean,innerclass,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,1,0,1,0,2,0,0,0,0,11,9,0
C:\lab02_clones\quarkusio_quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\nativeimage\ReflectiveHierarchyBuildItem.java,io.quarkus.deployment.builditem.nativeimage.ReflectiveHierarchyBuildItem$IgnoreAllowListedPredicate,innerclass,2,2,0,2,1,1,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,9,0
C:\lab02_clones\quarkusio_quarkus\core\runtime\src\main\java\io\quarkus\runtime\configuration\ConfigSourceOrdinal.java,io.quarkus.runtime.configuration.ConfigSourceOrdinal,enum,0,0,0,0,3,1,0,2,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,11,2,0,0,0,0,0,5,1,5,1,0,0,0,0,37,1,0
C:\lab02_clones\quarkusio_quarkus\core\launcher\src\main\java\io\quarkus\launcher\JBangIntegration.java,io.quarkus.launcher.JBangIntegration,class,3,4,1,3,9,1,0,31,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,9,79,2,3,1,1,0,14,3,13,2,13,3,1,0,0,46,1,0
C:\lab02_clones\quarkusio_quarkus\extensions\arc\deployment\src\main\java\io\quarkus\arc\deployment\CommandLineArgumentsProcessor.java,io.quarkus.arc.deployment.CommandLineArgumentsProcessor,class,7,7,0,7,1,1,0,12,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
C:\lab02_clones\quarkusio_quarkus\extensions\arc\deployment\src\test\java\io\quarkus\arc\test\lookup\LookupConditionOnInheritedStereotypeTest.java,io.quarkus.arc.test.lookup.LookupConditionOnInheritedStereotypeTest,class,16,16,0,16,1,4,0,9,0,0.25,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,1,0,0,0,4,1,0,0,37,0,0,0,0,0,12,0,1,0,5,0,0,6,1,23,1,0
C:\lab02_clones\quarkusio_quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\DevServicesAdditionalConfigBuildItem.java,io.quarkus.deployment.builditem.DevServicesAdditionalConfigBuildItem$DevServicesAdditionalConfigProvider,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\lab02_clones\quarkusio_quarkus\core\deployment\src\main\java\io\quarkus\deployment\console\ConsoleStateManager.java,io.quarkus.deployment.console.ConsoleStateManager,class,13,19,6,13,50,1,0,73,83,0.86666673,0.0,0.0,15,5,6,7,0,2,8,0,0,0,7,2,1,5,0,1,2,0,17,310,12,8,10,0,4,49,8,30,10,26,4,4,2,12,108,1,0
