file,class,type,cbo,dit,lcom,loc,methods
\benchmarks\src\main\java\module-info.java,module-info,class,1,1,0,36,1
\benchmarks\src\main\java\org\questdb\AbsBenchmark.java,AbsBenchmark,class,6,1,0.25,67,2
\benchmarks\src\main\java\org\questdb\ArrayBinarySearchBenchmark.java,ArrayBinarySearchBenchmark,class,19,1,0.56,113,5
\benchmarks\src\main\java\org\questdb\ArrayFillBenchmark.java,ArrayFillBenchmark,class,7,1,0.43,88,3
\benchmarks\src\main\java\org\questdb\AssociativeCacheBenchmark.java,AssociativeCacheBenchmark,class,22,1,0.73,182,12
\benchmarks\src\main\java\org\questdb\AtomicIntListBenchmark.java,AtomicIntListBenchmark,class,8,1,0.31,72,3
\benchmarks\src\main\java\org\questdb\Base64Benchmark.java,Base64Benchmark,class,10,1,0.4,84,4
\benchmarks\src\main\java\org\questdb\BinarySearchVsHashSetBenchmark.java,BinarySearchVsHashSetBenchmark,class,18,1,0.51,103,5
\benchmarks\src\main\java\org\questdb\CairoKeywordBenchmark.java,CairoKeywordBenchmark,class,13,1,0.52,104,6
\benchmarks\src\main\java\org\questdb\CastBenchmark.java,CastBenchmark,class,6,1,0.31,72,3
\benchmarks\src\main\java\org\questdb\CharsIndexOfBenchmark.java,CharsIndexOfBenchmark,class,18,1,0.45,91,4
\benchmarks\src\main\java\org\questdb\ChronoUnitBenchmark.java,ChronoUnitBenchmark,class,7,1,0.33,75,2
\benchmarks\src\main\java\org\questdb\ClockBenchmark.java,ClockBenchmark,class,7,1,0.26,68,2
\benchmarks\src\main\java\org\questdb\CoalesceBenchmark.java,CoalesceBenchmark,class,13,1,0.53,106,5
\benchmarks\src\main\java\org\questdb\ColumnSizeLookup.java,ColumnSizeLookup,class,7,1,0.43,88,3
\benchmarks\src\main\java\org\questdb\CopyTimestampBenchmark.java,CopyTimestampBenchmark,class,6,1,0.3,71,3
\benchmarks\src\main\java\org\questdb\CountIntBenchmark.java,CountIntBenchmark,class,7,1,0.51,103,5
\benchmarks\src\main\java\org\questdb\CountLongBenchmark.java,CountLongBenchmark,class,7,1,0.51,103,5
\benchmarks\src\main\java\org\questdb\CreateTableAsSelectBenchmark.java,CreateTableAsSelectBenchmark,class,21,1,0.55,110,4
\benchmarks\src\main\java\org\questdb\CsvLexerBenchmark.java,CsvLexerBenchmark,class,7,1,0.35,77,1
\benchmarks\src\main\java\org\questdb\CsvTextLexerBenchmark.java,CsvTextLexerBenchmark,class,13,1,0.76,212,4
\benchmarks\src\main\java\org\questdb\CutlassLexerTest.java,CutlassLexerTest,class,12,1,0.46,93,5
\benchmarks\src\main\java\org\questdb\Decimal128AddBenchmark.java,Decimal128AddBenchmark,class,20,1,0.72,178,6
\benchmarks\src\main\java\org\questdb\Decimal128DivideBenchmark.java,Decimal128DivideBenchmark,class,20,1,0.68,157,7
\benchmarks\src\main\java\org\questdb\Decimal128ModuloBenchmark.java,Decimal128ModuloBenchmark,class,20,1,0.7,167,6
\benchmarks\src\main\java\org\questdb\Decimal128MultiplyBenchmark.java,Decimal128MultiplyBenchmark,class,20,1,0.71,171,6
\benchmarks\src\main\java\org\questdb\Decimal128RoundBenchmark.java,Decimal128RoundBenchmark,class,20,1,0.74,195,6
\benchmarks\src\main\java\org\questdb\Decimal128SubtractBenchmark.java,Decimal128SubtractBenchmark,class,20,1,0.73,185,6
\benchmarks\src\main\java\org\questdb\Decimal256AddBenchmark.java,Decimal256AddBenchmark,class,20,1,0.73,185,6
\benchmarks\src\main\java\org\questdb\Decimal256DivideBenchmark.java,Decimal256DivideBenchmark,class,20,1,0.71,175,6
\benchmarks\src\main\java\org\questdb\Decimal256ModuloBenchmark.java,Decimal256ModuloBenchmark,class,20,1,0.73,183,6
\benchmarks\src\main\java\org\questdb\Decimal256MultiplyBenchmark.java,Decimal256MultiplyBenchmark,class,20,1,0.72,177,6
\benchmarks\src\main\java\org\questdb\Decimal256RoundBenchmark.java,Decimal256RoundBenchmark,class,20,1,0.74,191,6
\benchmarks\src\main\java\org\questdb\Decimal256SubtractBenchmark.java,Decimal256SubtractBenchmark,class,20,1,0.72,176,6
\benchmarks\src\main\java\org\questdb\Decimal64AddBenchmark.java,Decimal64AddBenchmark,class,20,1,0.69,160,6
\benchmarks\src\main\java\org\questdb\Decimal64DivideBenchmark.java,Decimal64DivideBenchmark,class,20,1,0.67,152,6
\benchmarks\src\main\java\org\questdb\Decimal64ModuloBenchmark.java,Decimal64ModuloBenchmark,class,20,1,0.67,152,6
\benchmarks\src\main\java\org\questdb\Decimal64MultiplyBenchmark.java,Decimal64MultiplyBenchmark,class,20,1,0.67,152,6
\benchmarks\src\main\java\org\questdb\Decimal64RoundBenchmark.java,Decimal64RoundBenchmark,class,20,1,0.66,147,6
\benchmarks\src\main\java\org\questdb\Decimal64SubtractBenchmark.java,Decimal64SubtractBenchmark,class,20,1,0.67,152,6
\benchmarks\src\main\java\org\questdb\DoubleBenchmark.java,DoubleBenchmark,class,6,1,0.32,74,4
