file,class,type,cbo,dit,lcom,loc,methods
\redisson\src\main\java\org\redisson\BaseRedissonList.java,BaseRedissonList,class,22,2,0.94,876,58
\redisson\src\main\java\org\redisson\BooleanSlotCallback.java,BooleanSlotCallback,class,2,1,0,50,3
\redisson\src\main\java\org\redisson\ElementsSubscribeService.java,ElementsSubscribeService,class,11,1,0.6,126,5
\redisson\src\main\java\org\redisson\IntegerSlotCallback.java,IntegerSlotCallback,class,2,1,0.02,51,3
\redisson\src\main\java\org\redisson\JndiRedissonFactory.java,JndiRedissonFactory,class,7,1,0.17,60,1
\redisson\src\main\java\org\redisson\LongSlotCallback.java,LongSlotCallback,class,2,1,0.02,51,3
\redisson\src\main\java\org\redisson\MapCacheNativeWrapper.java,MapCacheNativeWrapper,class,14,1,0.96,1178,114
\redisson\src\main\java\org\redisson\MapWriteBehindTask.java,MapWriteBehindTask,class,13,1,0.72,179,7
\redisson\src\main\java\org\redisson\MapWriterTask.java,MapWriterTask,class,4,2,0.44,90,9
\redisson\src\main\java\org\redisson\PubSubEntry.java,PubSubEntry,class,1,1,0,35,1
\redisson\src\main\java\org\redisson\PubSubMessageListener.java,PubSubMessageListener,class,4,1,0.39,82,5
\redisson\src\main\java\org\redisson\PubSubPatternMessageListener.java,PubSubPatternMessageListener,class,3,1,0.23,65,5
\redisson\src\main\java\org\redisson\PubSubPatternStatusListener.java,PubSubPatternStatusListener,class,3,1,0.24,66,4
\redisson\src\main\java\org\redisson\PubSubStatusListener.java,PubSubStatusListener,class,7,1,0.32,74,5
\redisson\src\main\java\org\redisson\QueueTransferService.java,QueueTransferService,class,3,1,0.21,63,2
\redisson\src\main\java\org\redisson\QueueTransferTask.java,QueueTransferTask,class,11,1,0.71,170,11
\redisson\src\main\java\org\redisson\Redisson.java,Redisson,class,30,1,0.96,1413,111
\redisson\src\main\java\org\redisson\RedissonAtomicDouble.java,RedissonAtomicDouble,class,12,2,0.79,241,17
\redisson\src\main\java\org\redisson\RedissonAtomicLong.java,RedissonAtomicLong,class,11,2,0.79,239,17
\redisson\src\main\java\org\redisson\RedissonBaseAdder.java,RedissonBaseAdder,class,12,2,0.74,195,9
\redisson\src\main\java\org\redisson\RedissonBaseLock.java,RedissonBaseLock,class,22,2,0.82,282,14
\redisson\src\main\java\org\redisson\RedissonBatch.java,RedissonBatch,class,6,1,0.87,372,35
\redisson\src\main\java\org\redisson\RedissonBinaryStream.java,RedissonBinaryStream,class,19,2,0.84,309,16
\redisson\src\main\java\org\redisson\RedissonBitSet.java,RedissonBitSet,class,14,2,0.93,686,46
\redisson\src\main\java\org\redisson\RedissonBlockingDeque.java,RedissonBlockingDeque,class,17,2,0.86,352,28
\redisson\src\main\java\org\redisson\RedissonBlockingQueue.java,RedissonBlockingQueue,class,16,2,0.83,286,16
\redisson\src\main\java\org\redisson\RedissonBloomFilter.java,RedissonBloomFilter,class,18,1,0.89,443,17
\redisson\src\main\java\org\redisson\RedissonBloomFilterNative.java,RedissonBloomFilterNative,class,21,1,0.84,315,13
\redisson\src\main\java\org\redisson\RedissonBoundedBlockingQueue.java,RedissonBoundedBlockingQueue,class,19,2,0.89,441,26
\redisson\src\main\java\org\redisson\RedissonBucket.java,RedissonBucket,class,19,2,0.91,571,32
\redisson\src\main\java\org\redisson\RedissonBuckets.java,RedissonBuckets,class,16,1,0.78,226,10
\redisson\src\main\java\org\redisson\RedissonClientSideCaching.java,RedissonClientSideCaching,class,17,1,0.79,235,13
\redisson\src\main\java\org\redisson\RedissonCountDownLatch.java,RedissonCountDownLatch,class,16,2,0.84,316,11
\redisson\src\main\java\org\redisson\RedissonCountDownLatchEntry.java,RedissonCountDownLatchEntry,class,3,1,0.26,68,7
\redisson\src\main\java\org\redisson\RedissonCuckooFilter.java,RedissonCuckooFilter,class,17,2,0.81,260,13
\redisson\src\main\java\org\redisson\RedissonDelayedQueue.java,RedissonDelayedQueue,class,10,2,0.91,551,29
\redisson\src\main\java\org\redisson\RedissonDeque.java,RedissonDeque,class,11,2,0.85,335,26
\redisson\src\main\java\org\redisson\RedissonDoubleAdder.java,RedissonDoubleAdder,class,6,2,0.35,77,4
\redisson\src\main\java\org\redisson\RedissonExecutorService.java,RedissonExecutorService,class,27,1,0.97,1442,78
\redisson\src\main\java\org\redisson\RedissonExpirable.java,RedissonExpirable,class,12,2,0.8,253,16
\redisson\src\main\java\org\redisson\RedissonFairLock.java,RedissonFairLock,class,12,2,0.86,352,6
\redisson\src\main\java\org\redisson\RedissonFasterMultiLock.java,RedissonFasterMultiLock,class,20,1,0.94,903,24
\redisson\src\main\java\org\redisson\RedissonFencedLock.java,RedissonFencedLock,class,18,2,0.85,340,11
\redisson\src\main\java\org\redisson\RedissonFuction.java,RedissonFuction,class,11,1,0.79,239,18
\redisson\src\main\java\org\redisson\RedissonGeo.java,RedissonGeo,class,12,2,0.91,538,20
\redisson\src\main\java\org\redisson\RedissonHyperLogLog.java,RedissonHyperLogLog,class,9,2,0.52,104,6
\redisson\src\main\java\org\redisson\RedissonIdGenerator.java,RedissonIdGenerator,class,17,2,0.78,223,10
\redisson\src\main\java\org\redisson\RedissonJsonBucket.java,RedissonJsonBucket,class,24,2,0.95,1084,74
\redisson\src\main\java\org\redisson\RedissonJsonBuckets.java,RedissonJsonBuckets,class,13,1,0.64,140,6
\redisson\src\main\java\org\redisson\RedissonKeys.java,RedissonKeys,class,46,1,0.94,775,49
\redisson\src\main\java\org\redisson\RedissonLexSortedSet.java,RedissonLexSortedSet,class,13,2,0.86,347,25
\redisson\src\main\java\org\redisson\RedissonList.java,RedissonList,class,4,2,0,40,1
\redisson\src\main\java\org\redisson\RedissonListMultimap.java,RedissonListMultimap,class,17,2,0.89,466,20
\redisson\src\main\java\org\redisson\RedissonListMultimapCache.java,RedissonListMultimapCache,class,11,2,0.77,217,8
\redisson\src\main\java\org\redisson\RedissonListMultimapCacheNative.java,RedissonListMultimapCacheNative,class,5,2,0.29,70,4
\redisson\src\main\java\org\redisson\RedissonListMultimapIterator.java,RedissonListMultimapIterator,class,3,2,0,35,1
\redisson\src\main\java\org\redisson\RedissonListMultimapValues.java,RedissonListMultimapValues,class,15,2,0.95,976,65
\redisson\src\main\java\org\redisson\RedissonLiveObjectService.java,RedissonLiveObjectService,class,46,1,0.95,979,29
\redisson\src\main\java\org\redisson\RedissonLocalCachedMap.java,RedissonLocalCachedMap,class,24,2,0.97,1473,31
\redisson\src\main\java\org\redisson\RedissonLock.java,RedissonLock,class,17,2,0.92,593,12
