file,class,type,cbo,dit,lcom,loc,methods
\samples\oauth\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\PhotoInfo.java,PhotoInfo,class,1,1,0.42,86,6
\samples\oauth\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\PhotoService.java,PhotoService,class,2,1,0,27,1
\samples\oauth\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\impl\PhotoServiceImpl.java,PhotoServiceImpl,class,12,1,0.43,88,3
\samples\oauth\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\mvc\AccessConfirmationController.java,AccessConfirmationController,class,10,1,0.12,57,3
\samples\oauth\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\mvc\PhotoController.java,PhotoController,class,15,1,0.48,96,3
\samples\oauth\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\oauth\SparklrConsumerDetails.java,SparklrConsumerDetails,class,1,2,0.26,68,5
\samples\oauth\tonr\src\main\java\org\springframework\security\oauth\examples\tonr\GoogleService.java,GoogleService,class,1,1,0,10,1
\samples\oauth\tonr\src\main\java\org\springframework\security\oauth\examples\tonr\SparklrException.java,SparklrException,class,1,2,0,12,1
\samples\oauth\tonr\src\main\java\org\springframework\security\oauth\examples\tonr\SparklrService.java,SparklrService,class,2,1,0,25,1
\samples\oauth\tonr\src\main\java\org\springframework\security\oauth\examples\tonr\impl\GoogleServiceImpl.java,GoogleServiceImpl,class,14,1,0.35,77,3
\samples\oauth\tonr\src\main\java\org\springframework\security\oauth\examples\tonr\impl\SparklrServiceImpl.java,SparklrServiceImpl,class,15,1,0.43,88,6
\samples\oauth\tonr\src\main\java\org\springframework\security\oauth\examples\tonr\mvc\PicasaController.java,PicasaController,class,4,1,0,26,2
\samples\oauth\tonr\src\main\java\org\springframework\security\oauth\examples\tonr\mvc\SparklrController.java,SparklrController,class,18,1,0.23,65,2
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\PhotoInfo.java,PhotoInfo,class,1,1,0.42,86,6
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\PhotoService.java,PhotoService,class,2,1,0,27,1
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\PhotoServiceUser.java,PhotoServiceUser,class,1,1,0,45,3
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\config\MethodSecurityConfig.java,MethodSecurityConfig,class,6,2,0,40,1
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\config\OAuth2ServerConfig.java,OAuth2ServerConfig,class,28,1,0.76,207,8
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\config\SecurityConfiguration.java,SecurityConfiguration,class,10,2,0.17,60,2
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\config\ServletInitializer.java,ServletInitializer,class,7,2,0.11,56,1
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\config\WebMvcConfig.java,WebMvcConfig,class,29,2,0.6,124,5
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\impl\PhotoServiceImpl.java,PhotoServiceImpl,class,11,1,0.23,65,3
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\mvc\AccessConfirmationController.java,AccessConfirmationController,class,14,1,0.26,68,3
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\mvc\AdminController.java,AdminController,class,20,1,0.6,126,7
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\mvc\PhotoController.java,PhotoController,class,16,1,0.52,105,4
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\mvc\PhotoServiceUserController.java,PhotoServiceUserController,class,5,1,0,25,1
\samples\oauth2\sparklr\src\main\java\org\springframework\security\oauth\examples\sparklr\oauth\SparklrUserApprovalHandler.java,SparklrUserApprovalHandler,class,7,2,0.48,96,3
