file,class,type,cbo,dit,lcom,loc,methods
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\adaptor\UserAdaptor.java,UserAdaptor,class,7,1,0,45,2
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\annotation\AuthenticationIgnore.java,AuthenticationIgnore,class,4,1,0,11,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\config\AuthenticationConfig.java,AuthenticationConfig,class,6,1,0.11,56,7
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\constant\UserConstants.java,UserConstants,class,1,1,0,20,5
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\pojo\Organization.java,Organization,class,5,1,0,26,3
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\pojo\UserToken.java,UserToken,class,4,1,0,20,4
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\pojo\UserWithPassword.java,UserWithPassword,class,13,2,0,48,2
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\request\UserReq.java,UserReq,class,2,1,0,20,2
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\request\UserTokenReq.java,UserTokenReq,class,2,1,0,14,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\service\UserService.java,UserService,class,8,1,0,49,2
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\service\UserStrategy.java,UserStrategy,class,3,1,0,16,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authentication\utils\UserHolder.java,UserHolder,class,8,1,0,39,3
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\pojo\AuthGroup.java,AuthGroup,class,2,1,0,22,4
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\pojo\AuthRes.java,AuthRes,class,2,1,0,19,2
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\pojo\AuthRule.java,AuthRule,class,4,1,0,29,3
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\pojo\DimensionFilter.java,DimensionFilter,class,3,1,0,13,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\request\AddUsersToGroupReq.java,AddUsersToGroupReq,class,2,1,0,12,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\request\QueryAuthResReq.java,QueryAuthResReq,class,6,1,0,30,2
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\request\QueryGroupReq.java,QueryGroupReq,class,3,2,0,13,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\request\RemoveGroupReq.java,RemoveGroupReq,class,2,1,0,11,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\request\RemoveUsersFromGroupReq.java,RemoveUsersFromGroupReq,class,2,1,0,12,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\response\AuthorizedResourceResp.java,AuthorizedResourceResp,class,5,1,0,16,1
\auth\api\src\main\java\com\tencent\supersonic\auth\api\authorization\service\AuthService.java,AuthService,class,5,1,0,19,1
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\adaptor\DefaultUserAdaptor.java,DefaultUserAdaptor,class,23,1,0.83,288,14
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\interceptor\AuthenticationInterceptor.java,AuthenticationInterceptor,class,9,1,0,47,1
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\interceptor\DefaultAuthenticationInterceptor.java,DefaultAuthenticationInterceptor,class,15,2,0.32,74,1
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\interceptor\InterceptorFactory.java,InterceptorFactory,class,5,1,0,27,2
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\persistence\dataobject\UserDO.java,UserDO,class,5,1,0.09,55,6
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\persistence\dataobject\UserDOExample.java,UserDOExample,class,2,1,0.92,645,59
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\persistence\dataobject\UserTokenDO.java,UserTokenDO,class,5,1,0,25,1
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\persistence\mapper\UserDOMapper.java,UserDOMapper,class,6,2,0,17,1
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\persistence\mapper\UserTokenDOMapper.java,UserTokenDOMapper,class,3,2,0,11,1
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\persistence\repository\UserRepository.java,UserRepository,class,3,1,0,31,3
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\persistence\repository\impl\UserRepositoryImpl.java,UserRepositoryImpl,class,10,1,0.45,91,7
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\rest\UserController.java,UserController,class,12,1,0.54,109,8
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\service\UserServiceImpl.java,UserServiceImpl,class,15,1,0.57,117,9
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\strategy\FakeUserStrategy.java,FakeUserStrategy,class,5,1,0,33,3
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\strategy\HttpHeaderUserStrategy.java,HttpHeaderUserStrategy,class,9,1,0.23,65,5
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\strategy\UserStrategyFactory.java,UserStrategyFactory,class,8,1,0.04,52,2
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\utils\ComponentFactory.java,ComponentFactory,class,3,1,0,23,2
\auth\authentication\src\main\java\com\tencent\supersonic\auth\authentication\utils\TokenService.java,TokenService,class,20,1,0.69,163,8
\auth\authorization\src\main\java\com\tencent\supersonic\auth\authorization\rest\AuthController.java,AuthController,class,16,1,0.33,75,4
\auth\authorization\src\main\java\com\tencent\supersonic\auth\authorization\service\AuthServiceImpl.java,AuthServiceImpl,class,20,1,0.63,136,5
\chat\api\src\main\java\com\tencent\supersonic\chat\api\pojo\enums\MemoryReviewResult.java,MemoryReviewResult,class,2,1,0,18,1
\chat\api\src\main\java\com\tencent\supersonic\chat\api\pojo\enums\MemoryStatus.java,MemoryStatus,class,1,1,0,5,1
