file,class,type,cbo,dit,lcom,loc,methods
\application\src\main\java\org\apache\kafka\common\network\NetworkReceive.java,NetworkReceive,class,10,1,0.71,173,14
\application\src\main\java\org\springframework\http\converter\xml\MappingJackson2XmlHttpMessageConverter.java,MappingJackson2XmlHttpMessageConverter,class,10,2,0.26,68,3
\application\src\main\java\org\thingsboard\server\ThingsboardInstallApplication.java,ThingsboardInstallApplication,class,7,1,0.22,64,2
\application\src\main\java\org\thingsboard\server\ThingsboardServerApplication.java,ThingsboardServerApplication,class,10,1,0.21,63,3
\application\src\main\java\org\thingsboard\server\actors\ActorSystemContext.java,ActorSystemContext,class,136,1,0.95,937,79
\application\src\main\java\org\thingsboard\server\actors\TbEntityTypeActorIdPredicate.java,TbEntityTypeActorIdPredicate,class,4,1,0,37,1
\application\src\main\java\org\thingsboard\server\actors\app\AppActor.java,AppActor,class,32,1,0.8,252,8
\application\src\main\java\org\thingsboard\server\actors\app\AppInitMsg.java,AppInitMsg,class,2,1,0,27,1
\application\src\main\java\org\thingsboard\server\actors\calculatedField\AbstractCalculatedFieldActor.java,AbstractCalculatedFieldActor,class,7,2,0.19,62,1
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldAlarmActionMsg.java,CalculatedFieldAlarmActionMsg,class,8,1,0,41,3
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldArgumentResetMsg.java,CalculatedFieldArgumentResetMsg,class,7,1,0,39,3
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldEntityActionEventMsg.java,CalculatedFieldEntityActionEventMsg,class,12,1,0.12,57,4
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldEntityActor.java,CalculatedFieldEntityActor,class,10,2,0.52,105,2
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldEntityActorCreator.java,CalculatedFieldEntityActorCreator,class,10,2,0,50,3
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldEntityDeleteMsg.java,CalculatedFieldEntityDeleteMsg,class,6,1,0,44,3
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldEntityMessageProcessor.java,CalculatedFieldEntityMessageProcessor,class,62,1,0.94,801,25
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldException.java,CalculatedFieldException,class,6,2,0,38,4
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldLinkedTelemetryMsg.java,CalculatedFieldLinkedTelemetryMsg,class,7,1,0,39,3
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldManagerActor.java,CalculatedFieldManagerActor,class,11,2,0.5,100,3
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldManagerActorCreator.java,CalculatedFieldManagerActorCreator,class,8,2,0,46,2
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldManagerMessageProcessor.java,CalculatedFieldManagerMessageProcessor,class,76,1,0.95,913,39
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldReevaluateMsg.java,CalculatedFieldReevaluateMsg,class,5,1,0,35,2
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldRelationActionMsg.java,CalculatedFieldRelationActionMsg,class,8,1,0.04,52,4
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldStateRestoreMsg.java,CalculatedFieldStateRestoreMsg,class,9,1,0,47,4
\application\src\main\java\org\thingsboard\server\actors\calculatedField\CalculatedFieldTelemetryMsg.java,CalculatedFieldTelemetryMsg,class,7,1,0,39,3
