file,class,type,cbo,dit,lcom,loc,methods
\client\trino-cli\src\main\java\io\trino\cli\AbstractWarningsPrinter.java,AbstractWarningsPrinter,class,10,1,0.59,121,5
\client\trino-cli\src\main\java\io\trino\cli\AlignedTablePrinter.java,AlignedTablePrinter,class,24,1,0.73,185,6
\client\trino-cli\src\main\java\io\trino\cli\AutoTablePrinter.java,AutoTablePrinter,class,7,1,0.38,80,5
\client\trino-cli\src\main\java\io\trino\cli\ClientOptions.java,ClientOptions,class,79,1,0.94,829,60
\client\trino-cli\src\main\java\io\trino\cli\Completion.java,Completion,class,7,1,0.22,64,2
\client\trino-cli\src\main\java\io\trino\cli\Console.java,Console,class,59,1,0.89,460,7
\client\trino-cli\src\main\java\io\trino\cli\ConsolePrinter.java,ConsolePrinter,class,3,1,0.36,78,5
\client\trino-cli\src\main\java\io\trino\cli\CsvPrinter.java,CsvPrinter,class,11,1,0.58,120,7
\client\trino-cli\src\main\java\io\trino\cli\FormatUtils.java,FormatUtils,class,22,1,0.86,352,9
\client\trino-cli\src\main\java\io\trino\cli\Help.java,Help,class,1,1,0,39,1
\client\trino-cli\src\main\java\io\trino\cli\InputHighlighter.java,InputHighlighter,class,21,1,0.59,122,7
\client\trino-cli\src\main\java\io\trino\cli\InputParser.java,InputParser,class,12,1,0.14,58,2
\client\trino-cli\src\main\java\io\trino\cli\InputReader.java,InputReader,class,25,1,0.54,109,4
\client\trino-cli\src\main\java\io\trino\cli\JsonPrinter.java,JsonPrinter,class,11,1,0.44,90,4
\client\trino-cli\src\main\java\io\trino\cli\MarkdownTablePrinter.java,MarkdownTablePrinter,class,20,1,0.66,145,6
\client\trino-cli\src\main\java\io\trino\cli\NullPrinter.java,NullPrinter,class,1,1,0,26,1
\client\trino-cli\src\main\java\io\trino\cli\OutputHandler.java,OutputHandler,class,18,1,0.65,142,6
\client\trino-cli\src\main\java\io\trino\cli\OutputPrinter.java,OutputPrinter,class,2,1,0,26,1
\client\trino-cli\src\main\java\io\trino\cli\Pager.java,Pager,class,9,2,0.71,172,8
\client\trino-cli\src\main\java\io\trino\cli\Query.java,Query,class,44,1,0.89,464,20
\client\trino-cli\src\main\java\io\trino\cli\QueryAbortedException.java,QueryAbortedException,class,1,2,0,25,1
\client\trino-cli\src\main\java\io\trino\cli\QueryPreprocessor.java,QueryPreprocessor,class,27,1,0.77,218,6
\client\trino-cli\src\main\java\io\trino\cli\QueryPreprocessorException.java,QueryPreprocessorException,class,1,2,0,28,1
\client\trino-cli\src\main\java\io\trino\cli\QueryRunner.java,QueryRunner,class,11,1,0.44,90,8
\client\trino-cli\src\main\java\io\trino\cli\StatusPrinter.java,StatusPrinter,class,34,1,0.9,517,14
\client\trino-cli\src\main\java\io\trino\cli\TableNameCompleter.java,TableNameCompleter,class,20,1,0.68,157,8
\client\trino-cli\src\main\java\io\trino\cli\TerminalUtils.java,TerminalUtils,class,7,1,0.48,97,5
\client\trino-cli\src\main\java\io\trino\cli\ThreadInterruptor.java,ThreadInterruptor,class,2,1,0,42,2
\client\trino-cli\src\main\java\io\trino\cli\Trino.java,Trino,class,30,1,0.69,159,7
\client\trino-cli\src\main\java\io\trino\cli\TsvPrinter.java,TsvPrinter,class,7,1,0.55,110,4
\client\trino-cli\src\main\java\io\trino\cli\ValidatingPropertiesDefaultProvider.java,ValidatingPropertiesDefaultProvider,class,14,2,0.49,98,3
\client\trino-cli\src\main\java\io\trino\cli\VerticalRecordPrinter.java,VerticalRecordPrinter,class,10,1,0.5,101,5
\client\trino-cli\src\main\java\io\trino\cli\WarningsPrinter.java,WarningsPrinter,class,2,1,0,23,1
\client\trino-cli\src\main\java\io\trino\cli\lexer\DelimiterLexer.java,DelimiterLexer,class,9,2,0.64,138,3
\client\trino-cli\src\main\java\io\trino\cli\lexer\StatementSplitter.java,StatementSplitter,class,17,1,0.77,222,10
\client\trino-cli\src\test\java\io\trino\cli\TestAlignedTablePrinter.java,TestAlignedTablePrinter,class,17,1,0.85,329,7
\client\trino-cli\src\test\java\io\trino\cli\TestAutoTablePrinter.java,TestAutoTablePrinter,class,10,1,0.56,113,1
\client\trino-cli\src\test\java\io\trino\cli\TestClientOptions.java,TestClientOptions,class,20,1,0.88,414,18
\client\trino-cli\src\test\java\io\trino\cli\TestCsvPrinter.java,TestCsvPrinter,class,15,1,0.78,227,6
\client\trino-cli\src\test\java\io\trino\cli\TestFormatUtils.java,TestFormatUtils,class,15,1,0.9,501,6
\client\trino-cli\src\test\java\io\trino\cli\TestInputParser.java,TestInputParser,class,6,1,0,34,1
\client\trino-cli\src\test\java\io\trino\cli\TestInsecureQueryRunner.java,TestInsecureQueryRunner,class,24,1,0.5,100,2
\client\trino-cli\src\test\java\io\trino\cli\TestJsonPrinter.java,TestJsonPrinter,class,9,1,0.4,83,2
\client\trino-cli\src\test\java\io\trino\cli\TestMarkdownTablePrinter.java,TestMarkdownTablePrinter,class,12,1,0.73,183,3
\client\trino-cli\src\test\java\io\trino\cli\TestQueryRunner.java,TestQueryRunner,class,35,1,0.68,155,2
\client\trino-cli\src\test\java\io\trino\cli\TestTsvPrinter.java,TestTsvPrinter,class,9,1,0.53,107,2
\client\trino-cli\src\test\java\io\trino\cli\TestVerticalRecordPrinter.java,TestVerticalRecordPrinter,class,8,1,0.76,207,4
\client\trino-cli\src\test\java\io\trino\cli\lexer\TestStatementSplitter.java,TestStatementSplitter,class,6,1,0.9,482,22
\client\trino-client\src\main\java\io\trino\client\ClientCapabilities.java,ClientCapabilities,class,1,1,0,40,1
\client\trino-client\src\main\java\io\trino\client\ClientException.java,ClientException,class,1,2,0,28,1
\client\trino-client\src\main\java\io\trino\client\ClientSelectedRole.java,ClientSelectedRole,class,7,1,0.51,103,6
\client\trino-client\src\main\java\io\trino\client\ClientSession.java,ClientSession,class,18,1,0.91,565,55
\client\trino-client\src\main\java\io\trino\client\ClientStandardTypes.java,ClientStandardTypes,class,1,1,0.17,60,20
\client\trino-client\src\main\java\io\trino\client\ClientTypeSignature.java,ClientTypeSignature,class,18,1,0.66,149,7
\client\trino-client\src\main\java\io\trino\client\ClientTypeSignatureParameter.java,ClientTypeSignatureParameter,class,13,1,0.74,194,11
\client\trino-client\src\main\java\io\trino\client\CloseableIterator.java,CloseableIterator,class,2,2,0.07,54,2
\client\trino-client\src\main\java\io\trino\client\CloseableLimitingIterator.java,CloseableLimitingIterator,class,3,2,0.3,71,3
\client\trino-client\src\main\java\io\trino\client\Column.java,Column,class,5,1,0.38,80,5
\client\trino-client\src\main\java\io\trino\client\DerUtils.java,DerUtils,class,12,1,0.78,231,6
\client\trino-client\src\main\java\io\trino\client\DisallowLocalRedirectInterceptor.java,DisallowLocalRedirectInterceptor,class,8,1,0.35,77,1
\client\trino-client\src\main\java\io\trino\client\DnsResolver.java,DnsResolver,class,3,1,0,24,1
\client\trino-client\src\main\java\io\trino\client\ErrorInfo.java,ErrorInfo,class,4,1,0.42,86,5
\client\trino-client\src\main\java\io\trino\client\ErrorLocation.java,ErrorLocation,class,5,1,0.18,61,3
\client\trino-client\src\main\java\io\trino\client\FailureException.java,FailureException,class,2,2,0.38,80,3
\client\trino-client\src\main\java\io\trino\client\FailureInfo.java,FailureInfo,class,8,1,0.6,125,9
\client\trino-client\src\main\java\io\trino\client\HttpStatusCodes.java,HttpStatusCodes,class,3,1,0,35,1
\client\trino-client\src\main\java\io\trino\client\IntervalDayTime.java,IntervalDayTime,class,6,1,0.5,100,5
