file,class,type,cbo,dit,lcom,loc,methods
\src\main\java\org\apache\ibatis\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\annotations\Arg.java,Arg,class,7,2,0,46,1
\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java,CacheNamespace,class,6,2,0,44,1
\src\main\java\org\apache\ibatis\annotations\CacheNamespaceRef.java,CacheNamespaceRef,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\Case.java,Case,class,4,1,0,36,1
\src\main\java\org\apache\ibatis\annotations\ConstructorArgs.java,ConstructorArgs,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\Delete.java,Delete,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\DeleteProvider.java,DeleteProvider,class,4,1,0,32,1
\src\main\java\org\apache\ibatis\annotations\Insert.java,Insert,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\InsertProvider.java,InsertProvider,class,4,1,0,32,1
\src\main\java\org\apache\ibatis\annotations\Lang.java,Lang,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\Many.java,Many,class,5,1,0,35,1
\src\main\java\org\apache\ibatis\annotations\MapKey.java,MapKey,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\One.java,One,class,5,1,0,35,1
\src\main\java\org\apache\ibatis\annotations\Options.java,Options,class,6,1,0,49,1
\src\main\java\org\apache\ibatis\annotations\package-info.java,package-info,class,1,1,0,21,1
\src\main\java\org\apache\ibatis\annotations\Param.java,Param,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\Result.java,Result,class,7,2,0,48,1
\src\main\java\org\apache\ibatis\annotations\ResultMap.java,ResultMap,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\Results.java,Results,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\ResultType.java,ResultType,class,4,1,0,36,1
\src\main\java\org\apache\ibatis\annotations\Select.java,Select,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\SelectKey.java,SelectKey,class,5,1,0,42,1
\src\main\java\org\apache\ibatis\annotations\SelectProvider.java,SelectProvider,class,4,1,0,32,1
\src\main\java\org\apache\ibatis\annotations\TypeDiscriminator.java,TypeDiscriminator,class,7,2,0,42,1
\src\main\java\org\apache\ibatis\annotations\Update.java,Update,class,4,1,0,30,1
\src\main\java\org\apache\ibatis\annotations\UpdateProvider.java,UpdateProvider,class,4,1,0,32,1
\src\main\java\org\apache\ibatis\binding\BindingException.java,BindingException,class,1,2,0,47,3
\src\main\java\org\apache\ibatis\binding\MapperMethod.java,MapperMethod,class,12,1,0.87,395,23
\src\main\java\org\apache\ibatis\binding\MapperProxy.java,MapperProxy,class,6,1,0.33,75,4
\src\main\java\org\apache\ibatis\binding\MapperProxyFactory.java,MapperProxyFactory,class,5,1,0.15,59,3
\src\main\java\org\apache\ibatis\binding\MapperRegistry.java,MapperRegistry,class,9,1,0.58,120,5
\src\main\java\org\apache\ibatis\binding\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\builder\BaseBuilder.java,BaseBuilder,class,11,1,0.7,168,1
\src\main\java\org\apache\ibatis\builder\BuilderException.java,BuilderException,class,1,2,0,46,3
\src\main\java\org\apache\ibatis\builder\CacheRefResolver.java,CacheRefResolver,class,1,1,0,40,2
\src\main\java\org\apache\ibatis\builder\IncompleteElementException.java,IncompleteElementException,class,1,2,0,44,3
\src\main\java\org\apache\ibatis\builder\MapperBuilderAssistant.java,MapperBuilderAssistant,class,32,1,0.91,573,14
\src\main\java\org\apache\ibatis\builder\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\builder\ParameterExpression.java,ParameterExpression,class,1,2,0.69,161,6
\src\main\java\org\apache\ibatis\builder\ResultMapResolver.java,ResultMapResolver,class,4,1,0.09,55,5
\src\main\java\org\apache\ibatis\builder\SqlSourceBuilder.java,SqlSourceBuilder,class,11,2,0.67,151,6
\src\main\java\org\apache\ibatis\builder\StaticSqlSource.java,StaticSqlSource,class,5,1,0.06,53,3
\src\main\java\org\apache\ibatis\builder\annotation\MapperAnnotationBuilder.java,MapperAnnotationBuilder,class,66,1,0.92,611,18
\src\main\java\org\apache\ibatis\builder\annotation\MethodResolver.java,MethodResolver,class,1,1,0,36,2
\src\main\java\org\apache\ibatis\builder\annotation\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\builder\annotation\ProviderSqlSource.java,ProviderSqlSource,class,7,1,0.41,85,4
\src\main\java\org\apache\ibatis\builder\xml\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\builder\xml\XMLConfigBuilder.java,XMLConfigBuilder,class,24,1,0.91,582,13
\src\main\java\org\apache\ibatis\builder\xml\XMLIncludeTransformer.java,XMLIncludeTransformer,class,7,1,0.44,90,3
\src\main\java\org\apache\ibatis\builder\xml\XMLMapperBuilder.java,XMLMapperBuilder,class,30,1,0.9,513,16
\src\main\java\org\apache\ibatis\builder\xml\XMLMapperEntityResolver.java,XMLMapperEntityResolver,class,9,1,0.6,125,9
\src\main\java\org\apache\ibatis\builder\xml\XMLStatementBuilder.java,XMLStatementBuilder,class,16,2,0.8,244,6
\src\main\java\org\apache\ibatis\cache\Cache.java,Cache,class,1,1,0.5,101,2
\src\main\java\org\apache\ibatis\cache\CacheException.java,CacheException,class,1,2,0,47,3
\src\main\java\org\apache\ibatis\cache\CacheKey.java,CacheKey,class,4,1,0.69,159,10
\src\main\java\org\apache\ibatis\cache\NullCacheKey.java,NullCacheKey,class,1,2,0,43,2
\src\main\java\org\apache\ibatis\cache\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\cache\TransactionalCacheManager.java,TransactionalCacheManager,class,3,1,0.3,71,4
\src\main\java\org\apache\ibatis\cache\decorators\BlockingCache.java,BlockingCache,class,7,1,0.61,128,8
\src\main\java\org\apache\ibatis\cache\decorators\FifoCache.java,FifoCache,class,4,1,0.47,95,7
\src\main\java\org\apache\ibatis\cache\decorators\LoggingCache.java,LoggingCache,class,4,1,0.53,106,7
\src\main\java\org\apache\ibatis\cache\decorators\LruCache.java,LruCache,class,4,1,0.56,114,7
\src\main\java\org\apache\ibatis\cache\decorators\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\cache\decorators\ScheduledCache.java,ScheduledCache,class,2,1,0.52,105,7
\src\main\java\org\apache\ibatis\cache\decorators\SerializedCache.java,SerializedCache,class,12,1,0.65,143,8
\src\main\java\org\apache\ibatis\cache\decorators\SoftCache.java,SoftCache,class,6,1,0.62,133,8
\src\main\java\org\apache\ibatis\cache\decorators\SynchronizedCache.java,SynchronizedCache,class,2,1,0.44,89,6
\src\main\java\org\apache\ibatis\cache\decorators\TransactionalCache.java,TransactionalCache,class,6,1,0.65,142,9
\src\main\java\org\apache\ibatis\cache\decorators\WeakCache.java,WeakCache,class,6,1,0.58,120,9
\src\main\java\org\apache\ibatis\cache\impl\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\cache\impl\PerpetualCache.java,PerpetualCache,class,5,1,0.52,105,6
\src\main\java\org\apache\ibatis\datasource\DataSourceException.java,DataSourceException,class,1,2,0,46,3
\src\main\java\org\apache\ibatis\datasource\DataSourceFactory.java,DataSourceFactory,class,2,1,0,36,1
\src\main\java\org\apache\ibatis\datasource\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\datasource\jndi\JndiDataSourceFactory.java,JndiDataSourceFactory,class,8,1,0.46,93,4
\src\main\java\org\apache\ibatis\datasource\jndi\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\datasource\pooled\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\datasource\pooled\PooledConnection.java,PooledConnection,class,6,1,0.81,266,16
\src\main\java\org\apache\ibatis\datasource\pooled\PooledDataSource.java,PooledDataSource,class,14,1,0.92,590,27
\src\main\java\org\apache\ibatis\datasource\pooled\PooledDataSourceFactory.java,PooledDataSourceFactory,class,1,2,0,34,1
\src\main\java\org\apache\ibatis\datasource\pooled\PoolState.java,PoolState,class,2,1,0.61,127,6
\src\main\java\org\apache\ibatis\datasource\unpooled\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\datasource\unpooled\UnpooledDataSource.java,UnpooledDataSource,class,13,1,0.84,306,26
\src\main\java\org\apache\ibatis\datasource\unpooled\UnpooledDataSourceFactory.java,UnpooledDataSourceFactory,class,6,1,0.43,88,3
\src\main\java\org\apache\ibatis\exceptions\ExceptionFactory.java,ExceptionFactory,class,1,1,0,40,1
\src\main\java\org\apache\ibatis\exceptions\IbatisException.java,IbatisException,class,1,2,0,46,3
\src\main\java\org\apache\ibatis\exceptions\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\exceptions\PersistenceException.java,PersistenceException,class,1,2,0,46,3
\src\main\java\org\apache\ibatis\exceptions\TooManyResultsException.java,TooManyResultsException,class,1,2,0,44,3
\src\main\java\org\apache\ibatis\executor\BaseExecutor.java,BaseExecutor,class,24,1,0.88,412,16
\src\main\java\org\apache\ibatis\executor\BatchExecutor.java,BatchExecutor,class,17,2,0.66,145,5
\src\main\java\org\apache\ibatis\executor\BatchExecutorException.java,BatchExecutorException,class,2,2,0.45,91,5
\src\main\java\org\apache\ibatis\executor\BatchResult.java,BatchResult,class,3,1,0.33,75,7
\src\main\java\org\apache\ibatis\executor\CachingExecutor.java,CachingExecutor,class,14,1,0.72,177,10
\src\main\java\org\apache\ibatis\executor\ErrorContext.java,ErrorContext,class,1,1,0.7,165,11
\src\main\java\org\apache\ibatis\executor\ExecutionPlaceholder.java,ExecutionPlaceholder,class,1,1,0,26,1
\src\main\java\org\apache\ibatis\executor\Executor.java,Executor,class,9,1,0.36,78,3
\src\main\java\org\apache\ibatis\executor\ExecutorException.java,ExecutorException,class,1,2,0,47,3
\src\main\java\org\apache\ibatis\executor\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\ResultExtractor.java,ResultExtractor,class,5,1,0.31,72,2
\src\main\java\org\apache\ibatis\executor\ReuseExecutor.java,ReuseExecutor,class,15,2,0.55,112,5
\src\main\java\org\apache\ibatis\executor\SimpleExecutor.java,SimpleExecutor,class,13,2,0.49,98,3
\src\main\java\org\apache\ibatis\executor\keygen\Jdbc3KeyGenerator.java,Jdbc3KeyGenerator,class,13,1,0.57,115,3
\src\main\java\org\apache\ibatis\executor\keygen\KeyGenerator.java,KeyGenerator,class,3,1,0,37,1
\src\main\java\org\apache\ibatis\executor\keygen\NoKeyGenerator.java,NoKeyGenerator,class,3,1,0,44,1
\src\main\java\org\apache\ibatis\executor\keygen\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\keygen\SelectKeyGenerator.java,SelectKeyGenerator,class,9,1,0.59,122,5
\src\main\java\org\apache\ibatis\executor\loader\AbstractEnhancedDeserializationProxy.java,AbstractEnhancedDeserializationProxy,class,9,1,0.53,106,4
\src\main\java\org\apache\ibatis\executor\loader\AbstractSerialStateHolder.java,AbstractSerialStateHolder,class,16,1,0.62,132,6
\src\main\java\org\apache\ibatis\executor\loader\CglibProxyFactory.java,CglibProxyFactory,class,1,2,0,24,1
\src\main\java\org\apache\ibatis\executor\loader\JavassistProxyFactory.java,JavassistProxyFactory,class,1,2,0,24,1
\src\main\java\org\apache\ibatis\executor\loader\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\loader\ProxyFactory.java,ProxyFactory,class,4,1,0,36,1
\src\main\java\org\apache\ibatis\executor\loader\ResultLoader.java,ResultLoader,class,16,1,0.57,117,3
\src\main\java\org\apache\ibatis\executor\loader\ResultLoaderMap.java,ResultLoaderMap,class,23,1,0.84,315,15
\src\main\java\org\apache\ibatis\executor\loader\WriteReplaceInterface.java,WriteReplaceInterface,class,1,1,0,27,1
\src\main\java\org\apache\ibatis\executor\loader\cglib\CglibProxyFactory.java,CglibProxyFactory,class,22,1,0.75,200,11
\src\main\java\org\apache\ibatis\executor\loader\cglib\CglibSerialStateHolder.java,CglibSerialStateHolder,class,5,2,0,49,1
\src\main\java\org\apache\ibatis\executor\loader\cglib\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\loader\javassist\JavassistProxyFactory.java,JavassistProxyFactory,class,21,1,0.75,199,11
\src\main\java\org\apache\ibatis\executor\loader\javassist\JavassistSerialStateHolder.java,JavassistSerialStateHolder,class,5,2,0,49,1
\src\main\java\org\apache\ibatis\executor\loader\javassist\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\parameter\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\parameter\ParameterHandler.java,ParameterHandler,class,2,1,0,39,1
\src\main\java\org\apache\ibatis\executor\result\DefaultMapResultHandler.java,DefaultMapResultHandler,class,6,1,0.25,67,4
\src\main\java\org\apache\ibatis\executor\result\DefaultResultContext.java,DefaultResultContext,class,1,1,0.23,65,5
\src\main\java\org\apache\ibatis\executor\result\DefaultResultHandler.java,DefaultResultHandler,class,5,1,0.12,57,3
\src\main\java\org\apache\ibatis\executor\result\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\resultset\DefaultResultSetHandler.java,DefaultResultSetHandler,class,38,1,0.95,1047,37
\src\main\java\org\apache\ibatis\executor\resultset\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\resultset\ResultSetHandler.java,ResultSetHandler,class,4,1,0,38,1
\src\main\java\org\apache\ibatis\executor\resultset\ResultSetWrapper.java,ResultSetWrapper,class,19,1,0.72,177,9
\src\main\java\org\apache\ibatis\executor\statement\BaseStatementHandler.java,BaseStatementHandler,class,16,1,0.67,152,4
\src\main\java\org\apache\ibatis\executor\statement\CallableStatementHandler.java,CallableStatementHandler,class,16,2,0.59,122,3
\src\main\java\org\apache\ibatis\executor\statement\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\executor\statement\PreparedStatementHandler.java,PreparedStatementHandler,class,13,2,0.47,95,3
\src\main\java\org\apache\ibatis\executor\statement\RoutingStatementHandler.java,RoutingStatementHandler,class,11,1,0.47,95,5
\src\main\java\org\apache\ibatis\executor\statement\SimpleStatementHandler.java,SimpleStatementHandler,class,13,2,0.49,99,3
\src\main\java\org\apache\ibatis\executor\statement\StatementHandler.java,StatementHandler,class,7,1,0.19,62,1
\src\main\java\org\apache\ibatis\io\ClassLoaderWrapper.java,ClassLoaderWrapper,class,2,1,0.77,219,3
\src\main\java\org\apache\ibatis\io\DefaultVFS.java,DefaultVFS,class,17,2,0.84,318,2
\src\main\java\org\apache\ibatis\io\ExternalResources.java,ExternalResources,class,8,1,0.4,84,2
\src\main\java\org\apache\ibatis\io\JBoss6VFS.java,JBoss6VFS,class,8,2,0.72,177,4
\src\main\java\org\apache\ibatis\io\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\io\ResolverUtil.java,ResolverUtil,class,7,1,0.81,270,11
\src\main\java\org\apache\ibatis\io\Resources.java,Resources,class,9,1,0.82,274,10
\src\main\java\org\apache\ibatis\io\VFS.java,VFS,class,10,2,0.76,205,4
\src\main\java\org\apache\ibatis\jdbc\AbstractSQL.java,AbstractSQL,class,3,1,0.85,323,21
\src\main\java\org\apache\ibatis\jdbc\Null.java,Null,class,21,1,0.43,87,3
\src\main\java\org\apache\ibatis\jdbc\package-info.java,package-info,class,1,1,0,20,1
\src\main\java\org\apache\ibatis\jdbc\RuntimeSqlException.java,RuntimeSqlException,class,1,2,0,41,3
\src\main\java\org\apache\ibatis\jdbc\ScriptRunner.java,ScriptRunner,class,9,1,0.83,294,19
\src\main\java\org\apache\ibatis\jdbc\SelectBuilder.java,SelectBuilder,class,1,1,0.57,116,10
\src\main\java\org\apache\ibatis\jdbc\SQL.java,SQL,class,1,2,0,32,1
\src\main\java\org\apache\ibatis\jdbc\SqlBuilder.java,SqlBuilder,class,1,1,0.63,135,13
