full_name,owner,name,stars,forks,language,pr_count,url
Snailclimb/JavaGuide,Snailclimb,JavaGuide,155153,46149,Java,1000,https://github.com/Snailclimb/JavaGuide
krahets/hello-algo,krahets,hello-algo,125583,15074,Java,1000,https://github.com/krahets/hello-algo
iluwatar/java-design-patterns,iluwatar,java-design-patterns,93923,27379,Java,1000,https://github.com/iluwatar/java-design-patterns
macrozheng/mall,macrozheng,mall,83466,29690,Java,146,https://github.com/macrozheng/mall
spring-projects/spring-boot,spring-projects,spring-boot,80475,41893,Java,1000,https://github.com/spring-projects/spring-boot
doocs/advanced-java,doocs,advanced-java,78955,19240,Java,137,https://github.com/doocs/advanced-java
elastic/elasticsearch,elastic,elasticsearch,76566,25854,Java,1000,https://github.com/elastic/elasticsearch
NationalSecurityAgency/ghidra,NationalSecurityAgency,ghidra,67577,7423,Java,1000,https://github.com/NationalSecurityAgency/ghidra
TheAlgorithms/Java,TheAlgorithms,Java,65439,21073,Java,1000,https://github.com/TheAlgorithms/Java
spring-projects/spring-framework,spring-projects,spring-framework,59861,38845,Java,1000,https://github.com/spring-projects/spring-framework
termux/termux-app,termux,termux-app,53802,6434,Java,493,https://github.com/termux/termux-app
google/guava,google,guava,51494,11145,Java,1000,https://github.com/google/guava
dbeaver/dbeaver,dbeaver,dbeaver,49702,4132,Java,1000,https://github.com/dbeaver/dbeaver
ReactiveX/RxJava,ReactiveX,RxJava,48292,7592,Java,1000,https://github.com/ReactiveX/RxJava
skylot/jadx,skylot,jadx,48194,5496,Java,732,https://github.com/skylot/jadx
jeecgboot/JeecgBoot,jeecgboot,JeecgBoot,45931,15935,Java,481,https://github.com/jeecgboot/JeecgBoot
apache/dubbo,apache,dubbo,41563,26483,Java,1000,https://github.com/apache/dubbo
halo-dev/halo,halo-dev,halo,38331,10238,Java,1000,https://github.com/halo-dev/halo
PhilJay/MPAndroidChart,PhilJay,MPAndroidChart,38215,9004,Java,390,https://github.com/PhilJay/MPAndroidChart
TeamNewPipe/NewPipe,TeamNewPipe,NewPipe,37867,3547,Java,1000,https://github.com/TeamNewPipe/NewPipe
eugenp/tutorials,eugenp,tutorials,37365,53626,Java,1000,https://github.com/eugenp/tutorials
alibaba/arthas,alibaba,arthas,37274,7630,Java,839,https://github.com/alibaba/arthas
YunaiV/ruoyi-vue-pro,YunaiV,ruoyi-vue-pro,36695,7927,Java,238,https://github.com/YunaiV/ruoyi-vue-pro
doocs/leetcode,doocs,leetcode,35933,9410,Java,1000,https://github.com/doocs/leetcode
airbnb/lottie-android,airbnb,lottie-android,35606,5435,Java,829,https://github.com/airbnb/lottie-android
bumptech/glide,bumptech,glide,35024,6177,Java,1000,https://github.com/bumptech/glide
netty/netty,netty,netty,34923,16250,Java,1000,https://github.com/netty/netty
SeleniumHQ/selenium,SeleniumHQ,selenium,34056,8670,Java,1000,https://github.com/SeleniumHQ/selenium
