full_name,language,since_date,stars,forks,commits_last_12m,pr_count_12m,pr_median_time_hours,issues_count_12m,issues_closed_12m,issue_median_time_hours
donnemartin/system-design-primer,Python,2025-05-26,349661,56328,10,83,336.4870833333333,45,22,59.434583333333336
vinta/awesome-python,Python,2025-05-26,298839,27941,754,384,25.761666666666667,0,0,
public-apis/public-apis,Python,2025-05-26,436256,47820,142,1221,72.475,193,184,82.87902777777778
EbookFoundation/free-programming-books,Python,2025-05-26,388677,66333,564,1211,21.672777777777778,103,84,26.746805555555554
TheAlgorithms/Python,Python,2025-05-26,221277,50661,120,1651,0.034166666666666665,161,94,1680.6493055555557
AUTOMATIC1111/stable-diffusion-webui,Python,2025-05-26,163190,30350,0,122,17.74416666666667,123,38,20.936666666666667
Significant-Gravitas/AutoGPT,Python,2025-05-26,184441,46225,1859,2520,21.078333333333333,579,400,141.44430555555556
yt-dlp/yt-dlp,Python,2025-05-26,163584,13746,620,1114,18.687777777777775,2285,1754,8.169027777777778
521xueweihan/HelloGitHub,Python,2025-05-26,157966,12026,15,12,135.40166666666667,269,60,154.81819444444443
ytdl-org/youtube-dl,Python,2025-05-26,140349,10672,43,36,19.795555555555556,91,80,17.605416666666667
anthropics/skills,Python,2025-05-26,138680,16353,36,835,2.3180555555555555,279,33,1.3716666666666666
NousResearch/hermes-agent,Python,2025-05-26,160937,26154,9141,0,,0,0,
langflow-ai/langflow,Python,2025-05-26,148603,9076,1758,3915,37.77861111111111,943,734,633.8187499999999
huggingface/transformers,Python,2025-05-26,160841,33287,3827,5953,29.418333333333333,1711,1483,238.4322222222222
microsoft/markitdown,Python,2025-05-26,124304,8450,32,364,98.29,199,29,12.793888888888889
Shubhamsaboo/awesome-llm-apps,Python,2025-05-26,111342,16532,413,408,17.9675,86,85,73.60916666666667
github/spec-kit,Python,2025-05-26,104389,9193,987,1102,12.202222222222222,1088,814,383.0084722222222
deepseek-ai/DeepSeek-V3,Python,2025-05-26,103574,16741,7,56,3.9843055555555558,383,225,1101.3052777777777
Comfy-Org/ComfyUI,Python,2025-05-26,113830,13328,1765,2447,2.205277777777778,2959,1374,71.53527777777778
openai/whisper,Python,2025-05-26,99939,12238,10,62,11.655138888888889,0,0,
langchain-ai/langchain,Python,2025-05-26,137292,22708,2619,4740,0.7495833333333333,1144,756,54.479305555555555
nvbn/thefuck,Python,2025-05-26,97027,3955,0,41,834.1891666666667,33,4,634.8309722222223
open-webui/open-webui,Python,2025-05-26,138078,19749,5670,4526,4.404999999999999,3233,3113,9.1825
hacksider/Deep-Live-Cam,Python,2025-05-26,93254,13575,158,162,137.9061111111111,275,222,12.269583333333333
fastapi/fastapi,Python,2025-05-26,98400,9324,1418,1285,16.464444444444446,63,63,0.79
django/django,Python,2025-05-26,87513,33933,1026,1833,12.313333333333333,0,0,
3b1b/manim,Python,2025-05-26,87022,7293,41,68,352.66527777777776,35,9,212.76527777777778
sherlock-project/sherlock,Python,2025-05-26,83553,9754,325,339,11.144166666666667,118,85,14.715277777777779
karpathy/autoresearch,Python,2025-05-26,82493,11971,36,373,2.5275,105,54,12.123194444444444
bregman-arie/devops-exercises,Python,2025-05-26,82440,19409,14,35,1053.841111111111,5,4,272.4111111111111
nextlevelbuilder/ui-ux-pro-max-skill,Python,2025-05-26,81208,8368,134,184,6.171111111111111,125,53,121.79222222222222
browser-use/browser-use,Python,2025-05-26,94971,10703,6608,2141,2.068611111111111,758,698,453.8598611111111
fighting41love/funNLP,Python,2025-05-26,80785,15219,0,2,,6,1,1.363888888888889
infiniflow/ragflow,Python,2025-05-26,80979,9272,3288,3992,2.915,2985,1333,63.36222222222222
PaddlePaddle/PaddleOCR,Python,2025-05-26,78284,10464,316,516,11.75611111111111,1047,906,796.7315277777777
TauricResearch/TradingAgents,Python,2025-05-26,78097,15202,171,513,52.356944444444444,335,127,176.91972222222222
d2l-ai/d2l-zh,Python,2025-05-26,77930,12295,0,34,2.2625,0,0,
swisskyrepo/PayloadsAllTheThings,Python,2025-05-26,77845,16981,105,66,28.27722222222222,0,0,
tensorflow/models,Python,2025-05-26,77661,45083,139,45,178.87472222222223,16,5,111.765
Z4nzu/hackingtool,Python,2025-05-26,75926,8553,2,24,732.9365277777779,140,40,633.1855555555555
pytorch/pytorch,Python,2025-05-26,100052,27840,16623,7803,46.80222222222222,2097,1202,139.17388888888888
vllm-project/vllm,Python,2025-05-26,80649,17057,10086,7446,38.81638888888889,2454,974,54.21541666666667
josephmisiti/awesome-machine-learning,Python,2025-05-26,72530,15465,127,150,357.6430555555556,26,26,247.5026388888889
pallets/flask,Python,2025-05-26,71569,16852,112,171,0.2658333333333333,58,58,0.9104166666666667
OpenHands/OpenHands,Python,2025-05-26,74383,9428,2451,4299,21.689722222222223,1348,1176,894.0468055555556
binary-husky/gpt_academic,Python,2025-05-26,70701,8390,17,19,1.3966666666666667,47,7,1.3727777777777779
hiyouga/LlamaFactory,Python,2025-05-26,71477,8718,373,527,4.786666666666667,1221,690,4.9598611111111115
bytedance/deer-flow,Python,2025-05-26,68935,9190,1827,1614,10.091805555555556,1203,714,41.35319444444444
home-assistant/core,Python,2025-05-26,87170,37543,15210,6301,5.6113888888888885,3599,1729,54.660555555555554
python/cpython,Python,2025-05-26,72792,34672,4230,7047,6.349166666666667,2853,2002,41.50125
trekhleb/javascript-algorithms,JavaScript,2025-05-26,195982,31064,16,68,15.1425,12,7,7.909722222222222
airbnb/javascript,JavaScript,2025-05-26,148121,26674,1,52,2.9233333333333333,57,51,3.4097222222222223
Snailclimb/JavaGuide,JavaScript,2025-05-26,155807,46138,363,111,19.595555555555556,51,48,31.08416666666667
Chalarangelo/30-seconds-of-code,JavaScript,2025-05-26,127883,12486,110,36,154.06055555555557,1,1,129.98166666666665
affaan-m/ECC,JavaScript,2025-05-26,188044,29105,1976,1399,3.295,543,542,55.72861111111111
facebook/react,JavaScript,2025-05-26,245160,51091,1071,2084,17.880000000000003,774,555,27.524444444444445
axios/axios,JavaScript,2025-05-26,109071,11709,364,721,25.55013888888889,219,178,98.36652777777778
react/create-react-app,JavaScript,2025-05-26,103378,27038,0,83,0.024166666666666666,41,5,0.10111111111111111
mrdoob/three.js,JavaScript,2025-05-26,112595,36376,1909,1824,3.9045833333333335,611,528,24.035416666666666
nodejs/node,JavaScript,2025-05-26,117317,35588,2577,3633,60.5,1221,828,116.22541666666666
ryanmcdermott/clean-code-javascript,JavaScript,2025-05-26,94364,12465,0,10,0.06569444444444444,11,2,0.05597222222222222
microsoft/Web-Dev-For-Beginners,JavaScript,2025-05-26,95778,15501,832,270,37.21944444444445,124,76,516.4433333333334
mui/material-ui,JavaScript,2025-05-26,98361,32628,1411,1828,31.447916666666668,455,353,70.66805555555555
anuraghazra/github-readme-stats,JavaScript,2025-05-26,79472,33509,295,450,23.628611111111113,112,68,39.01777777777778
FortAwesome/Font-Awesome,JavaScript,2025-05-26,76622,12219,21,19,0.7216666666666667,258,206,190.29055555555556
typicode/json-server,JavaScript,2025-05-26,75579,7281,66,92,3.808611111111111,23,15,152.77138888888888
hakimel/reveal.js,JavaScript,2025-05-26,71249,16805,116,43,3.388333333333333,49,14,48.17180555555555
louislam/uptime-kuma,JavaScript,2025-05-26,87058,7879,1242,779,1.573888888888889,767,634,4.234861111111112
sveltejs/svelte,JavaScript,2025-05-26,86611,4919,932,1222,8.512638888888889,804,585,31.750833333333333
juliangarnier/anime,JavaScript,2025-05-26,68754,4629,103,42,136.8711111111111,85,44,361.5709722222222
chartjs/Chart.js,JavaScript,2025-05-26,67439,11950,25,93,11.2475,61,13,12.722777777777777
leonardomso/33-js-concepts,JavaScript,2025-05-26,66452,9189,200,68,1678.2333333333333,18,17,1947.8008333333332
expressjs/express,JavaScript,2025-05-26,69050,23401,88,566,1.8366666666666667,77,61,8.511388888888888
gorhill/uBlock,JavaScript,2025-05-26,64835,4118,659,11,16.386944444444445,0,0,
JuliusBrussee/caveman,JavaScript,2025-05-26,63110,3541,185,232,14.769444444444446,151,72,33.519305555555555
resume/resume.github.com,JavaScript,2025-05-26,62852,1370,0,1,,7,2,0.6606944444444445
lodash/lodash,JavaScript,2025-05-26,61237,7159,35,149,14.922916666666666,53,29,12.131388888888889
webpack/webpack,JavaScript,2025-05-26,65768,9354,880,1187,17.170555555555556,132,125,21.60527777777778
jgraph/drawio-desktop,JavaScript,2025-05-26,61221,5676,167,33,9.39,199,149,52.56305555555556
atom/atom,JavaScript,2025-05-26,60804,17230,0,0,,0,0,
