nameWithOwner,owner,description,primaryLanguage,stars,forks,createdAt,updatedAt,repositoryAge,daysSinceUpdate,mergedPullRequests,releases,openIssues,closedIssues,totalIssues,closedIssuesRatio,watchers,url
codecrafters-io/build-your-own-x,codecrafters-io,Master programming by recreating your favorite technologies from scratch.,Markdown,472510,44292,2018-05-09T12:03:18Z,2026-03-05T18:19:45Z,2857,0,155,0,235,653,888,0.7353603603603603,0,https://github.com/codecrafters-io/build-your-own-x
sindresorhus/awesome,sindresorhus,😎 Awesome lists about all kinds of interesting topics,Unknown,442829,33388,2014-07-11T13:42:37Z,2026-03-05T18:17:14Z,4255,0,694,0,16,349,365,0.9561643835616438,0,https://github.com/sindresorhus/awesome
freeCodeCamp/freeCodeCamp,freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,437808,43521,2014-12-24T17:49:19Z,2026-03-05T18:24:27Z,4089,0,27772,0,176,20978,21154,0.9916800605086509,0,https://github.com/freeCodeCamp/freeCodeCamp
public-apis/public-apis,public-apis,A collective list of free APIs,Python,404472,43648,2016-03-20T23:49:42Z,2026-03-05T18:18:49Z,3636,0,1872,0,6,832,838,0.9928400954653938,0,https://github.com/public-apis/public-apis
EbookFoundation/free-programming-books,EbookFoundation,:books: Freely available programming books,Python,383628,66009,2013-10-11T06:50:37Z,2026-03-05T18:13:48Z,4528,0,7328,0,36,1227,1263,0.9714964370546318,0,https://github.com/EbookFoundation/free-programming-books
kamranahmedse/developer-roadmap,kamranahmedse,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,350233,43740,2017-03-15T13:45:52Z,2026-03-05T18:24:20Z,3277,0,4073,1,31,3054,3085,0.9899513776337115,0,https://github.com/kamranahmedse/developer-roadmap
jwasham/coding-interview-university,jwasham,A complete computer science study plan to become a software engineer.,Unknown,337609,81638,2016-06-06T02:34:12Z,2026-03-05T18:24:44Z,3559,0,415,0,71,454,525,0.8647619047619047,0,https://github.com/jwasham/coding-interview-university
donnemartin/system-design-primer,donnemartin,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,337372,54672,2017-02-26T16:15:28Z,2026-03-05T18:23:10Z,3294,0,203,0,250,110,360,0.3055555555555556,0,https://github.com/donnemartin/system-design-primer
vinta/awesome-python,vinta,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,285713,27298,2014-06-27T21:00:06Z,2026-03-05T18:23:36Z,4268,0,641,0,0,0,0,0.0,0,https://github.com/vinta/awesome-python
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,Unknown,277430,12649,2015-06-01T02:33:17Z,2026-03-05T18:21:15Z,3930,0,2395,1,0,807,807,1.0,0,https://github.com/awesome-selfhosted/awesome-selfhosted
